Území;Ukazatel;Způsob vyplacení důchodu;Roky;value
Česko;Průměrný vdovský důchod (Kč);Sólo;2019;8866
Česko;Průměrný vdovský důchod (Kč);Sólo;2020;9529
Česko;Průměrný vdovský důchod (Kč);Sólo;2021;10024
Česko;Průměrný vdovský důchod (Kč);Sólo;2022;11681
Česko;Průměrný vdovský důchod (Kč);Sólo;2023;12724
Česko;Průměrný vdovský důchod (Kč);Kombinace;2011;11452
Česko;Průměrný vdovský důchod (Kč);Kombinace;2012;11680
Česko;Průměrný vdovský důchod (Kč);Kombinace;2013;11864
Česko;Průměrný vdovský důchod (Kč);Kombinace;2014;11955
Česko;Průměrný vdovský důchod (Kč);Kombinace;2015;12219
Česko;Průměrný vdovský důchod (Kč);Kombinace;2016;12306
Česko;Průměrný vdovský důchod (Kč);Kombinace;2017;12686
Česko;Průměrný vdovský důchod (Kč);Kombinace;2018;13246
Česko;Průměrný vdovský důchod (Kč);Kombinace;2019;14464
Česko;Průměrný vdovský důchod (Kč);Kombinace;2020;15488
Česko;Průměrný vdovský důchod (Kč);Kombinace;2021;16488
Česko;Průměrný vdovský důchod (Kč);Kombinace;2022;19260
Česko;Průměrný vdovský důchod (Kč);Kombinace;2023;22120
