Ukazatel;Pohlaví;Roky;ČR, kraje;Věkové skupiny (pětileté);value
Míra úmrtnosti;Celkem;2023;Zlínský kraj;95 a více;355.5555555556
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;Celkem;11.4902158816
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;0;2.1662071682
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;1 - 4;0.1469939732
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;5 - 9;0.1156795346
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;10 - 14;0.1119767088
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;15 - 19;0.2879262909
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;20 - 24;0.3555239534
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;25 - 29;0.6101884988
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;30 - 34;0.8499954231
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;35 - 39;1.383622015
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;40 - 44;1.8321420392
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;45 - 49;2.9234442017
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;50 - 54;4.0534123942
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;55 - 59;7.6696734359
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;60 - 64;11.59404438
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;65 - 69;18.4927660257
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;70 - 74;25.8077451879
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;75 - 79;41.9588436479
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;80 - 84;67.4082982562
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;85 - 89;123.1026319454
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;90 - 94;233.6533236732
Míra úmrtnosti;Celkem;2023;Moravskoslezský kraj;95 a více;394.4700460829
