Ukazatel;Území;Reprezentant pro oblast cen;Měsíce;value
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];březen 2025;199.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso přední bez kosti [kg];duben 2025;206.88
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2013;150.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2013;149.84
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2013;148.76
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2013;147.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2013;146.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2013;146.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2013;146.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2013;146.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2013;146.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2013;146.8
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2013;145.98
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2013;145.07
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2014;141.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2014;145.9
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2014;143.35
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2014;142.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2014;143.25
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2014;145.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2014;145.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2014;145.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2014;145.59
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2014;146.43
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2014;146.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2014;145.67
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2015;146.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2015;147.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2015;147.72
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2015;148.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2015;148.33
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2015;148.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2015;148.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2015;148.73
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2015;148.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2015;148.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2015;148.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2015;148.54
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2016;149.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2016;149.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2016;149.01
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2016;148.68
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2016;149.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2016;147.83
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2016;149.44
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2016;149.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2016;148.28
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2016;149.05
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2016;150.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2016;149.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2017;149.89
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2017;150.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2017;150.61
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2017;152.04
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2017;152.55
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2017;155.52
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2017;154.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2017;155.57
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2017;155.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2017;156.29
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2017;156.19
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2017;156.46
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2018;155.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2018;154.3
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2018;153.06
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2018;154.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2018;154.42
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2018;154.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2018;153.86
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2018;153.65
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2018;153.5
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2018;154.39
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2018;154.53
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2018;153.93
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2019;154.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2019;153.34
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2019;153.27
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2019;153.66
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2019;153.79
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2019;154.14
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2019;153.52
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2019;153.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2019;153.48
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2019;153.6
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2019;153.32
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2019;152.36
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2020;152.38
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2020;152.02
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2020;152.21
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2020;152.26
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2020;152.37
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2020;153.56
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2020;152.2
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2020;153.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2020;153.11
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2020;153.95
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];listopad 2020;152.51
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];prosinec 2020;153.45
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];leden 2021;152.18
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];únor 2021;155.03
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];březen 2021;153.17
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];duben 2021;151.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];květen 2021;152.15
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červen 2021;153.78
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];červenec 2021;154.47
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];srpen 2021;152.99
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];září 2021;156.92
Cena průmyslového výrobku nebo služby (Kč);Česko;Hovězí maso zadní bez kosti [kg];říjen 2021;161.58
