Území,Roky,Druh cesty ,Způsob dopravy,Ukazatel,Cíl cesty,value
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Počet cest (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Počet přenocování (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Náklady (mil. Kč),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Letadlo,Náklady (mil. Kč),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Počet cest (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Počet přenocování (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Náklady (mil. Kč),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Loď,Náklady (mil. Kč),Zahraniční,
