Území,Ukazatel,Typ ceny,Měsíce,Komodity SITC,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,8 Průmyslové spotřební zboží,43962.692183
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2025,"9 Komodity a předměty obchodu, j. n.",1412.060919
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,0 Potraviny a živá zvířata,19321.157521
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,1 Nápoje a tabák,2271.854724
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",10100.719598
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,"3 Minerální paliva, maziva a příbuzné materiály",8860.615666
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",1059.34262
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27811.003652
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,6 Tržní výrobky tříděné hlavně podle materiálu,62318.669024
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,7 Stroje a dopravní prostředky,233547.580428
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,8 Průmyslové spotřební zboží,43206.136191
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2025,"9 Komodity a předměty obchodu, j. n.",1482.983633
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,0 Potraviny a živá zvířata,19859.210265
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,1 Nápoje a tabák,2038.173014
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",10380.464421
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,"3 Minerální paliva, maziva a příbuzné materiály",10887.283445
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",939.514579
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",29447.972947
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,64155.049736
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,7 Stroje a dopravní prostředky,241861.682127
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,8 Průmyslové spotřební zboží,49336.786832
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2025,"9 Komodity a předměty obchodu, j. n.",1467.600841
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,0 Potraviny a živá zvířata,18859.368667
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,1 Nápoje a tabák,1696.786832
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9568.285339
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,"3 Minerální paliva, maziva a příbuzné materiály",11576.910221
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",971.587675
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27772.70025
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,6 Tržní výrobky tříděné hlavně podle materiálu,60049.660566
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,7 Stroje a dopravní prostředky,223612.148231
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,8 Průmyslové spotřební zboží,43500.054339
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2025,"9 Komodity a předměty obchodu, j. n.",1267.250001
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,0 Potraviny a živá zvířata,19362.089447
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,1 Nápoje a tabák,1769.884325
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",8817.246861
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,"3 Minerální paliva, maziva a příbuzné materiály",11842.870089
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",827.814144
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27583.850577
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61227.908978
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,7 Stroje a dopravní prostředky,222827.755433
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,8 Průmyslové spotřební zboží,41143.675188
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2025,"9 Komodity a předměty obchodu, j. n.",1364.07811
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,0 Potraviny a živá zvířata,17821.862951
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,1 Nápoje a tabák,1711.613448
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",7845.930688
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,"3 Minerální paliva, maziva a příbuzné materiály",12464.755248
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",821.537796
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,"5 Chemikálie a příbuzné výrobky, j. n.",25731.382329
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,6 Tržní výrobky tříděné hlavně podle materiálu,44119.414956
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,7 Stroje a dopravní prostředky,183551.82006
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,8 Průmyslové spotřební zboží,41792.769347
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2024,"9 Komodity a předměty obchodu, j. n.",1432.49206
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,0 Potraviny a živá zvířata,20824.342854
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,1 Nápoje a tabák,2095.371731
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9721.082144
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,"3 Minerální paliva, maziva a příbuzné materiály",11930.83026
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",978.238292
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,"5 Chemikálie a příbuzné výrobky, j. n.",29145.797035
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,6 Tržní výrobky tříděné hlavně podle materiálu,62438.269166
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,7 Stroje a dopravní prostředky,234648.846188
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,8 Průmyslové spotřební zboží,49138.323312
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2024,"9 Komodity a předměty obchodu, j. n.",1607.974901
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,0 Potraviny a živá zvířata,21065.093478
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,1 Nápoje a tabák,2110.136703
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9604.012114
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,"3 Minerální paliva, maziva a příbuzné materiály",9312.504476
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",799.044612
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",29292.131044
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,63583.005083
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,7 Stroje a dopravní prostředky,243157.980723
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,8 Průmyslové spotřební zboží,49094.857782
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,říjen 2024,"9 Komodity a předměty obchodu, j. n.",1526.883125
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,0 Potraviny a živá zvířata,18773.617622
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,1 Nápoje a tabák,2012.182991
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8586.224717
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,"3 Minerální paliva, maziva a příbuzné materiály",7737.037346
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",702.990266
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,"5 Chemikálie a příbuzné výrobky, j. n.",27913.944192
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,6 Tržní výrobky tříděné hlavně podle materiálu,60179.218119
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,7 Stroje a dopravní prostředky,228398.703167
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,8 Průmyslové spotřební zboží,49208.579073
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,září 2024,"9 Komodity a předměty obchodu, j. n.",1318.895648
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,0 Potraviny a živá zvířata,18097.721425
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,1 Nápoje a tabák,2274.875289
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8705.651225
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7908.694974
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",807.458952
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",24780.86235
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,54186.520161
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,7 Stroje a dopravní prostředky,210059.07255
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,8 Průmyslové spotřební zboží,40693.746914
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,srpen 2024,"9 Komodity a předměty obchodu, j. n.",1229.252826
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,0 Potraviny a živá zvířata,18239.032749
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,1 Nápoje a tabák,2436.995748
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9616.380177
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,"3 Minerální paliva, maziva a příbuzné materiály",7855.426782
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",809.929696
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,"5 Chemikálie a příbuzné výrobky, j. n.",27680.59058
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,6 Tržní výrobky tříděné hlavně podle materiálu,59443.337839
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,7 Stroje a dopravní prostředky,191790.449266
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,8 Průmyslové spotřební zboží,39320.14576
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červenec 2024,"9 Komodity a předměty obchodu, j. n.",1205.677639
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,0 Potraviny a živá zvířata,17243.435913
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,1 Nápoje a tabák,2165.858382
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9594.464848
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7025.220342
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",826.745316
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28146.080793
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,59486.902877
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,7 Stroje a dopravní prostředky,219466.574005
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,8 Průmyslové spotřební zboží,45193.807724
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,červen 2024,"9 Komodity a předměty obchodu, j. n.",1156.298352
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,0 Potraviny a živá zvířata,18149.27639
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,1 Nápoje a tabák,2399.626952
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10390.16105
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7011.36211
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",908.619225
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28037.445058
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,62102.947029
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,7 Stroje a dopravní prostředky,209995.851059
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,8 Průmyslové spotřební zboží,42213.032135
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,květen 2024,"9 Komodity a předměty obchodu, j. n.",1346.603093
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,0 Potraviny a živá zvířata,18428.539491
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,1 Nápoje a tabák,2166.32617
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10650.185213
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,"3 Minerální paliva, maziva a příbuzné materiály",7370.548973
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",852.504184
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28562.106887
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,6 Tržní výrobky tříděné hlavně podle materiálu,64672.12231
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,7 Stroje a dopravní prostředky,234463.567312
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,8 Průmyslové spotřební zboží,44986.983698
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,duben 2024,"9 Komodity a předměty obchodu, j. n.",1418.774494
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,0 Potraviny a živá zvířata,18501.628311
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,1 Nápoje a tabák,1835.86965
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10078.821461
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,"3 Minerální paliva, maziva a příbuzné materiály",8157.984655
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",870.334145
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28845.193732
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,63677.479996
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,7 Stroje a dopravní prostředky,226150.510878
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,8 Průmyslové spotřební zboží,47527.5332
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,březen 2024,"9 Komodity a předměty obchodu, j. n.",1334.268
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,0 Potraviny a živá zvířata,18186.7153
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,1 Nápoje a tabák,1751.782756
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9947.556233
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,"3 Minerální paliva, maziva a příbuzné materiály",7895.105752
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",873.094657
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28795.834843
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,6 Tržní výrobky tříděné hlavně podle materiálu,61244.94728
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,7 Stroje a dopravní prostředky,222837.36926
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,8 Průmyslové spotřební zboží,42184.769106
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,únor 2024,"9 Komodity a předměty obchodu, j. n.",1128.069866
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,0 Potraviny a živá zvířata,17502.099169
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,1 Nápoje a tabák,1515.387099
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8302.964756
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,"3 Minerální paliva, maziva a příbuzné materiály",8180.83302
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",914.197363
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,"5 Chemikálie a příbuzné výrobky, j. n.",24007.376228
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,6 Tržní výrobky tříděné hlavně podle materiálu,56709.625012
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,7 Stroje a dopravní prostředky,198079.330348
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,8 Průmyslové spotřební zboží,37259.472783
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,leden 2024,"9 Komodity a předměty obchodu, j. n.",1119.430763
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,0 Potraviny a živá zvířata,15498.112293
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,1 Nápoje a tabák,1497.619301
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",6993.419668
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,"3 Minerální paliva, maziva a příbuzné materiály",8010.135099
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",802.939736
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,"5 Chemikálie a příbuzné výrobky, j. n.",23622.509784
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,6 Tržní výrobky tříděné hlavně podle materiálu,41937.900783
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,7 Stroje a dopravní prostředky,173070.948838
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,8 Průmyslové spotřební zboží,38739.897633
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,prosinec 2023,"9 Komodity a předměty obchodu, j. n.",1179.85656
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2023,0 Potraviny a živá zvířata,18928.946152
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2023,1 Nápoje a tabák,1838.595698
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",9734.171722
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,listopad 2023,"3 Minerální paliva, maziva a příbuzné materiály",8968.114891
