Ukazatel;ČR, kraje, okresy;Roky;Kategorie ubytovacího zařízení;value
Počet hromadných ubytovacích zařízení;Česko;2019;HUZ celkem;9383
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel *****;65
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel, motel, botel ****;705
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel, motel, botel ***;1442
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel, motel, botel **;194
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel, motel, botel *;115
Počet hromadných ubytovacích zařízení;Česko;2019;Hotel garni;105
Počet hromadných ubytovacích zařízení;Česko;2019;Penzion;3610
Počet hromadných ubytovacích zařízení;Česko;2019;Kemp;567
Počet hromadných ubytovacích zařízení;Česko;2019;Chatová osada;321
Počet hromadných ubytovacích zařízení;Česko;2019;Turistická ubytovna;651
Počet hromadných ubytovacích zařízení;Česko;2019;Ostatní HUZ;1608
Počet hromadných ubytovacích zařízení;Česko;2018;HUZ celkem;9426
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel *****;62
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel, motel, botel ****;693
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel, motel, botel ***;1466
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel, motel, botel **;199
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel, motel, botel *;124
Počet hromadných ubytovacích zařízení;Česko;2018;Hotel garni;109
Počet hromadných ubytovacích zařízení;Česko;2018;Penzion;3624
Počet hromadných ubytovacích zařízení;Česko;2018;Kemp;566
Počet hromadných ubytovacích zařízení;Česko;2018;Chatová osada;319
Počet hromadných ubytovacích zařízení;Česko;2018;Turistická ubytovna;658
Počet hromadných ubytovacích zařízení;Česko;2018;Ostatní HUZ;1606
Počet hromadných ubytovacích zařízení;Česko;2017;HUZ celkem;9007
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel *****;61
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel, motel, botel ****;653
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel, motel, botel ***;1385
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel, motel, botel **;200
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel, motel, botel *;130
Počet hromadných ubytovacích zařízení;Česko;2017;Hotel garni;111
Počet hromadných ubytovacích zařízení;Česko;2017;Penzion;3427
Počet hromadných ubytovacích zařízení;Česko;2017;Kemp;515
Počet hromadných ubytovacích zařízení;Česko;2017;Chatová osada;310
Počet hromadných ubytovacích zařízení;Česko;2017;Turistická ubytovna;663
Počet hromadných ubytovacích zařízení;Česko;2017;Ostatní HUZ;1552
Počet hromadných ubytovacích zařízení;Česko;2016;HUZ celkem;9168
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel *****;60
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel, motel, botel ****;621
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel, motel, botel ***;1409
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel, motel, botel **;223
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel, motel, botel *;142
Počet hromadných ubytovacích zařízení;Česko;2016;Hotel garni;117
Počet hromadných ubytovacích zařízení;Česko;2016;Penzion;3450
Počet hromadných ubytovacích zařízení;Česko;2016;Kemp;510
Počet hromadných ubytovacích zařízení;Česko;2016;Chatová osada;325
Počet hromadných ubytovacích zařízení;Česko;2016;Turistická ubytovna;688
Počet hromadných ubytovacích zařízení;Česko;2016;Ostatní HUZ;1623
Počet hromadných ubytovacích zařízení;Česko;2015;HUZ celkem;9163
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel *****;58
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel, motel, botel ****;601
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel, motel, botel ***;1409
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel, motel, botel **;235
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel, motel, botel *;156
Počet hromadných ubytovacích zařízení;Česko;2015;Hotel garni;127
Počet hromadných ubytovacích zařízení;Česko;2015;Penzion;3406
Počet hromadných ubytovacích zařízení;Česko;2015;Kemp;516
Počet hromadných ubytovacích zařízení;Česko;2015;Chatová osada;321
Počet hromadných ubytovacích zařízení;Česko;2015;Turistická ubytovna;674
Počet hromadných ubytovacích zařízení;Česko;2015;Ostatní HUZ;1660
Počet hromadných ubytovacích zařízení;Česko;2014;HUZ celkem;9013
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel *****;57
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel, motel, botel ****;557
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel, motel, botel ***;1369
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel, motel, botel **;230
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel, motel, botel *;149
Počet hromadných ubytovacích zařízení;Česko;2014;Hotel garni;120
Počet hromadných ubytovacích zařízení;Česko;2014;Penzion;3351
Počet hromadných ubytovacích zařízení;Česko;2014;Kemp;513
Počet hromadných ubytovacích zařízení;Česko;2014;Chatová osada;332
Počet hromadných ubytovacích zařízení;Česko;2014;Turistická ubytovna;661
Počet hromadných ubytovacích zařízení;Česko;2014;Ostatní HUZ;1674
Počet hromadných ubytovacích zařízení;Česko;2013;HUZ celkem;9970
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel *****;56
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel, motel, botel ****;553
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel, motel, botel ***;1439
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel, motel, botel **;246
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel, motel, botel *;167
Počet hromadných ubytovacích zařízení;Česko;2013;Hotel garni;125
Počet hromadných ubytovacích zařízení;Česko;2013;Penzion;3715
Počet hromadných ubytovacích zařízení;Česko;2013;Kemp;506
Počet hromadných ubytovacích zařízení;Česko;2013;Chatová osada;343
Počet hromadných ubytovacích zařízení;Česko;2013;Turistická ubytovna;770
Počet hromadných ubytovacích zařízení;Česko;2013;Ostatní HUZ;2050
Počet hromadných ubytovacích zařízení;Česko;2012;HUZ celkem;10057
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel *****;56
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel, motel, botel ****;539
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel, motel, botel ***;1438
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel, motel, botel **;251
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel, motel, botel *;172
Počet hromadných ubytovacích zařízení;Česko;2012;Hotel garni;126
Počet hromadných ubytovacích zařízení;Česko;2012;Penzion;3768
Počet hromadných ubytovacích zařízení;Česko;2012;Kemp;514
Počet hromadných ubytovacích zařízení;Česko;2012;Chatová osada;348
Počet hromadných ubytovacích zařízení;Česko;2012;Turistická ubytovna;769
Počet hromadných ubytovacích zařízení;Česko;2012;Ostatní HUZ;2076
