Území;Čtvrtletí;Ukazatel;value
Česko;4. čtvrtletí 2022;Kojenecká úmrtnost;2.29777456278456
Česko;4. čtvrtletí 2022;Novorozenecká úmrtnost;1.06378451980767
Česko;3. čtvrtletí 2022;Sňatky na 1 000 obyvatel;9.550283408447
Česko;3. čtvrtletí 2022;Rozvody na 1 000 obyvatel;1.59085523946965
Česko;3. čtvrtletí 2022;Živě narození na 1 000 obyvatel;9.8943615136758
Česko;3. čtvrtletí 2022;Potraty na 1 000 obyvatel;2.47920234751493
Česko;3. čtvrtletí 2022;UPT na 1 000 obyvatel;1.46610392645086
Česko;3. čtvrtletí 2022;Zemřelí na 1 000 obyvatel;10.3996227313006
Česko;3. čtvrtletí 2022;Přistěhovalí na 1 000 obyvatel;17.7713581365876
Česko;3. čtvrtletí 2022;Vystěhovalí na 1 000 obyvatel;2.13770022810067
Česko;3. čtvrtletí 2022;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.505261217624758
Česko;3. čtvrtletí 2022;Přírůstek/úbytek stěhováním na 1 000 obyvatel;15.633657908487
Česko;3. čtvrtletí 2022;Celkový přírůstek/úbytek na 1 000 obyvatel;15.1283966908622
Česko;3. čtvrtletí 2022;Kojenecká úmrtnost;2.23156172127794
Česko;3. čtvrtletí 2022;Novorozenecká úmrtnost;1.2645516420575
Česko;2. čtvrtletí 2022;Sňatky na 1 000 obyvatel;6.59173776011935
Česko;2. čtvrtletí 2022;Rozvody na 1 000 obyvatel;1.99562597606609
Česko;2. čtvrtletí 2022;Živě narození na 1 000 obyvatel;9.81316810798836
Česko;2. čtvrtletí 2022;Potraty na 1 000 obyvatel;2.54961324327394
Česko;2. čtvrtletí 2022;UPT na 1 000 obyvatel;1.56582761683461
Česko;2. čtvrtletí 2022;Zemřelí na 1 000 obyvatel;10.4539379855893
Česko;2. čtvrtletí 2022;Přistěhovalí na 1 000 obyvatel;36.0028132979212
Česko;2. čtvrtletí 2022;Vystěhovalí na 1 000 obyvatel;1.56919418361711
Česko;2. čtvrtletí 2022;Přirozený přírůstek/úbytek na 1 000 obyvatel;-0.640769877600978
Česko;2. čtvrtletí 2022;Přírůstek/úbytek stěhováním na 1 000 obyvatel;34.4336191143041
Česko;2. čtvrtletí 2022;Celkový přírůstek/úbytek na 1 000 obyvatel;33.7928492367031
Česko;2. čtvrtletí 2022;Kojenecká úmrtnost;2.05839749942822
Česko;2. čtvrtletí 2022;Novorozenecká úmrtnost;1.25790958298391
Česko;1. čtvrtletí 2022;Sňatky na 1 000 obyvatel;1.74010337937674
