Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Čtvrtletí;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2023;93.4927526299
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2023;88.0655544467
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2023;91.9425908311
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2023;93.7374512518
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2022;103.8015329907
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2022;110.7422229752
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2022;118.529762245
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2022;124.1527367381
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2021;113.3799997582
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2021;110.8648508105
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2021;121.3673496158
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2021;101.1963099633
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2020;103.9557770118
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2020;97.763761343
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2020;83.8967306194
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2020;95.255842257
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2019;92.7949989169
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2019;99.8885595107
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2019;101.9343315903
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2019;103.3179450068
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2018;97.2054693114
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2018;96.0426847799
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2018;94.3753514842
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2018;93.4965466569
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2017;105.3815155755
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2017;102.9736378364
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2017;100.8623679793
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2017;108.2300030668
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2016;98.3832987307
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2016;97.4257830783
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2016;104.405828909
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2016;104.2777822352
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2015;108.1316385206
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2015;107.4269107384
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2015;103.3433818332
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2015;97.4604562569
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2014;102.0062585693
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2014;106.2053907585
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2014;111.7346496557
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2014;113.227781742
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2013;110.2688729999
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2013;103.0180740925
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2013;97.9921233971
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2013;98.321559271
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2012;107.0673507812
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2012;106.5273820893
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2012;106.7396353633
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2012;95.0377117259
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2011;100.0980027206
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2011;104.752462291
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2011;109.0645546011
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2011;116.8945197185
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2010;106.0652525732
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2010;107.7401416491
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2010;111.2454487337
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2010;96.5736678953
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2009;102.7298751538
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2009;91.0840926446
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2009;80.8992665259
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2009;82.6119481776
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2008;76.5314325129
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2008;84.4336756445
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2008;89.6052193195
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2008;91.0974941822
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2007;102.1194632518
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2007;111.0727199508
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2007;107.3967237693
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2007;109.744086785
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2006;101.0302091496
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2006;103.9114609355
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2006;101.7747485208
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2006;113.9613088261
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2005;95.6630710418
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2005;93.4168359979
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2005;94.7875785266
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2005;86.1416605788
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2004;101.2223700602
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2004;96.3631750181
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2004;106.5100856199
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2004;105.9993879779
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2003;99.3714473873
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2003;103.1274232722
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2003;94.6258718419
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2003;95.8702197492
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2002;103.1034197168
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2002;92.4624414456
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;2. čtvrtletí 2002;92.9537232187
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;1. čtvrtletí 2002;91.7576022585
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;4. čtvrtletí 2001;139.4136640736
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;13 Výroba textilií;3. čtvrtletí 2001;160.4738335116
