Kumulace čtvrtletí;ČR, kraje;Ukazatel;value
Q1-Q3 2024;Pardubický kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Pardubický kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Pardubický kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Pardubický kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Pardubický kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Kraj Vysočina;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Kraj Vysočina;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Kraj Vysočina;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Kraj Vysočina;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Kraj Vysočina;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Kraj Vysočina;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Kraj Vysočina;Celkový přírůstek/úbytek;
Q1-Q3 2024;Kraj Vysočina;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Kraj Vysočina;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Jihomoravský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Jihomoravský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Jihomoravský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Jihomoravský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Jihomoravský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Jihomoravský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Jihomoravský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Jihomoravský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Jihomoravský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Olomoucký kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Olomoucký kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Olomoucký kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Olomoucký kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Olomoucký kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Olomoucký kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Olomoucký kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Olomoucký kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Olomoucký kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Zlínský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Zlínský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Zlínský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Zlínský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Zlínský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Zlínský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Zlínský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Zlínský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Zlínský kraj;Celkový přírůstek/úbytek - ženy;
Q1-Q3 2024;Moravskoslezský kraj;Přirozený přírůstek/úbytek;
Q1-Q3 2024;Moravskoslezský kraj;Přirozený přírůstek/úbytek - muži;
Q1-Q3 2024;Moravskoslezský kraj;Přirozený přírůstek/úbytek - ženy;
Q1-Q3 2024;Moravskoslezský kraj;Přírůstek/úbytek stěhováním;
Q1-Q3 2024;Moravskoslezský kraj;Přírůstek/úbytek stěhováním - muži;
Q1-Q3 2024;Moravskoslezský kraj;Přírůstek/úbytek stěhováním - ženy;
Q1-Q3 2024;Moravskoslezský kraj;Celkový přírůstek/úbytek;
Q1-Q3 2024;Moravskoslezský kraj;Celkový přírůstek/úbytek - muži;
Q1-Q3 2024;Moravskoslezský kraj;Celkový přírůstek/úbytek - ženy;
