Území;Ukazatel;Typ indexu;Typ zakázek;Očištění;Vybraná odvětví průmyslu;Úhrn 12 měsíců;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2022;116.8181185707
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2022;116.9237125285
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2021;115.3276154891
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2021;115.9129163404
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2021;114.9921121525
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2021;115.9396008159
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2021;116.5638761605
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2021;115.104934049
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2021;113.56446574
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2021;111.3399473215
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2021;104.2346426106
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2021;96.1711460222
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2021;92.84188886
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2021;92.2733053886
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;prosinec 2020;93.2278228788
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;listopad 2020;92.1166011474
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;říjen 2020;91.7147275729
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;září 2020;90.6845530463
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;srpen 2020;90.3605857153
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červenec 2020;90.8298031033
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;červen 2020;91.7097187967
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;květen 2020;91.2042978728
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;duben 2020;94.6586178936
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;březen 2020;98.9236959107
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;únor 2020;100.5206463333
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index;Celkem;Bez očištění;Průmysl;leden 2020;100.6566024953
