Kategorie;Druh zařízení;Čtvrtletí;ČR, kraje;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Karlovarský kraj;Průměrný počet přenocování ;Nerezidenti;5.051310199
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet hostů;Celkem;6359.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet hostů;Rezidenti;5642.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet hostů;Nerezidenti;717.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet přenocování;Celkem;71630.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet přenocování;Rezidenti;59978.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Počet přenocování;Nerezidenti;11652.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Průměrný počet přenocování ;Celkem;11.2643497405
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Průměrný počet přenocování ;Rezidenti;10.6306274371
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Ústecký kraj;Průměrný počet přenocování ;Nerezidenti;16.2510460251
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet hostů;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet hostů;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet hostů;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet přenocování;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet přenocování;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Počet přenocování;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Průměrný počet přenocování ;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Průměrný počet přenocování ;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Liberecký kraj;Průměrný počet přenocování ;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet hostů;Celkem;8549.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet hostů;Rezidenti;8214.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet hostů;Nerezidenti;335.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet přenocování;Celkem;112854.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet přenocování;Rezidenti;108293.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Počet přenocování;Nerezidenti;4561.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Průměrný počet přenocování ;Celkem;13.2008422038
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Průměrný počet přenocování ;Rezidenti;13.1839542245
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Královéhradecký kraj;Průměrný počet přenocování ;Nerezidenti;13.6149253731
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet hostů;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet hostů;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet hostů;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet přenocování;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet přenocování;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Počet přenocování;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Průměrný počet přenocování ;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Průměrný počet přenocování ;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Pardubický kraj;Průměrný počet přenocování ;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet hostů;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet hostů;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet hostů;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet přenocování;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet přenocování;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Počet přenocování;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Průměrný počet přenocování ;Celkem;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Průměrný počet přenocování ;Rezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Kraj Vysočina;Průměrný počet přenocování ;Nerezidenti;
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet hostů;Celkem;5016.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet hostů;Rezidenti;4875.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet hostů;Nerezidenti;141.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet přenocování;Celkem;40592.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet přenocování;Rezidenti;40169.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Počet přenocování;Nerezidenti;423.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Průměrný počet přenocování ;Celkem;8.0925039872
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Průměrný počet přenocování ;Rezidenti;8.2397948718
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Jihomoravský kraj;Průměrný počet přenocování ;Nerezidenti;3.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet hostů;Celkem;12827.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet hostů;Rezidenti;12604.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet hostů;Nerezidenti;223.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet přenocování;Celkem;175467.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet přenocování;Rezidenti;174165.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Počet přenocování;Nerezidenti;1302.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Průměrný počet přenocování ;Celkem;13.6795041709
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Průměrný počet přenocování ;Rezidenti;13.8182323072
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Olomoucký kraj;Průměrný počet přenocování ;Nerezidenti;5.8385650224
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet hostů;Celkem;18356.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet hostů;Rezidenti;17097.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet hostů;Nerezidenti;1259.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet přenocování;Celkem;151608.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet přenocování;Rezidenti;147330.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Počet přenocování;Nerezidenti;4278.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Průměrný počet přenocování ;Celkem;8.2593157551
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Průměrný počet přenocování ;Rezidenti;8.6173012809
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Zlínský kraj;Průměrný počet přenocování ;Nerezidenti;3.3979348689
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet hostů;Celkem;7337.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet hostů;Rezidenti;6954.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet hostů;Nerezidenti;383.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet přenocování;Celkem;133070.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet přenocování;Rezidenti;122628.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Počet přenocování;Nerezidenti;10442.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Průměrný počet přenocování ;Celkem;18.1368406706
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Průměrný počet přenocování ;Rezidenti;17.6341673857
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;3. čtvrtletí 2024;Moravskoslezský kraj;Průměrný počet přenocování ;Nerezidenti;27.2637075718
