Ukazatel,Rok sčítání,Území,Způsob odvádění odpadních vod,value
Počet obydlených domů,2021,Karlovarský kraj,Nezjištěno,1370
Počet obydlených domů,2021,Ústecký kraj,Celkem,123776
Počet obydlených domů,2021,Ústecký kraj,Přípoj na kanalizační síť,79562
Počet obydlených domů,2021,Ústecký kraj,Vlastní čistička odpadních vod,3675
Počet obydlených domů,2021,Ústecký kraj,"Žumpa, jímka",34683
Počet obydlených domů,2021,Ústecký kraj,Bez kanalizace a jímky,432
Počet obydlených domů,2021,Ústecký kraj,Nezjištěno,5424
Počet obydlených domů,2021,Liberecký kraj,Celkem,79493
Počet obydlených domů,2021,Liberecký kraj,Přípoj na kanalizační síť,36960
Počet obydlených domů,2021,Liberecký kraj,Vlastní čistička odpadních vod,6539
Počet obydlených domů,2021,Liberecký kraj,"Žumpa, jímka",31775
Počet obydlených domů,2021,Liberecký kraj,Bez kanalizace a jímky,179
Počet obydlených domů,2021,Liberecký kraj,Nezjištěno,4040
Počet obydlených domů,2021,Královéhradecký kraj,Celkem,116863
Počet obydlených domů,2021,Královéhradecký kraj,Přípoj na kanalizační síť,64321
Počet obydlených domů,2021,Královéhradecký kraj,Vlastní čistička odpadních vod,7911
Počet obydlených domů,2021,Královéhradecký kraj,"Žumpa, jímka",39080
Počet obydlených domů,2021,Královéhradecký kraj,Bez kanalizace a jímky,413
Počet obydlených domů,2021,Královéhradecký kraj,Nezjištěno,5138
Počet obydlených domů,2021,Pardubický kraj,Celkem,113293
Počet obydlených domů,2021,Pardubický kraj,Přípoj na kanalizační síť,61928
Počet obydlených domů,2021,Pardubický kraj,Vlastní čistička odpadních vod,5262
Počet obydlených domů,2021,Pardubický kraj,"Žumpa, jímka",41820
Počet obydlených domů,2021,Pardubický kraj,Bez kanalizace a jímky,322
Počet obydlených domů,2021,Pardubický kraj,Nezjištěno,3961
Počet obydlených domů,2021,Kraj Vysočina,Celkem,114230
Počet obydlených domů,2021,Kraj Vysočina,Přípoj na kanalizační síť,69886
Počet obydlených domů,2021,Kraj Vysočina,Vlastní čistička odpadních vod,3722
Počet obydlených domů,2021,Kraj Vysočina,"Žumpa, jímka",35916
Počet obydlených domů,2021,Kraj Vysočina,Bez kanalizace a jímky,281
Počet obydlených domů,2021,Kraj Vysočina,Nezjištěno,4425
Počet obydlených domů,2021,Jihomoravský kraj,Celkem,241367
Počet obydlených domů,2021,Jihomoravský kraj,Přípoj na kanalizační síť,173379
Počet obydlených domů,2021,Jihomoravský kraj,Vlastní čistička odpadních vod,3304
Počet obydlených domů,2021,Jihomoravský kraj,"Žumpa, jímka",57388
Počet obydlených domů,2021,Jihomoravský kraj,Bez kanalizace a jímky,910
Počet obydlených domů,2021,Jihomoravský kraj,Nezjištěno,6386
Počet obydlených domů,2021,Olomoucký kraj,Celkem,126126
Počet obydlených domů,2021,Olomoucký kraj,Přípoj na kanalizační síť,79645
Počet obydlených domů,2021,Olomoucký kraj,Vlastní čistička odpadních vod,2963
Počet obydlených domů,2021,Olomoucký kraj,"Žumpa, jímka",39486
Počet obydlených domů,2021,Olomoucký kraj,Bez kanalizace a jímky,399
Počet obydlených domů,2021,Olomoucký kraj,Nezjištěno,3633
Počet obydlených domů,2021,Zlínský kraj,Celkem,125469
Počet obydlených domů,2021,Zlínský kraj,Přípoj na kanalizační síť,81798
Počet obydlených domů,2021,Zlínský kraj,Vlastní čistička odpadních vod,4355
Počet obydlených domů,2021,Zlínský kraj,"Žumpa, jímka",35689
Počet obydlených domů,2021,Zlínský kraj,Bez kanalizace a jímky,543
Počet obydlených domů,2021,Zlínský kraj,Nezjištěno,3084
Počet obydlených domů,2021,Moravskoslezský kraj,Celkem,190881
Počet obydlených domů,2021,Moravskoslezský kraj,Přípoj na kanalizační síť,86577
Počet obydlených domů,2021,Moravskoslezský kraj,Vlastní čistička odpadních vod,10369
Počet obydlených domů,2021,Moravskoslezský kraj,"Žumpa, jímka",89355
Počet obydlených domů,2021,Moravskoslezský kraj,Bez kanalizace a jímky,307
Počet obydlených domů,2021,Moravskoslezský kraj,Nezjištěno,4273
