Území,Ukazatel,CZ-NACE,Čtvrtletí,Očištění,Typ indexu,value
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,Bez očištění,Meziroční index,94.3168895694
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,Bez očištění,Bazický index (2021 = 100),101.7660143433
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,95.3931218094
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),102.5323244567
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,95.3561003923
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),100.1352346733
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,Bez očištění,Meziroční index,94.6460808207
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,Bez očištění,Bazický index (2021 = 100),79.65197676
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,94.1204527129
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),78.7826554367
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,93.2410364937
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2023,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),100.5383207767
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,Bez očištění,Meziroční index,91.8843619044
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,Bez očištění,Bazický index (2021 = 100),107.0981957767
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,92.4902271344
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),107.5578621367
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,93.0295450647
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,4. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),98.02208438
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,Bez očištění,Meziroční index,100.5074026686
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,Bez očištění,Bazický index (2021 = 100),109.3540745233
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,100.4480520066
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),109.8930605
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,100.8332704652
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,3. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),100.54706446
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,Bez očištění,Meziroční index,107.1469836885
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,Bez očištění,Bazický index (2021 = 100),107.89797544
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,107.1075803162
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),107.4839805133
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,106.8729759555
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,2. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Bazický index (2021 = 100),105.0118810033
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,Bez očištění,Meziroční index,113.8196888441
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,Bez očištění,Bazický index (2021 = 100),84.15771268
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,113.1829908884
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Bazický index (2021 = 100),83.7040761767
Česko,Index stavební produkce (%),NACE 41 - Výstavba budov,1. čtvrtletí 2022,"Sezónně očištěno, včetně očištění o kalendářní vlivy",Meziroční index,111.5536767582
