Ukazatel;ČR, Reg. soudržnosti, Kraje;Odvětví;Roky;value
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2002;26517.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2003;28052.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2004;27367.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2005;26986.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2006;28028.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2007;33138.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2008;40118.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2009;32839.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2010;38530.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2011;31572.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2012;29891.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2013;26140.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2014;32469.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2015;34820.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2016;35231.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2017;33450.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2018;35915.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2019;51160.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2020;48102.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2021;62297.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2022;85183.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2023;75365.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Stavebnictví;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1993;20976.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1994;27423.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1995;35855.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1996;49506.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1997;42179.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1998;52581.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1999;62447.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2000;49674.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2001;55142.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2002;59297.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2003;62214.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2004;61415.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2005;72528.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2006;68316.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2007;74474.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2008;74739.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2009;60010.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2010;63909.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2011;63379.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2012;60073.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2013;55111.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2014;54850.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2015;54751.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2016;72862.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2017;78474.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2018;82917.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2019;88111.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2020;78962.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2021;100117.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2022;116549.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2023;118783.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;"Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1993;14842.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1994;14892.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1995;31367.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1996;50201.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1997;64489.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1998;65494.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;1999;68302.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2000;71559.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2001;76836.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2002;64263.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2003;80124.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2004;88515.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2005;107276.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2006;118082.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2007;124003.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2008;137493.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2009;122735.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2010;108699.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2011;100292.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2012;76592.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2013;75680.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2014;80296.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2015;99848.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2016;99014.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2017;80082.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2018;89016.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2019;113299.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2020;121500.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2021;147240.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2022;173135.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2023;176192.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Doprava a skladování;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1993;5216.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1994;6349.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1995;10891.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1996;7897.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1997;8737.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1998;4332.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;1999;7363.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2000;7713.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2001;6300.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2002;10216.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2003;13912.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2004;10543.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2005;11978.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2006;13109.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2007;12346.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2008;9860.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2009;8998.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2010;7163.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2011;10117.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2012;9734.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2013;9650.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2014;8335.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2015;8776.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2016;10798.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2017;12252.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2018;12539.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2019;15342.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2020;9241.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2021;17958.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2022;13710.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2023;12480.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Ubytování, stravování a pohostinství;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1993;7644.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1994;9645.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1995;18584.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1996;49465.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1997;53791.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1998;61448.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;1999;45928.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2000;62477.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2001;66601.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2002;43217.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2003;33967.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2004;39405.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2005;41167.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2006;46584.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2007;51094.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2008;44345.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2009;50057.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2010;49460.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2011;45216.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2012;44532.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2013;51358.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2014;52570.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2015;64489.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2016;63457.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2017;70485.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2018;85205.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2019;102653.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2020;114557.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2021;137162.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2022;158479.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2023;175758.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Informační a komunikační činnosti;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1993;30483.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1994;21840.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1995;29165.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1996;25911.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1997;25929.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1998;20893.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;1999;15756.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2000;20087.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2001;18094.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2002;20969.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2003;21243.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2004;20604.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2005;19590.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2006;24619.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2007;27282.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2008;33709.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2009;25899.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2010;26828.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2011;27920.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2012;28730.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2013;26200.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2014;27299.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2015;29504.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2016;36536.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2017;48714.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2018;52387.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2019;57852.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2020;46964.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2021;48235.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2022;47614.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2023;43638.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Peněžnictví a pojišťovnictví;2024;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1990;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1991;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1992;
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1993;53020.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1994;54435.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1995;62519.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1996;79760.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1997;89594.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1998;111413.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;1999;122759.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2000;134825.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2001;149301.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2002;178229.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2003;176499.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2004;189305.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2005;208889.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2006;224490.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2007;280161.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2008;272514.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2009;255710.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2010;254271.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2011;250558.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2012;235259.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2013;239845.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2014;243702.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2015;247609.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2016;269339.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2017;291056.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2018;327747.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2019;346927.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2020;382864.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2021;422013.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2022;503902.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2023;516808.0
Tvorba hrubého fixního kapitálu (mil. Kč, běžné ceny);Česko;Činnosti v oblasti nemovitostí;2024;
