Území,Čtvrtletí,Typ ceny,Očištění,Země,Ukazatel,value
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,Dovoz (meziroční index),104.5177547806
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Evropa,Obrat zboží (meziroční index),103.669077163
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,"Vývoz (v mil. Kč, FOB)",14251.156643
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,"Dovoz (v mil. Kč, CIF)",8825.57887
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,Bilance (v mil. Kč),5425.577773
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (v mil. Kč),23076.735513
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,Vývoz (meziroční index),111.0350334554
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,Dovoz (meziroční index),97.2332698735
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afrika,Obrat zboží (meziroční index),105.3177453982
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,"Vývoz (v mil. Kč, FOB)",47823.078927
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,"Dovoz (v mil. Kč, CIF)",43076.695573
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,Bilance (v mil. Kč),4746.383354
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (v mil. Kč),90899.7745
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,Vývoz (meziroční index),118.2045673562
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,Dovoz (meziroční index),95.3029567484
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Amerika,Obrat zboží (meziroční index),106.1198660699
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,"Vývoz (v mil. Kč, FOB)",77374.631633
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,"Dovoz (v mil. Kč, CIF)",275371.741414
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,Bilance (v mil. Kč),-197997.109781
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (v mil. Kč),352746.373047
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,Vývoz (meziroční index),128.7388639183
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,Dovoz (meziroční index),112.3134658621
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (meziroční index),115.5471799508
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Vývoz (v mil. Kč, FOB)",3385.970424
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Dovoz (v mil. Kč, CIF)",603.918137
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Bilance (v mil. Kč),2782.052287
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (v mil. Kč),3989.888561
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Vývoz (meziroční index),93.3764729016
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Dovoz (meziroční index),101.9648085929
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (meziroční index),94.5823023652
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,"Vývoz (v mil. Kč, FOB)",2968.154459
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,"Dovoz (v mil. Kč, CIF)",392.044167
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,Bilance (v mil. Kč),2576.110292
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (v mil. Kč),3360.198626
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,Vývoz (meziroční index),102.100251739
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,Dovoz (meziroční index),134.2410821489
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (meziroční index),105.0343388362
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Vývoz (v mil. Kč, FOB)",2464.543277
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Dovoz (v mil. Kč, CIF)",9603.121384
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Bilance (v mil. Kč),-7138.578107
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (v mil. Kč),12067.664661
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Vývoz (meziroční index),195.7527021897
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Dovoz (meziroční index),107.6244240477
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (meziroční index),118.5217181769
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,"Vývoz (v mil. Kč, FOB)",27896.626456
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,"Dovoz (v mil. Kč, CIF)",16551.301981
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,Bilance (v mil. Kč),11345.324475
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (v mil. Kč),44447.928437
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,Vývoz (meziroční index),115.0217532166
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,Dovoz (meziroční index),98.2576540475
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (meziroční index),108.1506927019
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,Vývoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,Dovoz (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (meziroční index),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bhútán,"Vývoz (v mil. Kč, FOB)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bhútán,"Dovoz (v mil. Kč, CIF)",
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bhútán,Bilance (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bhútán,Obrat zboží (v mil. Kč),
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,Bhútán,Vývoz (meziroční index),
