Ukazatel,Území,Měsíce,Komodity SITC,value
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,0 Potraviny a živá zvířata,18472.358567
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,1 Nápoje a tabák,2336.107784
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9156.550356
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,"3 Minerální paliva, maziva a příbuzné materiály",6632.648378
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",815.96648
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",28740.144546
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61236.568448
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,7 Stroje a dopravní prostředky,241581.106994
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,8 Průmyslové spotřební zboží,48028.139218
"Vývoz (v mil. Kč, FOB)",Česko,červen 2025,"9 Komodity a předměty obchodu, j. n.",1406.35237
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,0 Potraviny a živá zvířata,18581.294748
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,1 Nápoje a tabák,2174.484297
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9654.604863
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,"3 Minerální paliva, maziva a příbuzné materiály",8438.150938
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",984.908903
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27689.814986
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61898.846086
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,7 Stroje a dopravní prostředky,219231.971361
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,8 Průmyslové spotřební zboží,43962.692183
"Vývoz (v mil. Kč, FOB)",Česko,květen 2025,"9 Komodity a předměty obchodu, j. n.",1412.060919
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,0 Potraviny a živá zvířata,19321.157521
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,1 Nápoje a tabák,2271.854724
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",10100.719598
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,"3 Minerální paliva, maziva a příbuzné materiály",8860.615666
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",1059.34262
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27811.003652
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,6 Tržní výrobky tříděné hlavně podle materiálu,62318.669024
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,7 Stroje a dopravní prostředky,233547.580428
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,8 Průmyslové spotřební zboží,43206.136191
"Vývoz (v mil. Kč, FOB)",Česko,duben 2025,"9 Komodity a předměty obchodu, j. n.",1482.983633
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,0 Potraviny a živá zvířata,19859.210265
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,1 Nápoje a tabák,2038.173014
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",10380.464421
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,"3 Minerální paliva, maziva a příbuzné materiály",10887.283445
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",939.514579
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,"5 Chemikálie a příbuzné výrobky, j. n.",29447.972947
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,6 Tržní výrobky tříděné hlavně podle materiálu,64155.049736
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,7 Stroje a dopravní prostředky,241861.682127
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,8 Průmyslové spotřební zboží,49336.786832
"Vývoz (v mil. Kč, FOB)",Česko,březen 2025,"9 Komodity a předměty obchodu, j. n.",1467.600841
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,0 Potraviny a živá zvířata,18859.368667
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,1 Nápoje a tabák,1696.786832
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",9568.285339
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,"3 Minerální paliva, maziva a příbuzné materiály",11576.910221
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",971.587675
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27772.70025
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,6 Tržní výrobky tříděné hlavně podle materiálu,60049.660566
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,7 Stroje a dopravní prostředky,223612.148231
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,8 Průmyslové spotřební zboží,43500.054339
"Vývoz (v mil. Kč, FOB)",Česko,únor 2025,"9 Komodity a předměty obchodu, j. n.",1267.250001
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,0 Potraviny a živá zvířata,19362.089447
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,1 Nápoje a tabák,1769.884325
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,"2 Suroviny nepoživatelné, s výjimkou paliv",8817.246861
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,"3 Minerální paliva, maziva a příbuzné materiály",11842.870089
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,"4 Živočišné a rostlinné oleje, tuky a vosky",827.814144
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,"5 Chemikálie a příbuzné výrobky, j. n.",27583.850577
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,6 Tržní výrobky tříděné hlavně podle materiálu,61227.908978
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,7 Stroje a dopravní prostředky,222827.755433
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,8 Průmyslové spotřební zboží,41143.675188
"Vývoz (v mil. Kč, FOB)",Česko,leden 2025,"9 Komodity a předměty obchodu, j. n.",1364.07811
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,0 Potraviny a živá zvířata,17821.862951
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,1 Nápoje a tabák,1711.613448
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",7845.930688
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,"3 Minerální paliva, maziva a příbuzné materiály",12464.755248
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",821.537796
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,"5 Chemikálie a příbuzné výrobky, j. n.",25731.382329
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,6 Tržní výrobky tříděné hlavně podle materiálu,44119.414956
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,7 Stroje a dopravní prostředky,183551.82006
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,8 Průmyslové spotřební zboží,41792.769347
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2024,"9 Komodity a předměty obchodu, j. n.",1432.49206
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,0 Potraviny a živá zvířata,20824.342854
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,1 Nápoje a tabák,2095.371731
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9721.082144
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,"3 Minerální paliva, maziva a příbuzné materiály",11930.83026
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",978.238292
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,"5 Chemikálie a příbuzné výrobky, j. n.",29145.797035
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,6 Tržní výrobky tříděné hlavně podle materiálu,62438.269166
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,7 Stroje a dopravní prostředky,234648.846188
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,8 Průmyslové spotřební zboží,49138.323312
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2024,"9 Komodity a předměty obchodu, j. n.",1607.974901
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,0 Potraviny a živá zvířata,21065.093478
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,1 Nápoje a tabák,2110.136703
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9604.012114
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,"3 Minerální paliva, maziva a příbuzné materiály",9312.504476
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",799.044612
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",29292.131044
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,63583.005083
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,7 Stroje a dopravní prostředky,243157.980723
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,8 Průmyslové spotřební zboží,49094.857782
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2024,"9 Komodity a předměty obchodu, j. n.",1526.883125
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,0 Potraviny a živá zvířata,18773.617622
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,1 Nápoje a tabák,2012.182991
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8586.224717
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,"3 Minerální paliva, maziva a příbuzné materiály",7737.037346
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",702.990266
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,"5 Chemikálie a příbuzné výrobky, j. n.",27913.944192
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,6 Tržní výrobky tříděné hlavně podle materiálu,60179.218119
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,7 Stroje a dopravní prostředky,228398.703167
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,8 Průmyslové spotřební zboží,49208.579073
"Vývoz (v mil. Kč, FOB)",Česko,září 2024,"9 Komodity a předměty obchodu, j. n.",1318.895648
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,0 Potraviny a živá zvířata,18097.721425
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,1 Nápoje a tabák,2274.875289
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8705.651225
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7908.694974
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",807.458952
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",24780.86235
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,54186.520161
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,7 Stroje a dopravní prostředky,210059.07255
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,8 Průmyslové spotřební zboží,40693.746914
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2024,"9 Komodity a předměty obchodu, j. n.",1229.252826
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,0 Potraviny a živá zvířata,18239.032749
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,1 Nápoje a tabák,2436.995748
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9616.380177
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,"3 Minerální paliva, maziva a příbuzné materiály",7855.426782
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",809.929696
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,"5 Chemikálie a příbuzné výrobky, j. n.",27680.59058
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,6 Tržní výrobky tříděné hlavně podle materiálu,59443.337839
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,7 Stroje a dopravní prostředky,191790.449266
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,8 Průmyslové spotřební zboží,39320.14576
"Vývoz (v mil. Kč, FOB)",Česko,červenec 2024,"9 Komodity a předměty obchodu, j. n.",1205.677639
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,0 Potraviny a živá zvířata,17243.435913
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,1 Nápoje a tabák,2165.858382
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9594.464848
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7025.220342
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",826.745316
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28146.080793
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,59486.902877
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,7 Stroje a dopravní prostředky,219466.574005
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,8 Průmyslové spotřební zboží,45193.807724
"Vývoz (v mil. Kč, FOB)",Česko,červen 2024,"9 Komodity a předměty obchodu, j. n.",1156.298352
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,0 Potraviny a živá zvířata,18149.27639
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,1 Nápoje a tabák,2399.626952
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10390.16105
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,"3 Minerální paliva, maziva a příbuzné materiály",7011.36211
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",908.619225
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28037.445058
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,62102.947029
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,7 Stroje a dopravní prostředky,209995.851059
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,8 Průmyslové spotřební zboží,42213.032135
"Vývoz (v mil. Kč, FOB)",Česko,květen 2024,"9 Komodity a předměty obchodu, j. n.",1346.603093
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,0 Potraviny a živá zvířata,18428.539491
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,1 Nápoje a tabák,2166.32617
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10650.185213
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,"3 Minerální paliva, maziva a příbuzné materiály",7370.548973
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",852.504184
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28562.106887
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,6 Tržní výrobky tříděné hlavně podle materiálu,64672.12231
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,7 Stroje a dopravní prostředky,234463.567312
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,8 Průmyslové spotřební zboží,44986.983698
"Vývoz (v mil. Kč, FOB)",Česko,duben 2024,"9 Komodity a předměty obchodu, j. n.",1418.774494
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,0 Potraviny a živá zvířata,18501.628311
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,1 Nápoje a tabák,1835.86965
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",10078.821461
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,"3 Minerální paliva, maziva a příbuzné materiály",8157.984655
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",870.334145
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28845.193732
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,6 Tržní výrobky tříděné hlavně podle materiálu,63677.479996
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,7 Stroje a dopravní prostředky,226150.510878
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,8 Průmyslové spotřební zboží,47527.5332
"Vývoz (v mil. Kč, FOB)",Česko,březen 2024,"9 Komodity a předměty obchodu, j. n.",1334.268
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,0 Potraviny a živá zvířata,18186.7153
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,1 Nápoje a tabák,1751.782756
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",9947.556233
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,"3 Minerální paliva, maziva a příbuzné materiály",7895.105752
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",873.094657
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,"5 Chemikálie a příbuzné výrobky, j. n.",28795.834843
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,6 Tržní výrobky tříděné hlavně podle materiálu,61244.94728
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,7 Stroje a dopravní prostředky,222837.36926
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,8 Průmyslové spotřební zboží,42184.769106
"Vývoz (v mil. Kč, FOB)",Česko,únor 2024,"9 Komodity a předměty obchodu, j. n.",1128.069866
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,0 Potraviny a živá zvířata,17502.099169
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,1 Nápoje a tabák,1515.387099
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,"2 Suroviny nepoživatelné, s výjimkou paliv",8302.964756
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,"3 Minerální paliva, maziva a příbuzné materiály",8180.83302
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,"4 Živočišné a rostlinné oleje, tuky a vosky",914.197363
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,"5 Chemikálie a příbuzné výrobky, j. n.",24007.376228
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,6 Tržní výrobky tříděné hlavně podle materiálu,56709.625012
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,7 Stroje a dopravní prostředky,198079.330348
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,8 Průmyslové spotřební zboží,37259.472783
"Vývoz (v mil. Kč, FOB)",Česko,leden 2024,"9 Komodity a předměty obchodu, j. n.",1119.430763
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,0 Potraviny a živá zvířata,15498.112293
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,1 Nápoje a tabák,1497.619301
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",6993.419668
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,"3 Minerální paliva, maziva a příbuzné materiály",8010.135099
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",802.939736
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,"5 Chemikálie a příbuzné výrobky, j. n.",23622.509784
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,6 Tržní výrobky tříděné hlavně podle materiálu,41937.900783
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,7 Stroje a dopravní prostředky,173070.948838
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,8 Průmyslové spotřební zboží,38739.897633
"Vývoz (v mil. Kč, FOB)",Česko,prosinec 2023,"9 Komodity a předměty obchodu, j. n.",1179.85656
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,0 Potraviny a živá zvířata,18928.946152
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,1 Nápoje a tabák,1838.595698
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",9734.171722
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,"3 Minerální paliva, maziva a příbuzné materiály",8968.114891
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",1018.53812
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,"5 Chemikálie a příbuzné výrobky, j. n.",28635.395176
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,6 Tržní výrobky tříděné hlavně podle materiálu,61612.826815
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,7 Stroje a dopravní prostředky,227751.176732
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,8 Průmyslové spotřební zboží,46706.226916
"Vývoz (v mil. Kč, FOB)",Česko,listopad 2023,"9 Komodity a předměty obchodu, j. n.",1493.328561
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,0 Potraviny a živá zvířata,18741.389853
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,1 Nápoje a tabák,1689.242368
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",9187.007465
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,"3 Minerální paliva, maziva a příbuzné materiály",11012.80077
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",975.294942
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,"5 Chemikálie a příbuzné výrobky, j. n.",27761.580178
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,6 Tržní výrobky tříděné hlavně podle materiálu,64238.241206
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,7 Stroje a dopravní prostředky,233574.146951
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,8 Průmyslové spotřební zboží,46488.688159
"Vývoz (v mil. Kč, FOB)",Česko,říjen 2023,"9 Komodity a předměty obchodu, j. n.",1211.872879
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,0 Potraviny a živá zvířata,16456.498189
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,1 Nápoje a tabák,1612.004274
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",8107.088394
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,"3 Minerální paliva, maziva a příbuzné materiály",9516.255446
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",884.108569
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,"5 Chemikálie a příbuzné výrobky, j. n.",25451.486125
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,6 Tržní výrobky tříděné hlavně podle materiálu,59382.282627
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,7 Stroje a dopravní prostředky,201932.374646
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,8 Průmyslové spotřební zboží,45626.105221
"Vývoz (v mil. Kč, FOB)",Česko,září 2023,"9 Komodity a předměty obchodu, j. n.",1005.495443
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2023,0 Potraviny a živá zvířata,16806.49167
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2023,1 Nápoje a tabák,1820.932911
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2023,"2 Suroviny nepoživatelné, s výjimkou paliv",7753.986982
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2023,"3 Minerální paliva, maziva a příbuzné materiály",8870.753421
"Vývoz (v mil. Kč, FOB)",Česko,srpen 2023,"4 Živočišné a rostlinné oleje, tuky a vosky",932.251118
