Území;Ukazatel;Typ indexu;Očištění;CZ-NACE;Kumulace měsíců;value
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2014;105.4254614835
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2014;105.73438002
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2014;105.3017242669
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2014;106.8072596729
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2014;106.4956265322
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2014;106.04907727
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2014;106.9270346804
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2014;106.8976981809
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2014;105.9616445206
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2014;105.5984529572
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2013;99.9164680173
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2013;99.2272168594
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2013;98.7288411176
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2013;98.2070577272
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2013;97.1506754963
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2013;96.5238462133
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2013;95.6711374698
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2013;95.8485868313
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2013;95.4351499809
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2013;94.139183496
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2013;94.4996098967
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2013;95.2960145876
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2012;99.1602614923
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2012;100.1058645346
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2012;100.6434503686
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2012;100.3083322418
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2012;101.1142626555
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2012;101.4283364647
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2012;100.8679707964
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2012;101.4921563061
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2012;102.4924227285
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2012;102.6186489577
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2012;104.0895048191
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2012;103.0152409643
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2011;105.8914790244
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2011;106.2202315789
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2011;106.423756575
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2011;107.0850954412
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2011;108.0028143662
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2011;108.4150723501
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2011;109.4765030061
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2011;109.9553582939
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2011;108.9422489924
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2011;110.8358647056
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2011;112.962746063
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2011;114.4994456938
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2010;108.626370205
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2010;108.5320876007
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2010;107.948244213
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2010;108.0040648982
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2010;107.5590839753
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2010;106.9127473927
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2010;107.1820685325
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2010;107.1723184771
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2010;105.7698809344
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2010;104.7410351385
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2010;103.132902326
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2010;102.728296532
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2009;86.3643826541
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2009;85.0201883642
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2009;83.7893754833
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2009;82.9006005273
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2009;82.4234348103
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2009;81.5121554579
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2009;81.3214245309
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2009;80.432119424
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2009;80.9391671799
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2009;81.8400046753
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2009;78.4050218471
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2009;78.6479188459
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2008;98.1858300018
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2008;99.0308780433
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2008;100.9274175162
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2008;102.2764086286
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2008;102.0112828321
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2008;103.2615014438
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2008;102.9840682237
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2008;103.2320713808
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2008;104.0686815886
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2008;102.0984824126
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2008;106.0614171989
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2008;104.6507734208
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2007;110.6459779542
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2007;111.178761876
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2007;111.3803842213
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2007;111.3333808146
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2007;112.1075838836
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2007;112.4886048329
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2007;112.2172894273
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2007;113.2226774125
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2007;114.3152575131
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2007;113.7011429297
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2007;114.3306547785
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2007;112.8369496163
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2006;108.3083693735
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2006;108.6275015572
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2006;108.7876564722
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2006;108.3440244082
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2006;108.6148331324
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2006;108.9451551797
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2006;108.9391655275
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2006;108.9193217756
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2006;108.6339459392
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2006;111.5917134035
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2006;110.2116169884
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2006;111.9347396048
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2005;103.8934883369
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2005;103.8934245153
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2005;103.6033025281
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2005;103.3887944968
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2005;103.1448200063
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2005;102.6705930558
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2005;102.95096452
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2005;102.5291900722
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2005;101.9692358711
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2005;101.5911812606
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2005;103.3421520758
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2005;104.8821572698
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2004;110.4235748786
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2004;110.6380132188
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – říjen 2004;110.3408998777
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – září 2004;110.9511943584
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – srpen 2004;111.5268948895
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červenec 2004;111.3754805592
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – červen 2004;112.3250413394
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – květen 2004;111.9482756705
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – duben 2004;111.1883933911
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – březen 2004;111.2321499516
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – únor 2004;108.2880862132
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden 2004;105.3863304329
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – prosinec 2003;103.6422643268
Česko;Index průmyslové produkce;Meziroční index;Bez očištění;Průmysl celkem;leden – listopad 2003;103.2639472876
