Ukazatel;Území;Roky;value
Počet obyvatel - celkem;Jihočeský kraj;2005;627766.0
Počet obyvatel - celkem;Jihočeský kraj;2004;625712.0
Počet obyvatel - celkem;Jihočeský kraj;2003;625541.0
Počet obyvatel - celkem;Jihočeský kraj;2002;625097.0
Počet obyvatel - celkem;Jihočeský kraj;2001;624568.0
Počet obyvatel - celkem;Jihočeský kraj;2000;625874.0
Počet obyvatel - celkem;Jihočeský kraj;1999;626112.0
Počet obyvatel - celkem;Jihočeský kraj;1998;626634.0
Počet obyvatel - celkem;Jihočeský kraj;1997;626570.0
Počet obyvatel - celkem;Jihočeský kraj;1996;626533.0
Počet obyvatel - celkem;Jihočeský kraj;1995;626867.0
Počet obyvatel - celkem;Jihočeský kraj;1994;627123.0
Počet obyvatel - celkem;Jihočeský kraj;1993;626391.0
Počet obyvatel - celkem;Jihočeský kraj;1992;625097.0
Počet obyvatel - celkem;Jihočeský kraj;1991;624111.0
Počet obyvatel - celkem;Jihočeský kraj;1990;622611.0
Počet obyvatel - celkem;Jihočeský kraj;1989;624165.0
Počet obyvatel - celkem;Jihočeský kraj;1988;
Počet obyvatel - celkem;Jihočeský kraj;1987;
Počet obyvatel - celkem;Jihočeský kraj;1986;
Počet obyvatel - celkem;Jihočeský kraj;1985;
Počet obyvatel - celkem;Jihočeský kraj;1984;
Počet obyvatel - celkem;Jihočeský kraj;1983;
Počet obyvatel - celkem;Jihočeský kraj;1982;
Počet obyvatel - celkem;Jihočeský kraj;1981;
Počet obyvatel - celkem;Plzeňský kraj;2024;614640.0
Počet obyvatel - celkem;Plzeňský kraj;2023;613374.0
Počet obyvatel - celkem;Plzeňský kraj;2022;605388.0
Počet obyvatel - celkem;Plzeňský kraj;2021;578707.0
Počet obyvatel - celkem;Plzeňský kraj;2020;591041.0
Počet obyvatel - celkem;Plzeňský kraj;2019;589899.0
Počet obyvatel - celkem;Plzeňský kraj;2018;584672.0
Počet obyvatel - celkem;Plzeňský kraj;2017;580816.0
Počet obyvatel - celkem;Plzeňský kraj;2016;578629.0
Počet obyvatel - celkem;Plzeňský kraj;2015;576616.0
Počet obyvatel - celkem;Plzeňský kraj;2014;575123.0
Počet obyvatel - celkem;Plzeňský kraj;2013;573469.0
Počet obyvatel - celkem;Plzeňský kraj;2012;572687.0
Počet obyvatel - celkem;Plzeňský kraj;2011;571709.0
Počet obyvatel - celkem;Plzeňský kraj;2010;572045.0
Počet obyvatel - celkem;Plzeňský kraj;2009;571863.0
Počet obyvatel - celkem;Plzeňský kraj;2008;569627.0
Počet obyvatel - celkem;Plzeňský kraj;2007;561074.0
Počet obyvatel - celkem;Plzeňský kraj;2006;554537.0
Počet obyvatel - celkem;Plzeňský kraj;2005;551528.0
Počet obyvatel - celkem;Plzeňský kraj;2004;549618.0
Počet obyvatel - celkem;Plzeňský kraj;2003;550113.0
Počet obyvatel - celkem;Plzeňský kraj;2002;549374.0
Počet obyvatel - celkem;Plzeňský kraj;2001;549600.0
Počet obyvatel - celkem;Plzeňský kraj;2000;551281.0
Počet obyvatel - celkem;Plzeňský kraj;1999;551870.0
Počet obyvatel - celkem;Plzeňský kraj;1998;552553.0
Počet obyvatel - celkem;Plzeňský kraj;1997;553269.0
Počet obyvatel - celkem;Plzeňský kraj;1996;554472.0
Počet obyvatel - celkem;Plzeňský kraj;1995;555410.0
Počet obyvatel - celkem;Plzeňský kraj;1994;556613.0
Počet obyvatel - celkem;Plzeňský kraj;1993;557080.0
Počet obyvatel - celkem;Plzeňský kraj;1992;556837.0
Počet obyvatel - celkem;Plzeňský kraj;1991;557444.0
Počet obyvatel - celkem;Plzeňský kraj;1990;558422.0
Počet obyvatel - celkem;Plzeňský kraj;1989;562601.0
Počet obyvatel - celkem;Plzeňský kraj;1988;
Počet obyvatel - celkem;Plzeňský kraj;1987;
Počet obyvatel - celkem;Plzeňský kraj;1986;
Počet obyvatel - celkem;Plzeňský kraj;1985;
Počet obyvatel - celkem;Plzeňský kraj;1984;
Počet obyvatel - celkem;Plzeňský kraj;1983;
Počet obyvatel - celkem;Plzeňský kraj;1982;
Počet obyvatel - celkem;Plzeňský kraj;1981;
Počet obyvatel - celkem;Karlovarský kraj;2024;293195.0
Počet obyvatel - celkem;Karlovarský kraj;2023;295077.0
Počet obyvatel - celkem;Karlovarský kraj;2022;293595.0
Počet obyvatel - celkem;Karlovarský kraj;2021;283210.0
Počet obyvatel - celkem;Karlovarský kraj;2020;293311.0
Počet obyvatel - celkem;Karlovarský kraj;2019;294664.0
Počet obyvatel - celkem;Karlovarský kraj;2018;294896.0
Počet obyvatel - celkem;Karlovarský kraj;2017;295686.0
Počet obyvatel - celkem;Karlovarský kraj;2016;296749.0
Počet obyvatel - celkem;Karlovarský kraj;2015;297828.0
Počet obyvatel - celkem;Karlovarský kraj;2014;299293.0
Počet obyvatel - celkem;Karlovarský kraj;2013;300309.0
