Ukazatel,Příčiny smrti,Pohlaví,Území,Rok,value
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2024,288.3956486
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2023,297.914917499
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2022,306.2874226
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2021,301.8103362
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2020,319.4069109
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2019,309.1919621
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2018,321.7806554
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2017,323.2564866
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2016,320.0797649
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2015,318.6520722
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2014,339.5449989
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2013,339.9397468
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2012,339.1544607
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2011,350.5070499
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2010,362.069455
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2009,357.4501357
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2008,381.2991041
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2007,389.883794
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2006,397.8335703
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2005,401.8507339
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2004,414.8463905
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2003,432.8747647
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2002,458.6411745
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2001,441.2218022
Standardizované míry úmrtnosti,Novotvary,Celkem,Ústecký kraj,2000,421.9374832
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2024,257.906569
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2023,257.2515661076
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2022,279.309598
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2021,264.0692093
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2020,284.3022144
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2019,292.5712973
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2018,280.4296894
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2017,297.0171829
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2016,274.8988499
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2015,294.9510741
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2014,287.7165694
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2013,302.8703721
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2012,315.7496719
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2011,303.9545187
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2010,330.9424096
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2009,333.1283202
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2008,338.8488746
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2007,337.3701296
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2006,347.5945939
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2005,354.7419301
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2004,386.6707935
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2003,416.0605045
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2002,426.2337997
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2001,386.5236811
Standardizované míry úmrtnosti,Novotvary,Celkem,Liberecký kraj,2000,423.7857693
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2024,229.8362804
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2023,253.2368101218
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2022,240.6472354
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2021,246.1093831
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2020,258.4974584
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2019,259.8796472
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2018,259.0811886
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2017,259.4256259
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2016,282.9448898
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2015,276.1087404
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2014,275.3051835
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2013,286.211101
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2012,277.3535229
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2011,292.0068822
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2010,310.0498869
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2009,308.2533999
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2008,314.6476583
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2007,315.3240077
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2006,325.779567
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2005,317.244125
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2004,337.0582781
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2003,343.7746039
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2002,341.3102456
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2001,348.5383813
Standardizované míry úmrtnosti,Novotvary,Celkem,Královéhradecký kraj,2000,339.708367
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2024,238.8909406
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2023,226.28174425
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2022,249.4003797
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2021,246.2595548
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2020,269.3041225
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2019,272.8132707
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2018,272.6796441
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2017,266.0578288
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2016,284.7163043
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2015,270.8085581
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2014,257.9223404
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2013,282.0468677
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2012,302.8524925
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2011,286.9648345
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2010,302.6770852
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2009,297.6862109
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2008,305.3585943
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2007,299.8343896
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2006,332.1944377
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2005,342.0831169
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2004,357.6798637
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2003,350.3897262
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2002,347.3173044
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2001,341.4564583
Standardizované míry úmrtnosti,Novotvary,Celkem,Pardubický kraj,2000,318.2105963
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2024,251.5413156
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2023,257.0758753844
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2022,239.5734411
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2021,246.5859879
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2020,257.1170428
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2019,268.5399793
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2018,254.8137972
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2017,258.022981
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2016,251.8951225
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2015,256.1950829
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2014,265.5744046
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2013,269.9339572
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2012,293.2644226
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2011,287.6756831
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2010,305.8057873
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2009,304.7471714
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2008,306.2726611
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2007,312.1541552
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2006,305.1954362
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2005,361.3341516
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2004,337.8369124
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2003,362.1704758
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2002,361.1522329
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2001,342.2875227
Standardizované míry úmrtnosti,Novotvary,Celkem,Kraj Vysočina,2000,363.4209906
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2024,240.4267901
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2023,243.3150266549
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2022,250.4879899
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2021,255.576268
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2020,259.2769482
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2019,264.5710494
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2018,269.7169576
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2017,263.8985253
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2016,272.6243838
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2015,266.3196181
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2014,276.746135
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2013,273.3157801
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2012,291.0671151
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2011,283.3116443
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2010,300.8524254
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2009,300.7430474
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2008,299.7905191
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2007,306.9333594
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2006,321.2141917
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2005,331.9783089
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2004,331.8114691
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2003,349.6691155
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2002,355.6510723
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2001,348.7600809
Standardizované míry úmrtnosti,Novotvary,Celkem,Jihomoravský kraj,2000,357.5154183
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2024,240.2337711
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2023,249.270924008
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2022,260.4751134
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2021,257.9991562
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2020,263.6479981
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2019,265.8190064
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2018,254.4823394
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2017,265.7290698
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2016,263.1810713
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2015,285.9165849
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2014,272.6767496
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2013,288.717627
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2012,298.1446039
Standardizované míry úmrtnosti,Novotvary,Celkem,Olomoucký kraj,2011,298.7674203
