Ukazatel;Rok sčítání;Pohlaví;Území;Mateřský jazyk;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Český;1039674
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Moravský;8529
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Slovenský;20162
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Polský;1046
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Německý;624
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Romský;315
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Ruský;4137
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Ukrajinský;7851
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Vietnamský;3480
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Maďarský;892
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Anglický;1573
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Nezjištěno;71845
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Obyvatelstvo celkem;619788
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Český;549346
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Moravský;2688
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Slovenský;6623
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Polský;637
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Německý;373
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Romský;350
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Ruský;842
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Ukrajinský;1453
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Vietnamský;1265
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Maďarský;287
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Anglický;421
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Nezjištěno;40752
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Obyvatelstvo celkem;564331
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Český;506223
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Moravský;3197
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Slovenský;6859
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Polský;394
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Německý;112
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Romský;140
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Ruský;518
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Ukrajinský;1329
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Vietnamský;702
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Maďarský;171
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Anglický;218
