Ukazatel,Území,Klasifikace produkce,Měsíce,value
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Ostatní těžba a dobývání nerostných surovin,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2023,0.2
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",září 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2023,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",prosinec 2024,-0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",leden 2025,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",duben 2025,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,"Potravinářské výrobky, vč. souvisejících služeb a prací",srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,leden 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,únor 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,leden 2024,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Nápoje,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Textilie,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,leden 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,květen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červenec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,srpen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,září 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,říjen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,listopad 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,prosinec 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,leden 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,únor 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,březen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,duben 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,květen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,červenec 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Oděvy,srpen 2025,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,leden 2023,0.1
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,únor 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,březen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,duben 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,květen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,červenec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,srpen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,září 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,říjen 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,listopad 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,prosinec 2023,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,leden 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,únor 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,březen 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,duben 2024,0.0
Rozklad přírůstků meziměsíčního (procentní bod),Česko,Usně a související výrobky,květen 2024,0.0
