Stát;Typ ceny;Měsíce;Ukazatel;Typ indexu;value
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Celkem (%);Meziroční index;97.7949966776
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);145.78288301
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;94.6575632473
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);133.79806487
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;102.94218872
Česko;Běžné ceny;listopad 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);168.55970663
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Celkem (%);Meziroční index;107.0407484519
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);147.29256693
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;104.0665855403
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);137.4831905
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;112.0847259199
Česko;Běžné ceny;říjen 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);165.93502225
Česko;Běžné ceny;září 2023;Index stavební produkce - Celkem (%);Meziroční index;102.3132042221
Česko;Běžné ceny;září 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);136.35009743
Česko;Běžné ceny;září 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;101.6998509582
Česko;Běžné ceny;září 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);130.33991534
Česko;Běžné ceny;září 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;103.358119585
Česko;Běžné ceny;září 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);147.77228637
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Celkem (%);Meziroční index;101.7725467205
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);135.4971086
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;101.1800581614
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);133.09955236
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;102.8604176359
Česko;Běžné ceny;srpen 2023;Index stavební produkce - Inženýrské stavby (%);Bazický index (2021 = 100);140.05359958
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Celkem (%);Meziroční index;104.8443199979
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Celkem (%);Bazický index (2021 = 100);122.78678451
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Pozemní stavby (%);Meziroční index;104.3160713477
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Pozemní stavby (%);Bazický index (2021 = 100);118.06852469
Česko;Běžné ceny;červenec 2023;Index stavební produkce - Inženýrské stavby (%);Meziroční index;105.7563870534
