Rok sčítání;Ukazatel;ČR a kraje;Celková plocha bytu (m2);value
2021;Počet  obydlených bytů;Jihomoravský kraj;40,0 až 59,9;80724
2021;Počet  obydlených bytů;Jihomoravský kraj;60,0 až 79,9;117130
2021;Počet  obydlených bytů;Jihomoravský kraj;80,0 až 99,9;64975
2021;Počet  obydlených bytů;Jihomoravský kraj;100,0 až 119,9;47000
2021;Počet  obydlených bytů;Jihomoravský kraj;120,0 až 149,9;47102
2021;Počet  obydlených bytů;Jihomoravský kraj;150,0 a více;63832
2021;Počet  obydlených bytů;Jihomoravský kraj;Nezjištěno;36444
2021;Počet  obydlených bytů;Moravskoslezský kraj;Obydlené byty celkem;503041
2021;Počet  obydlených bytů;Moravskoslezský kraj;do 39,9;31680
2021;Počet  obydlených bytů;Moravskoslezský kraj;40,0 až 59,9;109288
2021;Počet  obydlených bytů;Moravskoslezský kraj;60,0 až 79,9;141296
2021;Počet  obydlených bytů;Moravskoslezský kraj;80,0 až 99,9;58342
2021;Počet  obydlených bytů;Moravskoslezský kraj;100,0 až 119,9;39905
2021;Počet  obydlených bytů;Moravskoslezský kraj;120,0 až 149,9;35768
2021;Počet  obydlených bytů;Moravskoslezský kraj;150,0 a více;46660
2021;Počet  obydlených bytů;Moravskoslezský kraj;Nezjištěno;40102
2021;Počet  obydlených bytů;Zlínský kraj;Obydlené byty celkem;226219
2021;Počet  obydlených bytů;Zlínský kraj;do 39,9;13154
2021;Počet  obydlených bytů;Zlínský kraj;40,0 až 59,9;31774
2021;Počet  obydlených bytů;Zlínský kraj;60,0 až 79,9;56949
2021;Počet  obydlených bytů;Zlínský kraj;80,0 až 99,9;31291
2021;Počet  obydlených bytů;Zlínský kraj;100,0 až 119,9;22909
2021;Počet  obydlených bytů;Zlínský kraj;120,0 až 149,9;22756
2021;Počet  obydlených bytů;Zlínský kraj;150,0 a více;32288
2021;Počet  obydlených bytů;Zlínský kraj;Nezjištěno;15098
2021;Počet  obydlených bytů;Středočeský kraj;Obydlené byty celkem;561642
2021;Počet  obydlených bytů;Středočeský kraj;do 39,9;25979
2021;Počet  obydlených bytů;Středočeský kraj;40,0 až 59,9;77556
2021;Počet  obydlených bytů;Středočeský kraj;60,0 až 79,9;116653
2021;Počet  obydlených bytů;Středočeský kraj;80,0 až 99,9;78201
2021;Počet  obydlených bytů;Středočeský kraj;100,0 až 119,9;59989
2021;Počet  obydlených bytů;Středočeský kraj;120,0 až 149,9;63148
2021;Počet  obydlených bytů;Středočeský kraj;150,0 a více;88746
2021;Počet  obydlených bytů;Středočeský kraj;Nezjištěno;51370
2021;Počet  obydlených bytů;Hlavní město Praha;Obydlené byty celkem;627705
2021;Počet  obydlených bytů;Hlavní město Praha;do 39,9;61298
2021;Počet  obydlených bytů;Hlavní město Praha;40,0 až 59,9;164135
2021;Počet  obydlených bytů;Hlavní město Praha;60,0 až 79,9;184551
2021;Počet  obydlených bytů;Hlavní město Praha;80,0 až 99,9;80072
2021;Počet  obydlených bytů;Hlavní město Praha;100,0 až 119,9;33186
2021;Počet  obydlených bytů;Hlavní město Praha;120,0 až 149,9;22108
2021;Počet  obydlených bytů;Hlavní město Praha;150,0 a více;24354
2021;Počet  obydlených bytů;Hlavní město Praha;Nezjištěno;58001
2021;Počet  obydlených bytů;Jihočeský kraj;Obydlené byty celkem;265601
2021;Počet  obydlených bytů;Jihočeský kraj;do 39,9;13552
2021;Počet  obydlených bytů;Jihočeský kraj;40,0 až 59,9;35805
2021;Počet  obydlených bytů;Jihočeský kraj;60,0 až 79,9;76270
2021;Počet  obydlených bytů;Jihočeský kraj;80,0 až 99,9;38359
2021;Počet  obydlených bytů;Jihočeský kraj;100,0 až 119,9;24133
2021;Počet  obydlených bytů;Jihočeský kraj;120,0 až 149,9;23448
2021;Počet  obydlených bytů;Jihočeský kraj;150,0 a více;31837
2021;Počet  obydlených bytů;Jihočeský kraj;Nezjištěno;22197
2021;Počet  obydlených bytů;Ústecký kraj;Obydlené byty celkem;353285
2021;Počet  obydlených bytů;Ústecký kraj;do 39,9;25453
2021;Počet  obydlených bytů;Ústecký kraj;40,0 až 59,9;63539
2021;Počet  obydlených bytů;Ústecký kraj;60,0 až 79,9;107918
2021;Počet  obydlených bytů;Ústecký kraj;80,0 až 99,9;44413
2021;Počet  obydlených bytů;Ústecký kraj;100,0 až 119,9;23065
2021;Počet  obydlených bytů;Ústecký kraj;120,0 až 149,9;21280
2021;Počet  obydlených bytů;Ústecký kraj;150,0 a více;26445
2021;Počet  obydlených bytů;Ústecký kraj;Nezjištěno;41172
2021;Počet  obydlených bytů;Karlovarský kraj;Obydlené byty celkem;125299
2021;Počet  obydlených bytů;Karlovarský kraj;do 39,9;9370
2021;Počet  obydlených bytů;Karlovarský kraj;40,0 až 59,9;23481
2021;Počet  obydlených bytů;Karlovarský kraj;60,0 až 79,9;38345
2021;Počet  obydlených bytů;Karlovarský kraj;80,0 až 99,9;15115
2021;Počet  obydlených bytů;Karlovarský kraj;100,0 až 119,9;7816
2021;Počet  obydlených bytů;Karlovarský kraj;120,0 až 149,9;7382
2021;Počet  obydlených bytů;Karlovarský kraj;150,0 a více;9059
2021;Počet  obydlených bytů;Karlovarský kraj;Nezjištěno;14731
2021;Počet  obydlených bytů;Královéhradecký kraj;Obydlené byty celkem;228569
2021;Počet  obydlených bytů;Královéhradecký kraj;do 39,9;14025
2021;Počet  obydlených bytů;Královéhradecký kraj;40,0 až 59,9;32812
2021;Počet  obydlených bytů;Královéhradecký kraj;60,0 až 79,9;60881
2021;Počet  obydlených bytů;Královéhradecký kraj;80,0 až 99,9;34696
2021;Počet  obydlených bytů;Královéhradecký kraj;100,0 až 119,9;21825
2021;Počet  obydlených bytů;Královéhradecký kraj;120,0 až 149,9;20520
2021;Počet  obydlených bytů;Královéhradecký kraj;150,0 a více;24857
2021;Počet  obydlených bytů;Královéhradecký kraj;Nezjištěno;18953
2021;Počet  obydlených bytů;Liberecký kraj;Obydlené byty celkem;187627
2021;Počet  obydlených bytů;Liberecký kraj;do 39,9;12895
2021;Počet  obydlených bytů;Liberecký kraj;40,0 až 59,9;31041
2021;Počet  obydlených bytů;Liberecký kraj;60,0 až 79,9;52616
2021;Počet  obydlených bytů;Liberecký kraj;80,0 až 99,9;25696
2021;Počet  obydlených bytů;Liberecký kraj;100,0 až 119,9;14582
2021;Počet  obydlených bytů;Liberecký kraj;120,0 až 149,9;13888
2021;Počet  obydlených bytů;Liberecký kraj;150,0 a více;17475
2021;Počet  obydlených bytů;Liberecký kraj;Nezjištěno;19434
