Ukazatel;Rok;ČR, Reg. soudržnosti, Kraje;Věk (roky);Pohlaví;value
Počet obyvatel k 31. 12.;2023;Česko;49;Ženy;95772
Počet obyvatel k 31. 12.;2023;Česko;50;Celkem;181693
Počet obyvatel k 31. 12.;2023;Česko;50;Muži;92548
Počet obyvatel k 31. 12.;2023;Česko;50;Ženy;89145
Počet obyvatel k 31. 12.;2023;Česko;51;Celkem;164293
Počet obyvatel k 31. 12.;2023;Česko;51;Muži;83011
Počet obyvatel k 31. 12.;2023;Česko;51;Ženy;81282
Počet obyvatel k 31. 12.;2023;Česko;52;Celkem;154842
Počet obyvatel k 31. 12.;2023;Česko;52;Muži;78211
Počet obyvatel k 31. 12.;2023;Česko;52;Ženy;76631
Počet obyvatel k 31. 12.;2023;Česko;53;Celkem;147948
Počet obyvatel k 31. 12.;2023;Česko;53;Muži;74422
Počet obyvatel k 31. 12.;2023;Česko;53;Ženy;73526
Počet obyvatel k 31. 12.;2023;Česko;54;Celkem;141581
Počet obyvatel k 31. 12.;2023;Česko;54;Muži;71344
Počet obyvatel k 31. 12.;2023;Česko;54;Ženy;70237
Počet obyvatel k 31. 12.;2023;Česko;55;Celkem;133810
Počet obyvatel k 31. 12.;2023;Česko;55;Muži;67108
Počet obyvatel k 31. 12.;2023;Česko;55;Ženy;66702
Počet obyvatel k 31. 12.;2023;Česko;56;Celkem;133521
Počet obyvatel k 31. 12.;2023;Česko;56;Muži;67049
Počet obyvatel k 31. 12.;2023;Česko;56;Ženy;66472
Počet obyvatel k 31. 12.;2023;Česko;57;Celkem;134298
Počet obyvatel k 31. 12.;2023;Česko;57;Muži;67111
Počet obyvatel k 31. 12.;2023;Česko;57;Ženy;67187
Počet obyvatel k 31. 12.;2023;Česko;58;Celkem;138146
Počet obyvatel k 31. 12.;2023;Česko;58;Muži;68912
Počet obyvatel k 31. 12.;2023;Česko;58;Ženy;69234
Počet obyvatel k 31. 12.;2023;Česko;59;Celkem;143272
Počet obyvatel k 31. 12.;2023;Česko;59;Muži;71450
Počet obyvatel k 31. 12.;2023;Česko;59;Ženy;71822
Počet obyvatel k 31. 12.;2023;Česko;60;Celkem;137960
