Kumulace čtvrtletí,Pohlaví,"ČR, kraje",Ukazatel,value
Q1-Q2 2025,Celkem,Královéhradecký kraj,Vystěhovalí do ciziny,2514.0
Q1-Q2 2025,Celkem,Královéhradecký kraj,Objem vnitřního stěhování,5313.0
Q1-Q2 2025,Celkem,Pardubický kraj,Přistěhovalí,5489.0
Q1-Q2 2025,Celkem,Pardubický kraj,Přistěhovalí z ČR,3387.0
Q1-Q2 2025,Celkem,Pardubický kraj,Přistěhovalí z ciziny,2102.0
Q1-Q2 2025,Celkem,Pardubický kraj,Vystěhovalí,5578.0
Q1-Q2 2025,Celkem,Pardubický kraj,Vystěhovalí do ČR,3305.0
Q1-Q2 2025,Celkem,Pardubický kraj,Vystěhovalí do ciziny,2273.0
Q1-Q2 2025,Celkem,Pardubický kraj,Objem vnitřního stěhování,5630.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Přistěhovalí,4161.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Přistěhovalí z ČR,2621.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Přistěhovalí z ciziny,1540.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Vystěhovalí,5392.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Vystěhovalí do ČR,3229.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Vystěhovalí do ciziny,2163.0
Q1-Q2 2025,Celkem,Kraj Vysočina,Objem vnitřního stěhování,4353.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přistěhovalí,11068.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přistěhovalí z ČR,5104.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Přistěhovalí z ciziny,5964.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Vystěhovalí,12279.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Vystěhovalí do ČR,5473.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Vystěhovalí do ciziny,6806.0
Q1-Q2 2025,Celkem,Jihomoravský kraj,Objem vnitřního stěhování,12540.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Přistěhovalí,4406.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Přistěhovalí z ČR,2745.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Přistěhovalí z ciziny,1661.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Vystěhovalí,4559.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Vystěhovalí do ČR,2798.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Vystěhovalí do ciziny,1761.0
Q1-Q2 2025,Celkem,Olomoucký kraj,Objem vnitřního stěhování,5693.0
Q1-Q2 2025,Celkem,Zlínský kraj,Přistěhovalí,3742.0
Q1-Q2 2025,Celkem,Zlínský kraj,Přistěhovalí z ČR,2397.0
Q1-Q2 2025,Celkem,Zlínský kraj,Přistěhovalí z ciziny,1345.0
Q1-Q2 2025,Celkem,Zlínský kraj,Vystěhovalí,4050.0
Q1-Q2 2025,Celkem,Zlínský kraj,Vystěhovalí do ČR,2495.0
Q1-Q2 2025,Celkem,Zlínský kraj,Vystěhovalí do ciziny,1555.0
Q1-Q2 2025,Celkem,Zlínský kraj,Objem vnitřního stěhování,4791.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přistěhovalí,5128.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přistěhovalí z ČR,2499.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Přistěhovalí z ciziny,2629.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Vystěhovalí,6974.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Vystěhovalí do ČR,3644.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Vystěhovalí do ciziny,3330.0
Q1-Q2 2025,Celkem,Moravskoslezský kraj,Objem vnitřního stěhování,10162.0
