Území;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2024;C - Zpracovatelský průmysl;Mzdy včetně ostatních osobních nákladů (tis. Kč);590058345.00944
Česko;2024;C - Zpracovatelský průmysl;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);27948653.09881997
Česko;2024;C - Zpracovatelský průmysl;Mzdy včetně ostatních osobních nákladů - meziroční index (%);104.9720994854
Česko;2024;C - Zpracovatelský průmysl;Mzdy bez ostatních osobních nákladů (tis. Kč);571497747.1612285
Česko;2024;C - Zpracovatelský průmysl;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);29149216.696211956
Česko;2024;C - Zpracovatelský průmysl;Mzdy bez ostatních osobních nákladů - meziroční index (%);105.3746281328
Česko;2024;C - Zpracovatelský průmysl;Ostatní osobní náklady (tis. Kč);18560597.848211404
Česko;2024;C - Zpracovatelský průmysl;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-1200563.597391978
Česko;2024;C - Zpracovatelský průmysl;Ostatní osobní náklady - meziroční index (%);93.9246303883
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy včetně ostatních osobních nákladů (tis. Kč);32002918.77382177
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);2351089.3727628165
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy včetně ostatních osobních nákladů - meziroční index (%);107.9289859016
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy bez ostatních osobních nákladů (tis. Kč);30132865.834756944
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1961817.6656375376
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Mzdy bez ostatních osobních nákladů - meziroční index (%);106.9639498462
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Ostatní osobní náklady (tis. Kč);1870052.939064829
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);389271.7071252787
Česko;2024;D - Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;Ostatní osobní náklady - meziroční index (%);126.2882658646
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy včetně ostatních osobních nákladů (tis. Kč);28145617.799454037
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1989178.4276729475
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy včetně ostatních osobních nákladů - meziroční index (%);107.6049281762
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy bez ostatních osobních nákladů (tis. Kč);26752051.81360065
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);2391984.6268766248
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Mzdy bez ostatních osobních nákladů - meziroční index (%);109.8192858359
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Ostatní osobní náklady (tis. Kč);1393565.9858533868
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-402806.1992036774
Česko;2024;"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi";Ostatní osobní náklady - meziroční index (%);77.5766846896
Česko;2024;F - Stavebnictví;Mzdy včetně ostatních osobních nákladů (tis. Kč);107832686.6084408
Česko;2024;F - Stavebnictví;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);6317660.941823835
Česko;2024;F - Stavebnictví;Mzdy včetně ostatních osobních nákladů - meziroční index (%);106.2233752101
Česko;2024;F - Stavebnictví;Mzdy bez ostatních osobních nákladů (tis. Kč);100211596.77807993
Česko;2024;F - Stavebnictví;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);7449925.085733191
Česko;2024;F - Stavebnictví;Mzdy bez ostatních osobních nákladů - meziroční index (%);108.0312535876
Česko;2024;F - Stavebnictví;Ostatní osobní náklady (tis. Kč);7621089.830360874
Česko;2024;F - Stavebnictví;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-1132264.1439093566
Česko;2024;F - Stavebnictví;Ostatní osobní náklady - meziroční index (%);87.0647965656
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy včetně ostatních osobních nákladů (tis. Kč);277687517.11246514
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);16537924.50531652
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy včetně ostatních osobních nákladů - meziroční index (%);106.3327399213
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy bez ostatních osobních nákladů (tis. Kč);259076571.1332696
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);18114019.65644401
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Mzdy bez ostatních osobních nákladů - meziroční index (%);107.5173588366
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Ostatní osobní náklady (tis. Kč);18610945.979195543
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-1576095.1511274893
Česko;2024;"G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel";Ostatní osobní náklady - meziroční index (%);92.1925400511
Česko;2024;H - Doprava a skladování;Mzdy včetně ostatních osobních nákladů (tis. Kč);135460927.3919018
Česko;2024;H - Doprava a skladování;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);8499448.249264358
Česko;2024;H - Doprava a skladování;Mzdy včetně ostatních osobních nákladů - meziroční index (%);106.6945094738
Česko;2024;H - Doprava a skladování;Mzdy bez ostatních osobních nákladů (tis. Kč);128521810.49187542
Česko;2024;H - Doprava a skladování;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);8480889.035155706
Česko;2024;H - Doprava a skladování;Mzdy bez ostatních osobních nákladů - meziroční index (%);107.0649982791
Česko;2024;H - Doprava a skladování;Ostatní osobní náklady (tis. Kč);6939116.900026375
Česko;2024;H - Doprava a skladování;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);18559.2141086523
Česko;2024;H - Doprava a skladování;Ostatní osobní náklady - meziroční index (%);100.2681751233
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy včetně ostatních osobních nákladů (tis. Kč);46355389.01982216
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);5318815.726608268
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy včetně ostatních osobních nákladů - meziroční index (%);112.9611595213
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy bez ostatních osobních nákladů (tis. Kč);38716484.74525736
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);4907742.218632898
Česko;2024;I - Ubytování, stravování a pohostinství;Mzdy bez ostatních osobních nákladů - meziroční index (%);114.5161927119
Česko;2024;I - Ubytování, stravování a pohostinství;Ostatní osobní náklady (tis. Kč);7638904.274564799
Česko;2024;I - Ubytování, stravování a pohostinství;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);411073.5079753695
Česko;2024;I - Ubytování, stravování a pohostinství;Ostatní osobní náklady - meziroční index (%);105.6873704055
Česko;2024;J - Informační a komunikační činnosti;Mzdy včetně ostatních osobních nákladů (tis. Kč);142879011.26169977
Česko;2024;J - Informační a komunikační činnosti;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);9476397.65496752
Česko;2024;J - Informační a komunikační činnosti;Mzdy včetně ostatních osobních nákladů - meziroční index (%);107.1036071924
Česko;2024;J - Informační a komunikační činnosti;Mzdy bez ostatních osobních nákladů (tis. Kč);136765640.0135093
Česko;2024;J - Informační a komunikační činnosti;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);8571117.14175511
Česko;2024;J - Informační a komunikační činnosti;Mzdy bez ostatních osobních nákladů - meziroční index (%);106.6860244492
Česko;2024;J - Informační a komunikační činnosti;Ostatní osobní náklady (tis. Kč);6113371.248190465
Česko;2024;J - Informační a komunikační činnosti;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);905280.513212408
Česko;2024;J - Informační a komunikační činnosti;Ostatní osobní náklady - meziroční index (%);117.3821954969
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy včetně ostatních osobních nákladů (tis. Kč);68318825.92805395
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);4500964.072631183
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy včetně ostatních osobních nákladů - meziroční index (%);107.0528280669
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy bez ostatních osobních nákladů (tis. Kč);64720329.06689464
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);3975958.5586864
Česko;2024;K - Peněžnictví a pojišťovnictví;Mzdy bez ostatních osobních nákladů - meziroční index (%);106.5453942899
Česko;2024;K - Peněžnictví a pojišťovnictví;Ostatní osobní náklady (tis. Kč);3598496.861159305
Česko;2024;K - Peněžnictví a pojišťovnictví;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);525005.5139447838
Česko;2024;K - Peněžnictví a pojišťovnictví;Ostatní osobní náklady - meziroční index (%);117.081730665
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy včetně ostatních osobních nákladů (tis. Kč);30720355.876084987
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);5823380.699781349
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy včetně ostatních osobních nákladů - meziroční index (%);123.3899124634
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy bez ostatních osobních nákladů (tis. Kč);24462499.446010742
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);4107202.5263358112
Česko;2024;L - Činnosti v oblasti nemovitostí;Mzdy bez ostatních osobních nákladů - meziroční index (%);120.1775613618
Česko;2024;L - Činnosti v oblasti nemovitostí;Ostatní osobní náklady (tis. Kč);6257856.430074242
Česko;2024;L - Činnosti v oblasti nemovitostí;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);1716178.1734455377
Česko;2024;L - Činnosti v oblasti nemovitostí;Ostatní osobní náklady - meziroční index (%);137.7873128934
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy včetně ostatních osobních nákladů (tis. Kč);135204506.38919055
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);12714341.835856987
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy včetně ostatních osobních nákladů - meziroční index (%);110.3798879544
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy bez ostatních osobních nákladů (tis. Kč);121763795.88565266
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);12137449.268738208
Česko;2024;M - Profesní, vědecké a technické činnosti;Mzdy bez ostatních osobních nákladů - meziroční index (%);111.0716535243
Česko;2024;M - Profesní, vědecké a technické činnosti;Ostatní osobní náklady (tis. Kč);13440710.503537886
Česko;2024;M - Profesní, vědecké a technické činnosti;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);576892.5671187806
Česko;2024;M - Profesní, vědecké a technické činnosti;Ostatní osobní náklady - meziroční index (%);104.484613899
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy včetně ostatních osobních nákladů (tis. Kč);83453441.32211187
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);4682253.739320057
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy včetně ostatních osobních nákladů - meziroční index (%);105.9441197765
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy bez ostatních osobních nákladů (tis. Kč);71169070.20590734
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);4942663.179934813
Česko;2024;N - Administrativní a podpůrné činnosti;Mzdy bez ostatních osobních nákladů - meziroční index (%);107.4632814943
Česko;2024;N - Administrativní a podpůrné činnosti;Ostatní osobní náklady (tis. Kč);12284371.11620454
Česko;2024;N - Administrativní a podpůrné činnosti;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-260409.4406147553
Česko;2024;N - Administrativní a podpůrné činnosti;Ostatní osobní náklady - meziroční index (%);97.924161053
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy včetně ostatních osobních nákladů (tis. Kč);188497915.4695159
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);5531851.665268622
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy včetně ostatních osobních nákladů - meziroční index (%);103.0234304385
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy bez ostatních osobních nákladů (tis. Kč);166529535.58718243
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);3633415.60831466
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Mzdy bez ostatních osobních nákladů - meziroční index (%);102.2305108365
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Ostatní osobní náklady (tis. Kč);21968379.882333446
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Ostatní osobní náklady - meziroční rozdíl (tis. Kč);1898436.0569539624
Česko;2024;"O - Veřejná správa a obrana; povinné sociální zabezpečení";Ostatní osobní náklady - meziroční index (%);109.4591000028
Česko;2024;P - Vzdělávání;Mzdy včetně ostatních osobních nákladů (tis. Kč);190418476.1852887
Česko;2024;P - Vzdělávání;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);6872855.513374066
Česko;2024;P - Vzdělávání;Mzdy včetně ostatních osobních nákladů - meziroční index (%);103.7444944141
Česko;2024;P - Vzdělávání;Mzdy bez ostatních osobních nákladů (tis. Kč);183235520.0817777
Česko;2024;P - Vzdělávání;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);8118837.435110951
Česko;2024;P - Vzdělávání;Mzdy bez ostatních osobních nákladů - meziroční index (%);104.6362444242
Česko;2024;P - Vzdělávání;Ostatní osobní náklady (tis. Kč);7182956.103510983
Česko;2024;P - Vzdělávání;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-1245981.9217368849
Česko;2024;P - Vzdělávání;Ostatní osobní náklady - meziroční index (%);85.2178065848
Česko;2024;Q - Zdravotní a sociální péče;Mzdy včetně ostatních osobních nákladů (tis. Kč);228707131.95870027
Česko;2024;Q - Zdravotní a sociální péče;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);22122086.890963588
Česko;2024;Q - Zdravotní a sociální péče;Mzdy včetně ostatních osobních nákladů - meziroční index (%);110.708464828
Česko;2024;Q - Zdravotní a sociální péče;Mzdy bez ostatních osobních nákladů (tis. Kč);215657041.6514718
Česko;2024;Q - Zdravotní a sociální péče;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);23599836.39014565
Česko;2024;Q - Zdravotní a sociální péče;Mzdy bez ostatních osobních nákladů - meziroční index (%);112.2879203402
Česko;2024;Q - Zdravotní a sociální péče;Ostatní osobní náklady (tis. Kč);13050090.30722848
Česko;2024;Q - Zdravotní a sociální péče;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-1477749.4991820646
Česko;2024;Q - Zdravotní a sociální péče;Ostatní osobní náklady - meziroční index (%);89.8281539522
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy včetně ostatních osobních nákladů (tis. Kč);27643870.009776384
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1325078.3558236724
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy včetně ostatních osobních nákladů - meziroční index (%);105.0347233765
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy bez ostatních osobních nákladů (tis. Kč);24025281.981878795
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1379309.1337673068
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Mzdy bez ostatních osobních nákladů - meziroční index (%);106.0907479799
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Ostatní osobní náklady (tis. Kč);3618588.027897588
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);-54230.7779436344
Česko;2024;R - Kulturní, zábavní a rekreační činnosti;Ostatní osobní náklady - meziroční index (%);98.5234562114
Česko;2024;S - Ostatní činnosti;Mzdy včetně ostatních osobních nákladů (tis. Kč);20517447.799019672
Česko;2024;S - Ostatní činnosti;Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1920113.6138933403
Česko;2024;S - Ostatní činnosti;Mzdy včetně ostatních osobních nákladů - meziroční index (%);110.3246712393
Česko;2024;S - Ostatní činnosti;Mzdy bez ostatních osobních nákladů (tis. Kč);15897002.25574167
Česko;2024;S - Ostatní činnosti;Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč);1414888.4575209648
Česko;2024;S - Ostatní činnosti;Mzdy bez ostatních osobních nákladů - meziroční index (%);109.7699029108
Česko;2024;S - Ostatní činnosti;Ostatní osobní náklady (tis. Kč);4620445.543278
Česko;2024;S - Ostatní činnosti;Ostatní osobní náklady - meziroční rozdíl (tis. Kč);505225.1563723756
Česko;2024;S - Ostatní činnosti;Ostatní osobní náklady - meziroční index (%);112.2769890522
