Roky,PCSU,Kraje,Ukazatel,value
2024,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nebytových budovách,8
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty,1269
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty - nová výstavba,1014
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty - změna dokončených staveb,255
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty v nových rodinných domech,646
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty v nových bytových domech,325
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty v nebytových budovách,80
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty,1328
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty - nová výstavba,1143
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty - změna dokončených staveb,185
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nových rodinných domech,801
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nových bytových domech,340
2024,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nebytových budovách,13
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty,1452
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty - nová výstavba,1097
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty - změna dokončených staveb,355
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nových rodinných domech,631
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nových bytových domech,444
2024,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nebytových budovách,92
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty,1591
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty - nová výstavba,1373
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty - změna dokončených staveb,218
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nových rodinných domech,899
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nových bytových domech,471
2024,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nebytových budovách,19
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty,1779
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty - nová výstavba,1366
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty - změna dokončených staveb,413
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nových rodinných domech,899
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nových bytových domech,454
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nebytových budovách,183
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty,1434
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty - nová výstavba,1265
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty - změna dokončených staveb,169
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nových rodinných domech,954
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nových bytových domech,306
2024,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nebytových budovách,16
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty,5722
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty - nová výstavba,5132
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty - změna dokončených staveb,590
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nových rodinných domech,1868
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nových bytových domech,2939
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nebytových budovách,300
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty,3349
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty - nová výstavba,2792
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty - změna dokončených staveb,557
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nových rodinných domech,1875
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nových bytových domech,858
2024,Stavební úřad kromě speciálního,Jihomoravský kraj,Dokončené byty v nebytových budovách,134
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty,1694
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty - nová výstavba,1351
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty - změna dokončených staveb,343
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nových rodinných domech,681
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nových bytových domech,652
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Zahájené byty v nebytových budovách,87
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty,1909
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty - nová výstavba,1647
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty - změna dokončených staveb,262
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nových rodinných domech,871
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nových bytových domech,775
2024,Stavební úřad kromě speciálního,Olomoucký kraj,Dokončené byty v nebytových budovách,14
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty,1330
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty - nová výstavba,1085
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty - změna dokončených staveb,245
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nových rodinných domech,800
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nových bytových domech,215
2024,Stavební úřad kromě speciálního,Zlínský kraj,Zahájené byty v nebytových budovách,114
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty,1293
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty - nová výstavba,1198
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty - změna dokončených staveb,95
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nových rodinných domech,835
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nových bytových domech,362
2024,Stavební úřad kromě speciálního,Zlínský kraj,Dokončené byty v nebytových budovách,15
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty,2839
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty - nová výstavba,2291
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty - změna dokončených staveb,548
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nových rodinných domech,1267
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nových bytových domech,690
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Zahájené byty v nebytových budovách,305
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty,1980
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty - nová výstavba,1610
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty - změna dokončených staveb,370
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nových rodinných domech,1399
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nových bytových domech,204
2024,Stavební úřad kromě speciálního,Moravskoslezský kraj,Dokončené byty v nebytových budovách,23
