Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),-0.7436955277
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),99.6789329716
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),41053.1758436602
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2587.5488180566
Q1-Q2 2025,Pracovištní metoda,Jihočeský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.7269118383
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.5143977116
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),1.0107501683
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4542622916
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44579.7073642424
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2702.4797207268
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4533396139
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),235.1792363622
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),1.1666718144
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),100.4985509289
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby (Kč),42368.5636359982
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2550.890094891
Q1-Q2 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),106.4064267649
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),85.3983361079
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-0.5825033721
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.3225195571
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),40726.1860611478
Q1-Q2 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),2326.6323889823
