Území;Ukazatel;CZ-NACE;Měsíce;Očištění;Typ indexu;value
Česko;Index stavební produkce (%);Celkem;říjen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);122.53739799
Česko;Index stavební produkce (%);Celkem;říjen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;99.45520514
Česko;Index stavební produkce (%);Celkem;říjen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);101.81262243
Česko;Index stavební produkce (%);Celkem;září 2023;Bez očištění;Meziroční index;98.4621591385
Česko;Index stavební produkce (%);Celkem;září 2023;Bez očištění;Bazický index (2021 = 100);114.52621443
Česko;Index stavební produkce (%);Celkem;září 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;100.4048911226
Česko;Index stavební produkce (%);Celkem;září 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);116.43841777
Česko;Index stavební produkce (%);Celkem;září 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;100.8464868164
Česko;Index stavební produkce (%);Celkem;září 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);101.91215516
Česko;Index stavební produkce (%);Celkem;srpen 2023;Bez očištění;Meziroční index;97.970371786
Česko;Index stavební produkce (%);Celkem;srpen 2023;Bez očištění;Bazický index (2021 = 100);114.05256236
Česko;Index stavební produkce (%);Celkem;srpen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;97.9788982688
Česko;Index stavební produkce (%);Celkem;srpen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);112.44898892
Česko;Index stavební produkce (%);Celkem;srpen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;97.9555609413
Česko;Index stavební produkce (%);Celkem;srpen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);100.19846093
Česko;Index stavební produkce (%);Celkem;červenec 2023;Bez očištění;Meziroční index;99.9315809007
Česko;Index stavební produkce (%);Celkem;červenec 2023;Bez očištění;Bazický index (2021 = 100);103.56211681
Česko;Index stavební produkce (%);Celkem;červenec 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;99.9254052476
Česko;Index stavební produkce (%);Celkem;červenec 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);107.34284011
Česko;Index stavební produkce (%);Celkem;červenec 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;99.8649933737
Česko;Index stavební produkce (%);Celkem;červenec 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);100.59147456
Česko;Index stavební produkce (%);Celkem;červen 2023;Bez očištění;Meziroční index;99.5360540859
Česko;Index stavební produkce (%);Celkem;červen 2023;Bez očištění;Bazický index (2021 = 100);116.68970227
Česko;Index stavební produkce (%);Celkem;červen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;99.5243833868
Česko;Index stavební produkce (%);Celkem;červen 2023;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Bazický index (2021 = 100);115.71103556
Česko;Index stavební produkce (%);Celkem;červen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Meziroční index;99.6131644135
Česko;Index stavební produkce (%);Celkem;červen 2023;Sezónně očištěno, včetně očištění o kalendářní vlivy;Bazický index (2021 = 100);104.20134584
