Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),20 a více zaměstnanců,440.6793848993
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),20 až 49 zaměstnanců,121.6227285142
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),50 až 99 zaměstnanců,122.1672947072
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),100 až 249 zaměstnanců,213.295114395
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),250 až 499 zaměstnanců,540.7314636946
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),500 až 999 zaměstnanců,556.4577001206
Česko,2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),1 000 a více zaměstnanců,784.0005584979
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Celkem zaměstnanců,279.2801057676
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,1 až 9 zaměstnanců,52.937023499
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,10 až 19 zaměstnanců,130.9637634171
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,20 a více zaměstnanců,326.1901549547
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,20 až 49 zaměstnanců,154.5557433193
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,50 až 99 zaměstnanců,168.7909155236
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,100 až 249 zaměstnanců,211.2952061935
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,250 až 499 zaměstnanců,292.0723179345
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,500 až 999 zaměstnanců,381.8310912559
Česko,2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,1 000 a více zaměstnanců,537.5864933581
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Celkem zaměstnanců,2380.7446664601
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,1 až 9 zaměstnanců,468.4740048675
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,10 až 19 zaměstnanců,871.1003221479
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,20 a více zaměstnanců,2800.3079055896
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,20 až 49 zaměstnanců,1313.2598470158
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,50 až 99 zaměstnanců,2062.5058788641
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,100 až 249 zaměstnanců,2222.3284411271
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,250 až 499 zaměstnanců,2177.0157523132
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,500 až 999 zaměstnanců,2986.6770019525
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,1 000 a více zaměstnanců,4353.0383597548
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Celkem zaměstnanců,46.6030455669
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,1 až 9 zaměstnanců,10.1708475891
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,10 až 19 zaměstnanců,14.6749846857
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,20 a více zaměstnanců,54.8833100994
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,20 až 49 zaměstnanců,16.1486562642
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,50 až 99 zaměstnanců,16.6085571737
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,100 až 249 zaměstnanců,50.6078052749
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,250 až 499 zaměstnanců,86.7249480727
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,500 až 999 zaměstnanců,108.0325127253
Česko,2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,1 000 a více zaměstnanců,60.9624301776
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Celkem zaměstnanců,139.9624526011
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,1 až 9 zaměstnanců,34.3111543749
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,10 až 19 zaměstnanců,45.0264880733
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,20 a více zaměstnanců,164.1872835149
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,20 až 49 zaměstnanců,50.2567647296
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,50 až 99 zaměstnanců,49.2373043908
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,100 až 249 zaměstnanců,110.3229672797
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,250 až 499 zaměstnanců,149.4300127883
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,500 až 999 zaměstnanců,266.7393529864
Česko,2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,1 000 a více zaměstnanců,269.1404730361
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Celkem zaměstnanců,503.5087411386
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,1 až 9 zaměstnanců,125.488378985
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,10 až 19 zaměstnanců,247.1370750712
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,20 a více zaměstnanců,582.6391105603
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,20 až 49 zaměstnanců,277.0867327321
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,50 až 99 zaměstnanců,274.7654786787
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,100 až 249 zaměstnanců,488.2713038734
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,250 až 499 zaměstnanců,561.1684647487
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,500 až 999 zaměstnanců,652.7924715606
Česko,2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,1 000 a více zaměstnanců,905.1687901792
Česko,2023,Přímé náklady - náhrady mzdy,Celkem zaměstnanců,4819.8683404115
Česko,2023,Přímé náklady - náhrady mzdy,1 až 9 zaměstnanců,2499.6625268009
Česko,2023,Přímé náklady - náhrady mzdy,10 až 19 zaměstnanců,3551.3675464291
Česko,2023,Přímé náklady - náhrady mzdy,20 a více zaměstnanců,5277.921778604
Česko,2023,Přímé náklady - náhrady mzdy,20 až 49 zaměstnanců,4280.3659698271
Česko,2023,Přímé náklady - náhrady mzdy,50 až 99 zaměstnanců,4964.9314241317
Česko,2023,Přímé náklady - náhrady mzdy,100 až 249 zaměstnanců,4980.9559553799
Česko,2023,Přímé náklady - náhrady mzdy,250 až 499 zaměstnanců,5225.0173245503
Česko,2023,Přímé náklady - náhrady mzdy,500 až 999 zaměstnanců,5632.6523353272
Česko,2023,Přímé náklady - náhrady mzdy,1 000 a více zaměstnanců,5955.9822731606
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,Celkem zaměstnanců,4033.3630983355
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,1 až 9 zaměstnanců,2167.0348475369
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,10 až 19 zaměstnanců,3033.7757650552
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,20 a více zaměstnanců,4399.9310166034
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,20 až 49 zaměstnanců,3664.8592403595
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,50 až 99 zaměstnanců,4272.1036033601
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,100 až 249 zaměstnanců,4175.9229007046
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,250 až 499 zaměstnanců,4224.7258746405
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,500 až 999 zaměstnanců,4629.6394308409
Česko,2023,Přímé náklady - náhrady mzdy - za dovolenou,1 000 a více zaměstnanců,4921.307934489
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Celkem zaměstnanců,101.7300159282
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,1 až 9 zaměstnanců,6.3250931072
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,10 až 19 zaměstnanců,23.8259861476
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,20 a více zaměstnanců,122.896690583
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,20 až 49 zaměstnanců,28.4091569253
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,50 až 99 zaměstnanců,33.8401202217
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,100 až 249 zaměstnanců,60.1040634727
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,250 až 499 zaměstnanců,122.4768377396
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,500 až 999 zaměstnanců,151.7765793074
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,1 000 a více zaměstnanců,233.5126564045
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Celkem zaměstnanců,305.2023109012
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,1 až 9 zaměstnanců,50.9200476931
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,10 až 19 zaměstnanců,149.003917959
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,20 a více zaměstnanců,356.9584574704
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,20 až 49 zaměstnanců,210.4509302263
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,50 až 99 zaměstnanců,295.829668972
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,100 až 249 zaměstnanců,304.5347877182
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,250 až 499 zaměstnanců,345.3582116234
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,500 až 999 zaměstnanců,382.6344708574
Česko,2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,1 000 a více zaměstnanců,479.7439932654
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,Celkem zaměstnanců,379.5729152467
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,1 až 9 zaměstnanců,275.3825384637
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,10 až 19 zaměstnanců,344.7618772673
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,20 a více zaměstnanců,398.1356139473
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,20 až 49 zaměstnanců,376.646642316
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,50 až 99 zaměstnanců,363.158031578
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,100 až 249 zaměstnanců,440.3942034844
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,250 až 499 zaměstnanců,532.4564005468
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,500 až 999 zaměstnanců,468.6018543214
Česko,2023,Přímé náklady - náhrady mzdy - za svátky,1 000 a více zaměstnanců,321.4176890016
Česko,2023,Nepřímé náklady celkem,Celkem zaměstnanců,16648.8013476711
Česko,2023,Nepřímé náklady celkem,1 až 9 zaměstnanců,10057.7694660088
Česko,2023,Nepřímé náklady celkem,10 až 19 zaměstnanců,12509.1656518041
Česko,2023,Nepřímé náklady celkem,20 a více zaměstnanců,17998.5662238118
Česko,2023,Nepřímé náklady celkem,20 až 49 zaměstnanců,14268.3573505564
Česko,2023,Nepřímé náklady celkem,50 až 99 zaměstnanců,15471.0935809324
Česko,2023,Nepřímé náklady celkem,100 až 249 zaměstnanců,16415.2321587681
Česko,2023,Nepřímé náklady celkem,250 až 499 zaměstnanců,17835.3895822796
Česko,2023,Nepřímé náklady celkem,500 až 999 zaměstnanců,19402.8669272779
Česko,2023,Nepřímé náklady celkem,1 000 a více zaměstnanců,21373.6969649816
Česko,2023,Nepřímé náklady - sociální požitky,Celkem zaměstnanců,677.3457695113
Česko,2023,Nepřímé náklady - sociální požitky,1 až 9 zaměstnanců,174.9725770581
Česko,2023,Nepřímé náklady - sociální požitky,10 až 19 zaměstnanců,351.0961966318
Česko,2023,Nepřímé náklady - sociální požitky,20 a více zaměstnanců,781.1971506854
Česko,2023,Nepřímé náklady - sociální požitky,20 až 49 zaměstnanců,388.4778168046
Česko,2023,Nepřímé náklady - sociální požitky,50 až 99 zaměstnanců,401.9861665832
Česko,2023,Nepřímé náklady - sociální požitky,100 až 249 zaměstnanců,522.8052218611
Česko,2023,Nepřímé náklady - sociální požitky,250 až 499 zaměstnanců,825.9515598683
Česko,2023,Nepřímé náklady - sociální požitky,500 až 999 zaměstnanců,900.6850352833
Česko,2023,Nepřímé náklady - sociální požitky,1 000 a více zaměstnanců,1225.4629285045
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,Celkem zaměstnanců,1.9763207162
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,1 až 9 zaměstnanců,0.0460627932
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,10 až 19 zaměstnanců,0.293365501
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,20 a více zaměstnanců,2.4142425865
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,20 až 49 zaměstnanců,0.3964544473
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,50 až 99 zaměstnanců,0.822955732
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,100 až 249 zaměstnanců,0.1313826232
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,250 až 499 zaměstnanců,3.2577402684
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,500 až 999 zaměstnanců,3.5607963447
Česko,2023,Nepřímé náklady - sociální požitky - výrobky firmy se slevou,1 000 a více zaměstnanců,4.6280374351
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,Celkem zaměstnanců,34.4330521169
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,1 až 9 zaměstnanců,0.0304246406
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,10 až 19 zaměstnanců,0.0922483239
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,20 a více zaměstnanců,42.6316915177
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,20 až 49 zaměstnanců,1.6056233926
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,50 až 99 zaměstnanců,0.8826744198
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,100 až 249 zaměstnanců,11.3447342922
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,250 až 499 zaměstnanců,16.6534290801
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,500 až 999 zaměstnanců,16.9890247572
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na bydlení,1 000 a více zaměstnanců,118.7473138935
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,Celkem zaměstnanců,94.5666052742
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,1 až 9 zaměstnanců,99.6621136483
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,10 až 19 zaměstnanců,67.1200142397
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,20 a více zaměstnanců,96.2990789343
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,20 až 49 zaměstnanců,59.0254012981
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,50 až 99 zaměstnanců,64.889072941
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,100 až 249 zaměstnanců,109.2674865589
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,250 až 499 zaměstnanců,127.8558342473
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,500 až 999 zaměstnanců,125.2913039568
Česko,2023,Nepřímé náklady - sociální požitky - služební vozy k soukromým účelům,1 000 a více zaměstnanců,98.0215521794
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,Celkem zaměstnanců,430.05630116
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,1 až 9 zaměstnanců,73.2432520479
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,10 až 19 zaměstnanců,278.1947132837
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,20 a více zaměstnanců,496.5837178641
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,20 až 49 zaměstnanců,318.5134889362
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,50 až 99 zaměstnanců,316.8272678228
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,100 až 249 zaměstnanců,373.1969208569
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,250 až 499 zaměstnanců,566.1344389132
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,500 až 999 zaměstnanců,576.2557891693
Česko,2023,Nepřímé náklady - sociální požitky - příspěvky na stravování,1 000 a více zaměstnanců,676.1006660384
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",Celkem zaměstnanců,11.3024544163
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",1 až 9 zaměstnanců,0.0541812988
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",10 až 19 zaměstnanců,0.0163467434
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",20 a více zaměstnanců,13.9883371564
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",20 až 49 zaměstnanců,0.4797894984
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",50 až 99 zaměstnanců,1.5414739821
Česko,2023,"Nepřímé náklady - sociální požitky - příspěvky ve formě spoření, prodej akcií",100 až 249 zaměstnanců,3.0966844921
