Území,Právní forma,Ukazatel,Příjmy územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2021,51949827.34346
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2020,69684572.01864
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2019,73571313.52376
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2018,65358592.07524
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2017,57353459.09308
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2016,50027663.51529
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2015,43346062.14895
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2014,42299705.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2013,40469108.93
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2012,37643384.82
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2011,36767946.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2010,35324072.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2009,34139011.76
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2008,36417763.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků,2007,38733001.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2024,5254792.029
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2023,5354345.63247
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2022,4950713.16849
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2021,3342592.33954
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2020,1130878.38054
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2019,2016446.38602
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2018,1519260.63187
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2017,1646199.87139
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2016,4154339.80038
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2015,3363152.93862
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2014,2533861.68
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2013,3221670.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2012,2957193.44
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2011,2981647.62
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2010,5207660.81
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2009,4583246.33
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2008,8856172.35
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob placená poplatníky,2007,8105635.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2024,16335280.7253
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2023,15447398.73781
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2022,11005391.91909
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2021,8636509.58349
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2020,6734700.18875
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2019,6644147.20088
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2018,5879031.3061
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2017,5194608.0443
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2016,5201440.51102
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2015,5078917.79042
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2014,4722363.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2013,4186566.6
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2012,3949019.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2011,3334419.1
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2010,3059504.75
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2009,3013914.07
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2008,3077886.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů fyzických osob vybíraná srážkou,2007,2472742.61
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2024,112679782.10436
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2023,122038269.14803
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2022,91276497.02289
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2021,79777927.56156
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2020,57316209.56502
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2019,69975853.2917
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2018,61438636.70956
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2017,62105984.83977
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2016,60386645.29613
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2015,54168144.80698
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2014,51612693.38
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2013,47485610.15
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2012,44496714.3
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2011,41027684.78
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2010,43290606.07
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2009,43805593.89
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2008,60447069.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně z příjmů právnických osob,2007,51668472.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2024,101251271.71833
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2023,112098256.44703
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2022,83191268.77294
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2021,72770769.69256
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2020,50516709.12579
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2019,61998480.7212
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2018,54168096.38506
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2017,55389735.08862
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2016,53962832.07494
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2015,47417804.44412
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2014,45516498.94
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2013,41687115.95
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2012,38863691.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2011,35093410.26
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2010,37484904.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2009,37739800.5
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2008,53867205.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob,2007,45218589.89
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2024,10463254.61403
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2023,9363701.987
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2022,7740746.95595
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2021,6621508.539
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2020,6475519.17923
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2019,7697620.1745
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2018,6933826.5665
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2017,6401127.33948
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2016,6161620.40119
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2015,6402784.15528
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2014,5899964.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2013,5608109.59
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2012,5417738.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2011,5757188.87
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2010,5469505.45
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2009,5764358.47
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2008,6026856.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za obce,2007,6182880.24
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2024,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2023,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2022,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2021,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2020,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2019,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2018,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2017,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2016,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2015,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2014,196136.42
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2013,190379.67
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2012,215230.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2011,176963.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2010,335838.74
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2009,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2008,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z příjmů právnických osob za kraje,2007,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2024,203040649.800199
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2023,201510964.432241
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2022,189080862.44668
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2021,162690893.7374
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2020,138459328.72366
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2019,139594521.25441
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2018,133169769.19686
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2017,115503526.08256
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2016,102013653.64342
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2015,93811871.4324
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2014,92251029.54
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2013,87390246.42
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2012,78234820.79
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2011,82459646.73
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2010,80676729.51
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2009,76009060.97
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2008,76973413.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daň z přidané hodnoty,2007,68413874.81
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2024,23163617.8945
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2023,25156599.55609
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2022,23196387.41519
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2021,17612214.08987
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2020,16781719.96189
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2019,17462051.15527
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2018,16967104.09269
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2017,18172711.51902
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2016,17126992.56916
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2015,16197449.27594
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Příjmy celkem,Daně a poplatky z vybraných činností a služeb,2014,15997105.13
