Ukazatel,Rok sčítání,Území,Hospodařící domácnosti s počtem členů,value
Počet hospodařících domácností,2021,Ústecký kraj,7 a více,1566
Počet hospodařících domácností,2021,Liberecký kraj,Hospodařící domácnosti celkem,201102
Počet hospodařících domácností,2021,Liberecký kraj,1,80228
Počet hospodařících domácností,2021,Liberecký kraj,2,59298
Počet hospodařících domácností,2021,Liberecký kraj,3,29187
Počet hospodařících domácností,2021,Liberecký kraj,4,24087
Počet hospodařících domácností,2021,Liberecký kraj,5,5988
Počet hospodařících domácností,2021,Liberecký kraj,6,1567
Počet hospodařících domácností,2021,Liberecký kraj,7 a více,747
Počet hospodařících domácností,2021,Královéhradecký kraj,Hospodařící domácnosti celkem,244683
Počet hospodařících domácností,2021,Královéhradecký kraj,1,92925
Počet hospodařících domácností,2021,Královéhradecký kraj,2,74554
Počet hospodařících domácností,2021,Královéhradecký kraj,3,35553
Počet hospodařících domácností,2021,Královéhradecký kraj,4,31053
Počet hospodařících domácností,2021,Královéhradecký kraj,5,7788
Počet hospodařících domácností,2021,Královéhradecký kraj,6,1993
Počet hospodařících domácností,2021,Královéhradecký kraj,7 a více,817
Počet hospodařících domácností,2021,Pardubický kraj,Hospodařící domácnosti celkem,224265
Počet hospodařících domácností,2021,Pardubický kraj,1,80577
Počet hospodařících domácností,2021,Pardubický kraj,2,68057
Počet hospodařících domácností,2021,Pardubický kraj,3,33527
Počet hospodařících domácností,2021,Pardubický kraj,4,31052
Počet hospodařících domácností,2021,Pardubický kraj,5,8077
Počet hospodařících domácností,2021,Pardubický kraj,6,2081
Počet hospodařících domácností,2021,Pardubický kraj,7 a více,894
Počet hospodařících domácností,2021,Kraj Vysočina,Hospodařící domácnosti celkem,210806
Počet hospodařících domácností,2021,Kraj Vysočina,1,70547
Počet hospodařících domácností,2021,Kraj Vysočina,2,64315
Počet hospodařících domácností,2021,Kraj Vysočina,3,31969
Počet hospodařících domácností,2021,Kraj Vysočina,4,30848
Počet hospodařících domácností,2021,Kraj Vysočina,5,9228
Počet hospodařících domácností,2021,Kraj Vysočina,6,2753
Počet hospodařících domácností,2021,Kraj Vysočina,7 a více,1146
Počet hospodařících domácností,2021,Jihomoravský kraj,Hospodařící domácnosti celkem,529939
Počet hospodařících domácností,2021,Jihomoravský kraj,1,195401
Počet hospodařících domácností,2021,Jihomoravský kraj,2,155287
Počet hospodařících domácností,2021,Jihomoravský kraj,3,80605
Počet hospodařících domácností,2021,Jihomoravský kraj,4,72127
Počet hospodařících domácností,2021,Jihomoravský kraj,5,18957
Počet hospodařících domácností,2021,Jihomoravský kraj,6,5340
Počet hospodařících domácností,2021,Jihomoravský kraj,7 a více,2222
Počet hospodařících domácností,2021,Olomoucký kraj,Hospodařící domácnosti celkem,280121
Počet hospodařících domácností,2021,Olomoucký kraj,1,105060
Počet hospodařících domácností,2021,Olomoucký kraj,2,85228
Počet hospodařících domácností,2021,Olomoucký kraj,3,41382
Počet hospodařících domácností,2021,Olomoucký kraj,4,36187
Počet hospodařících domácností,2021,Olomoucký kraj,5,8933
Počet hospodařících domácností,2021,Olomoucký kraj,6,2339
Počet hospodařících domácností,2021,Olomoucký kraj,7 a více,992
Počet hospodařících domácností,2021,Zlínský kraj,Hospodařící domácnosti celkem,245325
Počet hospodařících domácností,2021,Zlínský kraj,1,86562
Počet hospodařících domácností,2021,Zlínský kraj,2,73503
Počet hospodařících domácností,2021,Zlínský kraj,3,37389
Počet hospodařících domácností,2021,Zlínský kraj,4,34485
Počet hospodařících domácností,2021,Zlínský kraj,5,9711
Počet hospodařících domácností,2021,Zlínský kraj,6,2611
Počet hospodařících domácností,2021,Zlínský kraj,7 a více,1064
Počet hospodařících domácností,2021,Moravskoslezský kraj,Hospodařící domácnosti celkem,541276
Počet hospodařících domácností,2021,Moravskoslezský kraj,1,215727
Počet hospodařících domácností,2021,Moravskoslezský kraj,2,163226
Počet hospodařících domácností,2021,Moravskoslezský kraj,3,77354
Počet hospodařících domácností,2021,Moravskoslezský kraj,4,63093
Počet hospodařících domácností,2021,Moravskoslezský kraj,5,15568
Počet hospodařících domácností,2021,Moravskoslezský kraj,6,4295
Počet hospodařících domácností,2021,Moravskoslezský kraj,7 a více,2013
