Čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-207381.7191088403
4. čtvrtletí 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady - meziroční index (%),89.853905567
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),11841416.963581845
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),948288.553554521
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.7053830439
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),10962216.025355596
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),846695.0220669043
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.3702561815
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady (tis. Kč),879200.9382262481
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),101593.5314876166
4. čtvrtletí 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady - meziroční index (%),113.0648873207
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),35032566.49319849
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2081629.158278394
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.3173594642
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),32913648.8283666
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2001168.8812171272
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.4736601031
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady (tis. Kč),2118917.6648318903
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),80460.2770612667
4. čtvrtletí 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady - meziroční index (%),103.9471159684
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),20670641.38369526
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1619290.4626426059
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.4996096568
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),19398561.468442123
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1580994.076967397
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.873231919
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady (tis. Kč),1272079.9152531342
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),38296.3856752088
4. čtvrtletí 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady - meziroční index (%),103.1039793252
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),28332223.637068223
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1503816.2935377338
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.6053133318
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),26635128.291040752
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1453054.6016452997
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),105.7701943834
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady (tis. Kč),1697095.3460274693
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),50761.6918924343
4. čtvrtletí 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady - meziroční index (%),103.0833173923
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),26402118.560429282
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2035801.9278981525
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.3549842949
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),24838321.23578423
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2092585.1467662202
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.1999007576
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady (tis. Kč),1563797.3246450524
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-56783.2188680677
4. čtvrtletí 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady - meziroční index (%),96.4961186844
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů (tis. Kč),24601464.013225276
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1776219.7293943758
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.7818213348
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů (tis. Kč),23227399.792479094
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1637885.6056711029
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.5864866226
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady (tis. Kč),1374064.2207461807
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),138334.123723273
4. čtvrtletí 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady - meziroční index (%),111.1945257347
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),73457934.86191577
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4796298.109686447
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.9854118494
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),68560625.82867639
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4805211.18372487
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.5369460155
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady (tis. Kč),4897309.0332393795
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-8913.074038422
4. čtvrtletí 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady - meziroční index (%),99.8183312161
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),31786618.586770907
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2317170.6701037064
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.8629592134
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),29780096.901137438
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),2322025.135480111
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4566212635
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady (tis. Kč),2006521.6856334717
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-4854.4653764042
4. čtvrtletí 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady - meziroční index (%),99.7586495508
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),28939441.454351176
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1862277.1626115148
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.8776668877
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),27200463.29642389
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),1799561.8796215276
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.0846378642
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady (tis. Kč),1738978.1579272873
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),62715.2829899871
4. čtvrtletí 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady - meziroční index (%),103.7413751702
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),58898759.61613867
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3312815.527604632
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),105.9598079729
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),55233352.074678764
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3355883.888222288
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.468865975
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Ostatní osobní náklady (tis. Kč),3665407.541459906
4. čtvrtletí 2024,Pracovištní metoda,Moravskoslezský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-43068.3606176554
