Území;Měsíce;Země;Ukazatel;value
Česko;prosinec 2024;Asie;Obrat pohybu zboží (meziroční index);119.7110678224
Česko;prosinec 2024;Oceánie a Polární oblasti;Pohyb zboží z ČR (v mil. Kč, FOB);1252.005672
Česko;prosinec 2024;Oceánie a Polární oblasti;Pohyb zboží do ČR (v mil. Kč, CIF);234.323355
Česko;prosinec 2024;Oceánie a Polární oblasti;Bilance - pohyb zboží (v mil. Kč);1017.682317
Česko;prosinec 2024;Oceánie a Polární oblasti;Obrat - pohyb zboží (v mil. Kč);1486.329027
Česko;prosinec 2024;Oceánie a Polární oblasti;Pohyb zboží z ČR (meziroční index );106.8373192029
Česko;prosinec 2024;Oceánie a Polární oblasti;Pohyb zboží do ČR (meziroční index);74.8772605055
Česko;prosinec 2024;Oceánie a Polární oblasti;Obrat pohybu zboží (meziroční index);100.1013778912
Česko;prosinec 2024;Afghánistán;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Afghánistán;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Afghánistán;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Afghánistán;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Afghánistán;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Afghánistán;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Afghánistán;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Albánie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Albánie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Albánie;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Albánie;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Albánie;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Albánie;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Albánie;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Alžírsko;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Alžírsko;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Alžírsko;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Alžírsko;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Alžírsko;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Alžírsko;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Alžírsko;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Americká Samoa;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Americká Samoa;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Americká Samoa;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Americká Samoa;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Americká Samoa;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Americká Samoa;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Americká Samoa;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Americké Panenské ostrovy;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Americké Panenské ostrovy;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Americké Panenské ostrovy;Bilance - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Americké Panenské ostrovy;Obrat - pohyb zboží (v mil. Kč);
Česko;prosinec 2024;Americké Panenské ostrovy;Pohyb zboží z ČR (meziroční index );
Česko;prosinec 2024;Americké Panenské ostrovy;Pohyb zboží do ČR (meziroční index);
Česko;prosinec 2024;Americké Panenské ostrovy;Obrat pohybu zboží (meziroční index);
Česko;prosinec 2024;Andorra;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;prosinec 2024;Andorra;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;prosinec 2024;Andorra;Bilance - pohyb zboží (v mil. Kč);
