Právní forma;Roky;SO ORP a obce;Ukazatel;value
Obecní rozpočty;2023;Bruntál;Kapitalové výdaje ;
Obecní rozpočty;2023;Bruntál;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Břeclav;Příjmy celkem;
Obecní rozpočty;2023;Břeclav;Daňové příjmy ;
Obecní rozpočty;2023;Břeclav;Nedaňové příjmy ;
Obecní rozpočty;2023;Břeclav;Kapitalové příjmy ;
Obecní rozpočty;2023;Břeclav;Přijaté transféry;
Obecní rozpočty;2023;Břeclav;Výdaje celkem;
Obecní rozpočty;2023;Břeclav;Běžné výdaje ;
Obecní rozpočty;2023;Břeclav;Kapitalové výdaje ;
Obecní rozpočty;2023;Břeclav;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Bučovice;Příjmy celkem;
Obecní rozpočty;2023;Bučovice;Daňové příjmy ;
Obecní rozpočty;2023;Bučovice;Nedaňové příjmy ;
Obecní rozpočty;2023;Bučovice;Kapitalové příjmy ;
Obecní rozpočty;2023;Bučovice;Přijaté transféry;
Obecní rozpočty;2023;Bučovice;Výdaje celkem;
Obecní rozpočty;2023;Bučovice;Běžné výdaje ;
Obecní rozpočty;2023;Bučovice;Kapitalové výdaje ;
Obecní rozpočty;2023;Bučovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Příjmy celkem;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Daňové příjmy ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Nedaňové příjmy ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Kapitalové příjmy ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Přijaté transféry;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Výdaje celkem;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Běžné výdaje ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Kapitalové výdaje ;
Obecní rozpočty;2023;Bystřice nad Pernštejnem;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Příjmy celkem;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Daňové příjmy ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Nedaňové příjmy ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Kapitalové příjmy ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Přijaté transféry;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Výdaje celkem;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Běžné výdaje ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Kapitalové výdaje ;
Obecní rozpočty;2023;Bystřice pod Hostýnem;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Čáslav;Příjmy celkem;
Obecní rozpočty;2023;Čáslav;Daňové příjmy ;
Obecní rozpočty;2023;Čáslav;Nedaňové příjmy ;
Obecní rozpočty;2023;Čáslav;Kapitalové příjmy ;
Obecní rozpočty;2023;Čáslav;Přijaté transféry;
Obecní rozpočty;2023;Čáslav;Výdaje celkem;
Obecní rozpočty;2023;Čáslav;Běžné výdaje ;
Obecní rozpočty;2023;Čáslav;Kapitalové výdaje ;
Obecní rozpočty;2023;Čáslav;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Černošice;Příjmy celkem;
Obecní rozpočty;2023;Černošice;Daňové příjmy ;
Obecní rozpočty;2023;Černošice;Nedaňové příjmy ;
Obecní rozpočty;2023;Černošice;Kapitalové příjmy ;
Obecní rozpočty;2023;Černošice;Přijaté transféry;
Obecní rozpočty;2023;Černošice;Výdaje celkem;
Obecní rozpočty;2023;Černošice;Běžné výdaje ;
Obecní rozpočty;2023;Černošice;Kapitalové výdaje ;
Obecní rozpočty;2023;Černošice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Česká Lípa;Příjmy celkem;
Obecní rozpočty;2023;Česká Lípa;Daňové příjmy ;
Obecní rozpočty;2023;Česká Lípa;Nedaňové příjmy ;
Obecní rozpočty;2023;Česká Lípa;Kapitalové příjmy ;
Obecní rozpočty;2023;Česká Lípa;Přijaté transféry;
Obecní rozpočty;2023;Česká Lípa;Výdaje celkem;
Obecní rozpočty;2023;Česká Lípa;Běžné výdaje ;
Obecní rozpočty;2023;Česká Lípa;Kapitalové výdaje ;
Obecní rozpočty;2023;Česká Lípa;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Česká Třebová;Příjmy celkem;
Obecní rozpočty;2023;Česká Třebová;Daňové příjmy ;
Obecní rozpočty;2023;Česká Třebová;Nedaňové příjmy ;
Obecní rozpočty;2023;Česká Třebová;Kapitalové příjmy ;
Obecní rozpočty;2023;Česká Třebová;Přijaté transféry;
Obecní rozpočty;2023;Česká Třebová;Výdaje celkem;
Obecní rozpočty;2023;Česká Třebová;Běžné výdaje ;
Obecní rozpočty;2023;Česká Třebová;Kapitalové výdaje ;
Obecní rozpočty;2023;Česká Třebová;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;České Budějovice;Příjmy celkem;
Obecní rozpočty;2023;České Budějovice;Daňové příjmy ;
Obecní rozpočty;2023;České Budějovice;Nedaňové příjmy ;
Obecní rozpočty;2023;České Budějovice;Kapitalové příjmy ;
Obecní rozpočty;2023;České Budějovice;Přijaté transféry;
Obecní rozpočty;2023;České Budějovice;Výdaje celkem;
Obecní rozpočty;2023;České Budějovice;Běžné výdaje ;
Obecní rozpočty;2023;České Budějovice;Kapitalové výdaje ;
Obecní rozpočty;2023;České Budějovice;Saldo příjmů a výdajů ;
Obecní rozpočty;2023;Český Brod;Příjmy celkem;
Obecní rozpočty;2023;Český Brod;Daňové příjmy ;
Obecní rozpočty;2023;Český Brod;Nedaňové příjmy ;
Obecní rozpočty;2023;Český Brod;Kapitalové příjmy ;
Obecní rozpočty;2023;Český Brod;Přijaté transféry;
Obecní rozpočty;2023;Český Brod;Výdaje celkem;
Obecní rozpočty;2023;Český Brod;Běžné výdaje ;
Obecní rozpočty;2023;Český Brod;Kapitalové výdaje ;
