Území,Roky,Druh cesty ,Vybrané zahraniční destinace,Ukazatel,value
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Rakousko,Počet cest (v tis.),385.29205613
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Rakousko,Počet přenocování (v tis.),2109.1671771
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Rakousko,Náklady (mil. Kč),4544.921005
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Egypt,Počet cest (v tis.),361.66767415
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Egypt,Počet přenocování (v tis.),2633.4085218
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Egypt,Náklady (mil. Kč),7274.6923253
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Tunis,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Tunis,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Tunis,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Turecko,Počet cest (v tis.),288.58604354
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Turecko,Počet přenocování (v tis.),2313.8396964
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Turecko,Náklady (mil. Kč),6029.8901756
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Francie,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Francie,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Francie,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Španělsko,Počet cest (v tis.),326.83907747
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Španělsko,Počet přenocování (v tis.),2694.1781505
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Španělsko,Náklady (mil. Kč),6562.4408952
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Maďarsko,Počet cest (v tis.),175.37054407
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Maďarsko,Počet přenocování (v tis.),932.9909869
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Maďarsko,Náklady (mil. Kč),1809.1353192
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Bulharsko,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Bulharsko,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Bulharsko,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Německo,Počet cest (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Německo,Počet přenocování (v tis.),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Německo,Náklady (mil. Kč),
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Polsko,Počet cest (v tis.),208.00281475
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Polsko,Počet přenocování (v tis.),1218.6893564
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Polsko,Náklady (mil. Kč),1921.12152
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Počet cest (v tis.),1753.9824073
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Počet přenocování (v tis.),4127.46394
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropa bez Česka,Náklady (mil. Kč),10344.658221
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Afrika,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Afrika,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Afrika,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Amerika,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Amerika,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Amerika,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Asie,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Asie,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Asie,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Počet cest (v tis.),1701.3454694
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Počet přenocování (v tis.),3988.4230755
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Evropská unie bez Česka,Náklady (mil. Kč),9801.6835602
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Slovensko,Počet cest (v tis.),602.60007758
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Slovensko,Počet přenocování (v tis.),1489.7663169
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Slovensko,Náklady (mil. Kč),2284.4267934
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Chorvatsko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Chorvatsko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Chorvatsko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Itálie,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Itálie,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Itálie,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Řecko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Řecko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Řecko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Rakousko,Počet cest (v tis.),182.65669335
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Rakousko,Počet přenocování (v tis.),427.64984902
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Rakousko,Náklady (mil. Kč),1071.5858135
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Egypt,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Egypt,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Egypt,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Tunis,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Tunis,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Tunis,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Turecko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Turecko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Turecko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Francie,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Francie,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Francie,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Španělsko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Španělsko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Španělsko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Maďarsko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Maďarsko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Maďarsko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Bulharsko,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Bulharsko,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Bulharsko,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Německo,Počet cest (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Německo,Počet přenocování (v tis.),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Německo,Náklady (mil. Kč),
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Polsko,Počet cest (v tis.),318.98436263
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Polsko,Počet přenocování (v tis.),667.99686401
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Polsko,Náklady (mil. Kč),1399.307503
Česko,2023,Služební cesty,Evropa bez Česka,Počet cest (v tis.),380.76432332
Česko,2023,Služební cesty,Evropa bez Česka,Počet přenocování (v tis.),1013.3521824
Česko,2023,Služební cesty,Evropa bez Česka,Náklady (mil. Kč),3232.6738706
Česko,2023,Služební cesty,Afrika,Počet cest (v tis.),
Česko,2023,Služební cesty,Afrika,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Afrika,Náklady (mil. Kč),
Česko,2023,Služební cesty,Amerika,Počet cest (v tis.),
Česko,2023,Služební cesty,Amerika,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Amerika,Náklady (mil. Kč),
Česko,2023,Služební cesty,Asie,Počet cest (v tis.),
Česko,2023,Služební cesty,Asie,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Asie,Náklady (mil. Kč),
Česko,2023,Služební cesty,Evropská unie bez Česka,Počet cest (v tis.),360.55692286
Česko,2023,Služební cesty,Evropská unie bez Česka,Počet přenocování (v tis.),965.31535501
Česko,2023,Služební cesty,Evropská unie bez Česka,Náklady (mil. Kč),3011.1054894
Česko,2023,Služební cesty,Slovensko,Počet cest (v tis.),
Česko,2023,Služební cesty,Slovensko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Slovensko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Chorvatsko,Počet cest (v tis.),
Česko,2023,Služební cesty,Chorvatsko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Chorvatsko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Itálie,Počet cest (v tis.),
Česko,2023,Služební cesty,Itálie,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Itálie,Náklady (mil. Kč),
Česko,2023,Služební cesty,Řecko,Počet cest (v tis.),
Česko,2023,Služební cesty,Řecko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Řecko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Rakousko,Počet cest (v tis.),
Česko,2023,Služební cesty,Rakousko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Rakousko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Egypt,Počet cest (v tis.),
Česko,2023,Služební cesty,Egypt,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Egypt,Náklady (mil. Kč),
Česko,2023,Služební cesty,Tunis,Počet cest (v tis.),
Česko,2023,Služební cesty,Tunis,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Tunis,Náklady (mil. Kč),
Česko,2023,Služební cesty,Turecko,Počet cest (v tis.),
Česko,2023,Služební cesty,Turecko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Turecko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Francie,Počet cest (v tis.),
Česko,2023,Služební cesty,Francie,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Francie,Náklady (mil. Kč),
Česko,2023,Služební cesty,Španělsko,Počet cest (v tis.),
Česko,2023,Služební cesty,Španělsko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Španělsko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Maďarsko,Počet cest (v tis.),
Česko,2023,Služební cesty,Maďarsko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Maďarsko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Bulharsko,Počet cest (v tis.),
Česko,2023,Služební cesty,Bulharsko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Bulharsko,Náklady (mil. Kč),
Česko,2023,Služební cesty,Německo,Počet cest (v tis.),
Česko,2023,Služební cesty,Německo,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Německo,Náklady (mil. Kč),
Česko,2023,Služební cesty,Polsko,Počet cest (v tis.),
Česko,2023,Služební cesty,Polsko,Počet přenocování (v tis.),
Česko,2023,Služební cesty,Polsko,Náklady (mil. Kč),
