"ČR, kraje, okresy",Ukazatel,Právní forma,Čtvrtletí,value
Česko,Počet zaniklých ekonomických subjektů,Celkem,3. čtvrtletí 2023,23523
Česko,Počet zaniklých ekonomických subjektů,Celkem,2. čtvrtletí 2023,50022
Česko,Počet zaniklých ekonomických subjektů,Celkem,1. čtvrtletí 2023,206405
Česko,Počet zaniklých ekonomických subjektů,Celkem,4. čtvrtletí 2022,42979
Česko,Počet zaniklých ekonomických subjektů,Celkem,3. čtvrtletí 2022,16728
Česko,Počet zaniklých ekonomických subjektů,Celkem,2. čtvrtletí 2022,16460
Česko,Počet zaniklých ekonomických subjektů,Celkem,1. čtvrtletí 2022,17475
Česko,Počet zaniklých ekonomických subjektů,Celkem,4. čtvrtletí 2021,15900
Česko,Počet zaniklých ekonomických subjektů,Celkem,3. čtvrtletí 2021,12967
Česko,Počet zaniklých ekonomických subjektů,Celkem,2. čtvrtletí 2021,14321
Česko,Počet zaniklých ekonomických subjektů,Celkem,1. čtvrtletí 2021,14305
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2025,11408
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2025,14373
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2024,12912
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2024,12946
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2024,27094
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2024,23453
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2023,17900
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2023,18724
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2023,45141
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2023,200977
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2022,37700
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2022,12168
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2022,11778
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2022,12245
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,4. čtvrtletí 2021,10920
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,3. čtvrtletí 2021,8400
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,2. čtvrtletí 2021,9433
Česko,Počet zaniklých ekonomických subjektů,Fyzické osoby,1. čtvrtletí 2021,9623
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2025,5811
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2025,5781
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2024,5735
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2024,5235
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2024,4804
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2024,4796
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2023,5579
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2023,4799
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2023,4881
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2023,5428
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2022,5279
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2022,4560
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2022,4682
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2022,5230
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,4. čtvrtletí 2021,4980
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,3. čtvrtletí 2021,4567
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,2. čtvrtletí 2021,4888
Česko,Počet zaniklých ekonomických subjektů,Právnické osoby,1. čtvrtletí 2021,4682
