Ukazatel,Pohlaví,Roky,"ČR, Reg. soudržnosti, Kraje",Věkové skupiny,value
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,55 až 59,1.1105574576
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihozápad,55 až 64,1.0419726168
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,15 až 19,45.473984274
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,20 až 24,6.8547372847
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,25 až 29,7.9518177391
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,30 až 34,2.9106897587
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,35 až 39,6.3004192453
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,40 až 44,3.8699635326
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,45 až 49,1.5893262544
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,50 až 54,1.9588683342
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,55 až 59,3.0427684569
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,60 až 64,3.4918129489
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Severozápad,55 až 64,3.2128151932
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,15 až 19,16.32902782
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,20 až 24,7.8914690342
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,25 až 29,3.8173874786
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,30 až 34,3.2719820762
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,35 až 39,2.3364348178
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,40 až 44,2.3748945417
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,45 až 49,1.4605976748
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,50 až 54,2.3203177135
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,55 až 59,3.4083986161
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,60 až 64,2.552012042
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Severovýchod,55 až 64,3.0876640642
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,15 až 19,31.786534257
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,20 až 24,5.5250462676
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,25 až 29,2.9717521678
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,30 až 34,1.8392282174
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,35 až 39,2.0024628585
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,40 až 44,2.4597409938
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,45 až 49,1.8684481141
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,50 až 54,2.0785306631
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,55 až 59,2.0476542614
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,60 až 64,1.8290670535
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihovýchod,55 až 64,1.9625045167
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,15 až 19,21.056128009
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,20 až 24,6.8444913698
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,25 až 29,2.1775665221
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,30 až 34,3.1801951065
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,35 až 39,2.3661974624
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,40 až 44,1.5895672694
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,45 až 49,3.1138994395
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,50 až 54,1.829399065
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,55 až 59,2.3657334048
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,60 až 64,1.8966835376
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Střední Morava,55 až 64,2.186833779
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,15 až 19,36.23002298
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,20 až 24,6.8099389975
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,25 až 29,5.5245644246
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,30 až 34,5.7689100922
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,35 až 39,5.433715801
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,40 až 44,2.4066497374
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,45 až 49,2.2269480548
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,50 až 54,3.5120304888
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,55 až 59,3.5794539385
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,60 až 64,1.4666477417
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezsko,55 až 64,2.81384273
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,15 až 19,17.9306104
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,20 až 24,8.5466238903
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,25 až 29,2.8891448118
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,30 až 34,2.10121337
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,35 až 39,0.6345149261
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,40 až 44,1.4748762409
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,45 až 49,1.3908059415
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,50 až 54,0.829364391
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,55 až 59,
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,60 až 64,1.2823768871
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Hlavní město Praha,55 až 64,0.8052505084
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,15 až 19,19.409006937
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,20 až 24,
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,25 až 29,1.2454879041
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,30 až 34,0.9499001029
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,35 až 39,1.8438353247
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,40 až 44,0.9886174687
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,45 až 49,1.1590780964
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,50 až 54,1.4144296876
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,55 až 59,1.4850677856
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Středočeský kraj,55 až 64,1.0636469597
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,15 až 19,18.11821152
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,20 až 24,8.2751978066
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,25 až 29,4.2806058258
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,30 až 34,2.8682565306
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,35 až 39,4.3751302342
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,40 až 44,1.6365046953
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,45 až 49,2.4343111823
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,50 až 54,2.2117314664
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,55 až 59,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihočeský kraj,55 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,15 až 19,36.561825749
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,20 až 24,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,25 až 29,2.338780473
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,30 až 34,2.6449104083
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,35 až 39,2.2387101016
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,40 až 44,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,45 až 49,1.3438535542
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,50 až 54,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,55 až 59,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Plzeňský kraj,55 až 64,1.3625522883
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,15 až 19,43.977448994
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,20 až 24,7.6518065201
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,25 až 29,8.5116400791
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,30 až 34,4.2936475183
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,35 až 39,4.2428701268
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,40 až 44,
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,45 až 49,2.8576380666
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,50 až 54,2.4793208594
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,55 až 59,
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Karlovarský kraj,55 až 64,3.1473920412
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,15 až 19,46.087445828
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,20 až 24,6.5141169219
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,25 až 29,7.7397625181
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,30 až 34,2.3794074785
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,35 až 39,7.0464874243
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,40 až 44,4.518066873
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,45 až 49,1.120416676
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,50 až 54,1.758849644
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,55 až 59,3.1444250407
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,60 až 64,3.3939966048
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Ústecký kraj,55 až 64,3.2385392006
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,15 až 19,
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,20 až 24,12.785991111
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,25 až 29,3.2946950912
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,30 až 34,3.1070643255
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,35 až 39,2.2017448089
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,40 až 44,2.7137684048
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,45 až 49,
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,50 až 54,2.8530711133
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,55 až 59,4.4499661405
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Liberecký kraj,55 až 64,3.8351260763
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,15 až 19,
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,20 až 24,6.0572431116
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,25 až 29,4.1607346922
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,30 až 34,5.2579866821
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,35 až 39,3.1148845592
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,40 až 44,2.4374672223
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,45 až 49,2.7756707969
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,50 až 54,3.2338353444
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,55 až 59,2.7773428636
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,60 až 64,2.9042847888
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Královéhradecký kraj,55 až 64,2.8250671638
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,15 až 19,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,20 až 24,5.9354153682
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,25 až 29,3.9425448126
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,30 až 34,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,35 až 39,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,40 až 44,2.0313269604
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,45 až 49,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,50 až 54,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,55 až 59,3.237549409
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Pardubický kraj,55 až 64,2.7683201693
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,15 až 19,32.473975809
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,20 až 24,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,25 až 29,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,30 až 34,2.2129167326
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,35 až 39,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,40 až 44,2.1157201419
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,45 až 49,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,50 až 54,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,55 až 59,1.9433104807
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Kraj Vysočina,55 až 64,1.341076553
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,15 až 19,31.231337096
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,20 až 24,6.6694400228
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,25 až 29,3.3076158572
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,30 až 34,1.6933169795
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,35 až 39,2.3935307576
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,40 až 44,2.5927626701
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,45 až 49,2.3519826067
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,50 až 54,2.395277484
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,55 až 59,2.092776087
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,60 až 64,2.460650999
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Jihomoravský kraj,55 až 64,2.2351033727
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,15 až 19,
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,20 až 24,9.8951591652
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,25 až 29,3.9097498882
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,30 až 34,2.9565503541
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,35 až 39,4.0259045961
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,40 až 44,2.0520339245
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,45 až 49,3.9424356575
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,50 až 54,1.7669294502
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,55 až 59,2.9108594955
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,60 až 64,
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Olomoucký kraj,55 až 64,2.1969230835
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,15 až 19,
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,20 až 24,3.8299219248
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,25 až 29,
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,30 až 34,3.4154940451
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,35 až 39,
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,40 až 44,
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,45 až 49,2.1756542882
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,50 až 54,1.8964136134
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,55 až 59,1.7851767125
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,60 až 64,2.7841128519
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Zlínský kraj,55 až 64,2.1764344771
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,15 až 19,36.23002298
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,20 až 24,6.8099389975
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,25 až 29,5.5245644246
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,30 až 34,5.7689100922
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,35 až 39,5.433715801
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,40 až 44,2.4066497374
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,45 až 49,2.2269480548
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,50 až 54,3.5120304888
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,55 až 59,3.5794539385
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,60 až 64,1.4666477417
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,65 a více let,
Obecná míra nezaměstnanosti (%),Celkem,2024,Moravskoslezský kraj,55 až 64,2.81384273
