PCSU;Kraje;Roky;Ukazatel;Směr výstavby;value
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1181.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy nebytové;Celkem;828.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;111.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;717.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;622.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;48901.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;38320.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;24559.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;13761.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;24078.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;17306.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;6772.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;14242.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;7253.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;6989.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;10581.0
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet stavebních povolení v ČR;Celkem;2970.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy;Celkem;2327.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy;Nová výstavba;499.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1828.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy bytové;Celkem;1506.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;352.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1154.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy nebytové;Celkem;821.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;147.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;674.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;643.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;54524.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;41628.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;28772.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;12856.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;28774.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;23497.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;5277.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;12854.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;5275.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7579.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;12896.0
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet stavebních povolení v ČR;Celkem;3285.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy;Celkem;2577.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;486.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2091.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;1704.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;374.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1330.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;873.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;112.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;761.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;708.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;103402.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;50332.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;38160.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;12172.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;34915.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;30647.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;4268.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;15417.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;7513.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7904.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;53070.0
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet stavebních povolení v ČR;Celkem;3211.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy;Celkem;2494.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy;Nová výstavba;408.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2086.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy bytové;Celkem;1629.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;307.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1322.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy nebytové;Celkem;865.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;101.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;764.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;717.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;40410.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;28745.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;17546.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;11199.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;16491.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;11579.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;4912.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;12254.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;5967.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;6287.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;11665.0
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2020;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet stavebních povolení v ČR;Celkem;3523.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy;Celkem;2698.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy;Nová výstavba;436.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2262.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy bytové;Celkem;1529.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;326.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1203.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1169.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;110.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1059.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;43717.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;38952.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;27589.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;11363.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;21746.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;17925.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3821.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;17206.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;9664.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7542.0
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet stavebních povolení v ČR;Celkem;3805.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy;Celkem;2976.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy;Nová výstavba;405.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;2571.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy bytové;Celkem;1610.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;306.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1304.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1366.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;99.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;1267.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;28545.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;25025.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;14236.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;10789.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;10670.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;7401.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3269.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;14355.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;6835.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;7520.0
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2018;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2017;Počet stavebních povolení v ČR;Celkem;4848.0
Stavební úřad kromě speciálního;Hlavní město Praha;2017;Počet stavebních povolení v ČR;Nová výstavba;
Stavební úřad kromě speciálního;Hlavní město Praha;2017;Počet stavebních povolení v ČR;Změny dokončených staveb;
Stavební úřad kromě speciálního;Hlavní město Praha;2017;Počet vydaných stavebních povolení - budovy;Celkem;3945.0
