Území,Roky,Ukazatel,Pohlaví,Věk,value
Česko,2024,Osoby vyhledávající informace o zboží a službách (%),muži,75+,31.255354654
Česko,2024,Osoby vyhledávající informace o cestování (%),ženy,Celkem (16+),64.280710435
Česko,2024,Osoby vyhledávající informace o cestování (%),ženy,16 - 34,81.016047562
Česko,2024,Osoby vyhledávající informace o cestování (%),ženy,35 - 54,79.261388431
Česko,2024,Osoby vyhledávající informace o cestování (%),ženy,55 - 74,50.883831637
Česko,2024,Osoby vyhledávající informace o cestování (%),ženy,75+,12.819416337
Česko,2024,Osoby vyhledávající informace o cestování (%),muži,Celkem (16+),58.156692314
Česko,2024,Osoby vyhledávající informace o cestování (%),muži,16 - 34,69.375071983
Česko,2024,Osoby vyhledávající informace o cestování (%),muži,35 - 54,71.579707805
Česko,2024,Osoby vyhledávající informace o cestování (%),muži,55 - 74,46.536342228
Česko,2024,Osoby vyhledávající informace o cestování (%),muži,75+,17.837889344
Česko,2024,Osoby vyhledávající informace  o zdraví (%),ženy,Celkem (16+),74.225065476
Česko,2024,Osoby vyhledávající informace  o zdraví (%),ženy,16 - 34,81.339660213
Česko,2024,Osoby vyhledávající informace  o zdraví (%),ženy,35 - 54,89.583972812
Česko,2024,Osoby vyhledávající informace  o zdraví (%),ženy,55 - 74,67.302707319
Česko,2024,Osoby vyhledávající informace  o zdraví (%),ženy,75+,26.727869516
Česko,2024,Osoby vyhledávající informace  o zdraví (%),muži,Celkem (16+),52.843466307
Česko,2024,Osoby vyhledávající informace  o zdraví (%),muži,16 - 34,52.200051517
Česko,2024,Osoby vyhledávající informace  o zdraví (%),muži,35 - 54,61.391255154
Česko,2024,Osoby vyhledávající informace  o zdraví (%),muži,55 - 74,50.483973781
Česko,2024,Osoby vyhledávající informace  o zdraví (%),muži,75+,31.479330265
Česko,2024,Osoby prodávající zboží či služby online (%),ženy,Celkem (16+),17.886617728
Česko,2024,Osoby prodávající zboží či služby online (%),ženy,16 - 34,32.253144898
Česko,2024,Osoby prodávající zboží či služby online (%),ženy,35 - 54,23.337335596
Česko,2024,Osoby prodávající zboží či služby online (%),ženy,55 - 74,4.898259373
Česko,2024,Osoby prodávající zboží či služby online (%),ženy,75+,0.9676807245
Česko,2024,Osoby prodávající zboží či služby online (%),muži,Celkem (16+),14.422961881
Česko,2024,Osoby prodávající zboží či služby online (%),muži,16 - 34,23.246388672
Česko,2024,Osoby prodávající zboží či služby online (%),muži,35 - 54,18.337940834
Česko,2024,Osoby prodávající zboží či služby online (%),muži,55 - 74,7.0360443125
Česko,2024,Osoby prodávající zboží či služby online (%),muži,75+,0.7264519176
