Kategorie;Čtvrtletí;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Portugalsko;Počet přenocování;27658.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Portugalsko;Průměrný počet přenocování ;2.8885639687
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rakousko;Počet hostů;35654.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rakousko;Počet přenocování;71863.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rakousko;Průměrný počet přenocování ;2.0155662759
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rumunsko;Počet hostů;19745.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rumunsko;Počet přenocování;46539.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rumunsko;Průměrný počet přenocování ;2.3570017726
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rusko;Počet hostů;5493.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rusko;Počet přenocování;13007.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rusko;Průměrný počet přenocování ;2.3679228109
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Řecko;Počet hostů;8959.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Řecko;Počet přenocování;24956.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Řecko;Průměrný počet přenocování ;2.7855787476
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovensko;Počet hostů;93262.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovensko;Počet přenocování;197574.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovensko;Průměrný počet přenocování ;2.1184834123
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovinsko;Počet hostů;3999.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovinsko;Počet přenocování;9502.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Slovinsko;Průměrný počet přenocování ;2.3760940235
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Velká Británie a Severní Irsko;Počet hostů;113815.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Velká Británie a Severní Irsko;Počet přenocování;302657.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Velká Británie a Severní Irsko;Průměrný počet přenocování ;2.6592013355
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Srbsko a Černá Hora;Počet hostů;5093.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Srbsko a Černá Hora;Počet přenocování;13121.0
