Ukazatel,Pohlaví,Roky,"ČR, kraje",Věkové skupiny (pětileté),value
Zemřelí,Celkem,2024,Jihočeský kraj,75 - 79,1192
Zemřelí,Celkem,2024,Jihočeský kraj,80 - 84,1188
Zemřelí,Celkem,2024,Jihočeský kraj,85 - 89,1042
Zemřelí,Celkem,2024,Jihočeský kraj,90 - 94,812
Zemřelí,Celkem,2024,Jihočeský kraj,95 a více,273
Zemřelí,Celkem,2024,Plzeňský kraj,Celkem,6256
Zemřelí,Celkem,2024,Plzeňský kraj,0,10
Zemřelí,Celkem,2024,Plzeňský kraj,1 - 4,4
Zemřelí,Celkem,2024,Plzeňský kraj,5 - 9,3
Zemřelí,Celkem,2024,Plzeňský kraj,10 - 14,1
Zemřelí,Celkem,2024,Plzeňský kraj,15 - 19,11
Zemřelí,Celkem,2024,Plzeňský kraj,20 - 24,9
Zemřelí,Celkem,2024,Plzeňský kraj,25 - 29,10
Zemřelí,Celkem,2024,Plzeňský kraj,30 - 34,27
Zemřelí,Celkem,2024,Plzeňský kraj,35 - 39,32
Zemřelí,Celkem,2024,Plzeňský kraj,40 - 44,75
Zemřelí,Celkem,2024,Plzeňský kraj,45 - 49,109
Zemřelí,Celkem,2024,Plzeňský kraj,50 - 54,163
Zemřelí,Celkem,2024,Plzeňský kraj,55 - 59,213
Zemřelí,Celkem,2024,Plzeňský kraj,60 - 64,318
Zemřelí,Celkem,2024,Plzeňský kraj,65 - 69,518
Zemřelí,Celkem,2024,Plzeňský kraj,70 - 74,794
Zemřelí,Celkem,2024,Plzeňský kraj,75 - 79,1073
Zemřelí,Celkem,2024,Plzeňský kraj,80 - 84,1083
Zemřelí,Celkem,2024,Plzeňský kraj,85 - 89,935
Zemřelí,Celkem,2024,Plzeňský kraj,90 - 94,664
Zemřelí,Celkem,2024,Plzeňský kraj,95 a více,204
Zemřelí,Celkem,2024,Karlovarský kraj,Celkem,3401
Zemřelí,Celkem,2024,Karlovarský kraj,0,2
Zemřelí,Celkem,2024,Karlovarský kraj,1 - 4,0
Zemřelí,Celkem,2024,Karlovarský kraj,5 - 9,1
Zemřelí,Celkem,2024,Karlovarský kraj,10 - 14,5
Zemřelí,Celkem,2024,Karlovarský kraj,15 - 19,4
Zemřelí,Celkem,2024,Karlovarský kraj,20 - 24,5
Zemřelí,Celkem,2024,Karlovarský kraj,25 - 29,11
Zemřelí,Celkem,2024,Karlovarský kraj,30 - 34,17
Zemřelí,Celkem,2024,Karlovarský kraj,35 - 39,21
Zemřelí,Celkem,2024,Karlovarský kraj,40 - 44,34
Zemřelí,Celkem,2024,Karlovarský kraj,45 - 49,58
Zemřelí,Celkem,2024,Karlovarský kraj,50 - 54,91
Zemřelí,Celkem,2024,Karlovarský kraj,55 - 59,131
Zemřelí,Celkem,2024,Karlovarský kraj,60 - 64,182
Zemřelí,Celkem,2024,Karlovarský kraj,65 - 69,352
Zemřelí,Celkem,2024,Karlovarský kraj,70 - 74,478
Zemřelí,Celkem,2024,Karlovarský kraj,75 - 79,583
Zemřelí,Celkem,2024,Karlovarský kraj,80 - 84,601
Zemřelí,Celkem,2024,Karlovarský kraj,85 - 89,445
Zemřelí,Celkem,2024,Karlovarský kraj,90 - 94,272
Zemřelí,Celkem,2024,Karlovarský kraj,95 a více,108
Zemřelí,Celkem,2024,Ústecký kraj,Celkem,9493
Zemřelí,Celkem,2024,Ústecký kraj,0,24
Zemřelí,Celkem,2024,Ústecký kraj,1 - 4,5
Zemřelí,Celkem,2024,Ústecký kraj,5 - 9,7
Zemřelí,Celkem,2024,Ústecký kraj,10 - 14,1
Zemřelí,Celkem,2024,Ústecký kraj,15 - 19,12
Zemřelí,Celkem,2024,Ústecký kraj,20 - 24,15
Zemřelí,Celkem,2024,Ústecký kraj,25 - 29,24
Zemřelí,Celkem,2024,Ústecký kraj,30 - 34,38
Zemřelí,Celkem,2024,Ústecký kraj,35 - 39,60
Zemřelí,Celkem,2024,Ústecký kraj,40 - 44,104
Zemřelí,Celkem,2024,Ústecký kraj,45 - 49,175
Zemřelí,Celkem,2024,Ústecký kraj,50 - 54,256
Zemřelí,Celkem,2024,Ústecký kraj,55 - 59,398
Zemřelí,Celkem,2024,Ústecký kraj,60 - 64,503
Zemřelí,Celkem,2024,Ústecký kraj,65 - 69,922
Zemřelí,Celkem,2024,Ústecký kraj,70 - 74,1446
Zemřelí,Celkem,2024,Ústecký kraj,75 - 79,1829
Zemřelí,Celkem,2024,Ústecký kraj,80 - 84,1550
Zemřelí,Celkem,2024,Ústecký kraj,85 - 89,1149
Zemřelí,Celkem,2024,Ústecký kraj,90 - 94,735
Zemřelí,Celkem,2024,Ústecký kraj,95 a více,240
Zemřelí,Celkem,2024,Liberecký kraj,Celkem,4730
Zemřelí,Celkem,2024,Liberecký kraj,0,3
Zemřelí,Celkem,2024,Liberecký kraj,1 - 4,3
Zemřelí,Celkem,2024,Liberecký kraj,5 - 9,1
Zemřelí,Celkem,2024,Liberecký kraj,10 - 14,3
Zemřelí,Celkem,2024,Liberecký kraj,15 - 19,8
Zemřelí,Celkem,2024,Liberecký kraj,20 - 24,6
Zemřelí,Celkem,2024,Liberecký kraj,25 - 29,18
Zemřelí,Celkem,2024,Liberecký kraj,30 - 34,21
Zemřelí,Celkem,2024,Liberecký kraj,35 - 39,26
Zemřelí,Celkem,2024,Liberecký kraj,40 - 44,52
Zemřelí,Celkem,2024,Liberecký kraj,45 - 49,82
Zemřelí,Celkem,2024,Liberecký kraj,50 - 54,114
Zemřelí,Celkem,2024,Liberecký kraj,55 - 59,172
Zemřelí,Celkem,2024,Liberecký kraj,60 - 64,238
Zemřelí,Celkem,2024,Liberecký kraj,65 - 69,402
Zemřelí,Celkem,2024,Liberecký kraj,70 - 74,670
Zemřelí,Celkem,2024,Liberecký kraj,75 - 79,887
Zemřelí,Celkem,2024,Liberecký kraj,80 - 84,811
Zemřelí,Celkem,2024,Liberecký kraj,85 - 89,610
Zemřelí,Celkem,2024,Liberecký kraj,90 - 94,439
Zemřelí,Celkem,2024,Liberecký kraj,95 a více,164
Zemřelí,Celkem,2024,Královéhradecký kraj,Celkem,5882
Zemřelí,Celkem,2024,Královéhradecký kraj,0,10
Zemřelí,Celkem,2024,Královéhradecký kraj,1 - 4,4
Zemřelí,Celkem,2024,Královéhradecký kraj,5 - 9,6
Zemřelí,Celkem,2024,Královéhradecký kraj,10 - 14,3
Zemřelí,Celkem,2024,Královéhradecký kraj,15 - 19,10
Zemřelí,Celkem,2024,Královéhradecký kraj,20 - 24,17
Zemřelí,Celkem,2024,Královéhradecký kraj,25 - 29,11
Zemřelí,Celkem,2024,Královéhradecký kraj,30 - 34,25
Zemřelí,Celkem,2024,Královéhradecký kraj,35 - 39,34
Zemřelí,Celkem,2024,Královéhradecký kraj,40 - 44,49
Zemřelí,Celkem,2024,Královéhradecký kraj,45 - 49,91
Zemřelí,Celkem,2024,Královéhradecký kraj,50 - 54,123
Zemřelí,Celkem,2024,Královéhradecký kraj,55 - 59,173
Zemřelí,Celkem,2024,Královéhradecký kraj,60 - 64,234
Zemřelí,Celkem,2024,Královéhradecký kraj,65 - 69,426
Zemřelí,Celkem,2024,Královéhradecký kraj,70 - 74,765
Zemřelí,Celkem,2024,Královéhradecký kraj,75 - 79,1004
Zemřelí,Celkem,2024,Královéhradecký kraj,80 - 84,1024
Zemřelí,Celkem,2024,Královéhradecký kraj,85 - 89,879
Zemřelí,Celkem,2024,Královéhradecký kraj,90 - 94,760
Zemřelí,Celkem,2024,Královéhradecký kraj,95 a více,234
Zemřelí,Celkem,2024,Pardubický kraj,Celkem,5442
Zemřelí,Celkem,2024,Pardubický kraj,0,9
Zemřelí,Celkem,2024,Pardubický kraj,1 - 4,0
Zemřelí,Celkem,2024,Pardubický kraj,5 - 9,2
Zemřelí,Celkem,2024,Pardubický kraj,10 - 14,3
Zemřelí,Celkem,2024,Pardubický kraj,15 - 19,9
Zemřelí,Celkem,2024,Pardubický kraj,20 - 24,12
Zemřelí,Celkem,2024,Pardubický kraj,25 - 29,10
Zemřelí,Celkem,2024,Pardubický kraj,30 - 34,27
Zemřelí,Celkem,2024,Pardubický kraj,35 - 39,37
Zemřelí,Celkem,2024,Pardubický kraj,40 - 44,49
Zemřelí,Celkem,2024,Pardubický kraj,45 - 49,97
Zemřelí,Celkem,2024,Pardubický kraj,50 - 54,131
Zemřelí,Celkem,2024,Pardubický kraj,55 - 59,169
Zemřelí,Celkem,2024,Pardubický kraj,60 - 64,272
Zemřelí,Celkem,2024,Pardubický kraj,65 - 69,437
Zemřelí,Celkem,2024,Pardubický kraj,70 - 74,676
Zemřelí,Celkem,2024,Pardubický kraj,75 - 79,906
Zemřelí,Celkem,2024,Pardubický kraj,80 - 84,887
Zemřelí,Celkem,2024,Pardubický kraj,85 - 89,856
Zemřelí,Celkem,2024,Pardubický kraj,90 - 94,635
Zemřelí,Celkem,2024,Pardubický kraj,95 a více,218
Zemřelí,Celkem,2024,Kraj Vysočina,Celkem,5408
Zemřelí,Celkem,2024,Kraj Vysočina,0,8
Zemřelí,Celkem,2024,Kraj Vysočina,1 - 4,1
Zemřelí,Celkem,2024,Kraj Vysočina,5 - 9,2
Zemřelí,Celkem,2024,Kraj Vysočina,10 - 14,2
Zemřelí,Celkem,2024,Kraj Vysočina,15 - 19,8
Zemřelí,Celkem,2024,Kraj Vysočina,20 - 24,14
Zemřelí,Celkem,2024,Kraj Vysočina,25 - 29,17
Zemřelí,Celkem,2024,Kraj Vysočina,30 - 34,18
Zemřelí,Celkem,2024,Kraj Vysočina,35 - 39,39
Zemřelí,Celkem,2024,Kraj Vysočina,40 - 44,45
Zemřelí,Celkem,2024,Kraj Vysočina,45 - 49,76
Zemřelí,Celkem,2024,Kraj Vysočina,50 - 54,110
Zemřelí,Celkem,2024,Kraj Vysočina,55 - 59,169
Zemřelí,Celkem,2024,Kraj Vysočina,60 - 64,238
Zemřelí,Celkem,2024,Kraj Vysočina,65 - 69,426
Zemřelí,Celkem,2024,Kraj Vysočina,70 - 74,652
Zemřelí,Celkem,2024,Kraj Vysočina,75 - 79,862
Zemřelí,Celkem,2024,Kraj Vysočina,80 - 84,931
Zemřelí,Celkem,2024,Kraj Vysočina,85 - 89,895
Zemřelí,Celkem,2024,Kraj Vysočina,90 - 94,683
Zemřelí,Celkem,2024,Kraj Vysočina,95 a více,212
Zemřelí,Celkem,2024,Jihomoravský kraj,Celkem,12239
Zemřelí,Celkem,2024,Jihomoravský kraj,0,20
Zemřelí,Celkem,2024,Jihomoravský kraj,1 - 4,3
Zemřelí,Celkem,2024,Jihomoravský kraj,5 - 9,8
Zemřelí,Celkem,2024,Jihomoravský kraj,10 - 14,9
Zemřelí,Celkem,2024,Jihomoravský kraj,15 - 19,20
Zemřelí,Celkem,2024,Jihomoravský kraj,20 - 24,29
Zemřelí,Celkem,2024,Jihomoravský kraj,25 - 29,29
Zemřelí,Celkem,2024,Jihomoravský kraj,30 - 34,53
Zemřelí,Celkem,2024,Jihomoravský kraj,35 - 39,63
Zemřelí,Celkem,2024,Jihomoravský kraj,40 - 44,136
Zemřelí,Celkem,2024,Jihomoravský kraj,45 - 49,227
Zemřelí,Celkem,2024,Jihomoravský kraj,50 - 54,290
Zemřelí,Celkem,2024,Jihomoravský kraj,55 - 59,409
Zemřelí,Celkem,2024,Jihomoravský kraj,60 - 64,606
Zemřelí,Celkem,2024,Jihomoravský kraj,65 - 69,988
Zemřelí,Celkem,2024,Jihomoravský kraj,70 - 74,1454
Zemřelí,Celkem,2024,Jihomoravský kraj,75 - 79,1949
Zemřelí,Celkem,2024,Jihomoravský kraj,80 - 84,2101
Zemřelí,Celkem,2024,Jihomoravský kraj,85 - 89,1855
Zemřelí,Celkem,2024,Jihomoravský kraj,90 - 94,1434
Zemřelí,Celkem,2024,Jihomoravský kraj,95 a více,556
Zemřelí,Celkem,2024,Olomoucký kraj,Celkem,6967
Zemřelí,Celkem,2024,Olomoucký kraj,0,17
Zemřelí,Celkem,2024,Olomoucký kraj,1 - 4,2
Zemřelí,Celkem,2024,Olomoucký kraj,5 - 9,3
Zemřelí,Celkem,2024,Olomoucký kraj,10 - 14,2
Zemřelí,Celkem,2024,Olomoucký kraj,15 - 19,9
Zemřelí,Celkem,2024,Olomoucký kraj,20 - 24,10
Zemřelí,Celkem,2024,Olomoucký kraj,25 - 29,22
Zemřelí,Celkem,2024,Olomoucký kraj,30 - 34,33
Zemřelí,Celkem,2024,Olomoucký kraj,35 - 39,45
Zemřelí,Celkem,2024,Olomoucký kraj,40 - 44,64
Zemřelí,Celkem,2024,Olomoucký kraj,45 - 49,134
Zemřelí,Celkem,2024,Olomoucký kraj,50 - 54,168
Zemřelí,Celkem,2024,Olomoucký kraj,55 - 59,284
Zemřelí,Celkem,2024,Olomoucký kraj,60 - 64,351
Zemřelí,Celkem,2024,Olomoucký kraj,65 - 69,563
Zemřelí,Celkem,2024,Olomoucký kraj,70 - 74,905
Zemřelí,Celkem,2024,Olomoucký kraj,75 - 79,1121
Zemřelí,Celkem,2024,Olomoucký kraj,80 - 84,1188
Zemřelí,Celkem,2024,Olomoucký kraj,85 - 89,1044
Zemřelí,Celkem,2024,Olomoucký kraj,90 - 94,738
Zemřelí,Celkem,2024,Olomoucký kraj,95 a více,264
Zemřelí,Celkem,2024,Zlínský kraj,Celkem,6306
Zemřelí,Celkem,2024,Zlínský kraj,0,13
Zemřelí,Celkem,2024,Zlínský kraj,1 - 4,5
Zemřelí,Celkem,2024,Zlínský kraj,5 - 9,0
Zemřelí,Celkem,2024,Zlínský kraj,10 - 14,1
Zemřelí,Celkem,2024,Zlínský kraj,15 - 19,4
Zemřelí,Celkem,2024,Zlínský kraj,20 - 24,14
Zemřelí,Celkem,2024,Zlínský kraj,25 - 29,27
Zemřelí,Celkem,2024,Zlínský kraj,30 - 34,22
Zemřelí,Celkem,2024,Zlínský kraj,35 - 39,28
Zemřelí,Celkem,2024,Zlínský kraj,40 - 44,62
Zemřelí,Celkem,2024,Zlínský kraj,45 - 49,134
Zemřelí,Celkem,2024,Zlínský kraj,50 - 54,158
Zemřelí,Celkem,2024,Zlínský kraj,55 - 59,252
Zemřelí,Celkem,2024,Zlínský kraj,60 - 64,345
Zemřelí,Celkem,2024,Zlínský kraj,65 - 69,532
Zemřelí,Celkem,2024,Zlínský kraj,70 - 74,732
Zemřelí,Celkem,2024,Zlínský kraj,75 - 79,948
Zemřelí,Celkem,2024,Zlínský kraj,80 - 84,1060
Zemřelí,Celkem,2024,Zlínský kraj,85 - 89,985
Zemřelí,Celkem,2024,Zlínský kraj,90 - 94,735
Zemřelí,Celkem,2024,Zlínský kraj,95 a více,249
Zemřelí,Celkem,2024,Moravskoslezský kraj,Celkem,13603
Zemřelí,Celkem,2024,Moravskoslezský kraj,0,31
Zemřelí,Celkem,2024,Moravskoslezský kraj,1 - 4,7
Zemřelí,Celkem,2024,Moravskoslezský kraj,5 - 9,5
Zemřelí,Celkem,2024,Moravskoslezský kraj,10 - 14,14
Zemřelí,Celkem,2024,Moravskoslezský kraj,15 - 19,17
Zemřelí,Celkem,2024,Moravskoslezský kraj,20 - 24,31
Zemřelí,Celkem,2024,Moravskoslezský kraj,25 - 29,30
Zemřelí,Celkem,2024,Moravskoslezský kraj,30 - 34,68
Zemřelí,Celkem,2024,Moravskoslezský kraj,35 - 39,109
Zemřelí,Celkem,2024,Moravskoslezský kraj,40 - 44,155
Zemřelí,Celkem,2024,Moravskoslezský kraj,45 - 49,242
Zemřelí,Celkem,2024,Moravskoslezský kraj,50 - 54,395
Zemřelí,Celkem,2024,Moravskoslezský kraj,55 - 59,569
Zemřelí,Celkem,2024,Moravskoslezský kraj,60 - 64,883
Zemřelí,Celkem,2024,Moravskoslezský kraj,65 - 69,1290
Zemřelí,Celkem,2024,Moravskoslezský kraj,70 - 74,1779
Zemřelí,Celkem,2024,Moravskoslezský kraj,75 - 79,2148
Zemřelí,Celkem,2024,Moravskoslezský kraj,80 - 84,2351
Zemřelí,Celkem,2024,Moravskoslezský kraj,85 - 89,1805
Zemřelí,Celkem,2024,Moravskoslezský kraj,90 - 94,1242
Zemřelí,Celkem,2024,Moravskoslezský kraj,95 a více,432
