Ukazatel,Typ obce,Území,Roky,value
Počet obcí,Počet obcí celkem,Karlovarský kraj,2018,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2019,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2020,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2021,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2022,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2023,134
Počet obcí,Počet obcí celkem,Karlovarský kraj,2024,134
Počet obcí,Počet obcí celkem,Ústecký kraj,2015,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2016,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2017,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2018,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2019,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2020,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2021,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2022,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2023,354
Počet obcí,Počet obcí celkem,Ústecký kraj,2024,354
Počet obcí,Počet obcí celkem,Liberecký kraj,2015,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2016,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2017,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2018,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2019,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2020,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2021,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2022,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2023,215
Počet obcí,Počet obcí celkem,Liberecký kraj,2024,215
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2015,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2016,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2017,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2018,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2019,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2020,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2021,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2022,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2023,448
Počet obcí,Počet obcí celkem,Královéhradecký kraj,2024,448
Počet obcí,Počet obcí celkem,Pardubický kraj,2015,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2016,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2017,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2018,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2019,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2020,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2021,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2022,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2023,451
Počet obcí,Počet obcí celkem,Pardubický kraj,2024,451
Počet obcí,Počet obcí celkem,Kraj Vysočina,2015,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2016,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2017,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2018,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2019,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2020,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2021,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2022,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2023,704
Počet obcí,Počet obcí celkem,Kraj Vysočina,2024,704
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2015,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2016,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2017,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2018,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2019,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2020,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2021,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2022,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2023,673
Počet obcí,Počet obcí celkem,Jihomoravský kraj,2024,673
Počet obcí,Počet obcí celkem,Olomoucký kraj,2015,399
Počet obcí,Počet obcí celkem,Olomoucký kraj,2016,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2017,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2018,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2019,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2020,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2021,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2022,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2023,402
Počet obcí,Počet obcí celkem,Olomoucký kraj,2024,402
Počet obcí,Počet obcí celkem,Zlínský kraj,2015,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2016,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2017,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2018,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2019,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2020,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2021,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2022,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2023,307
Počet obcí,Počet obcí celkem,Zlínský kraj,2024,307
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2015,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2016,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2017,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2018,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2019,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2020,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2021,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2022,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2023,300
Počet obcí,Počet obcí celkem,Moravskoslezský kraj,2024,300
