Území;Ukazatel;Pohlaví;Týdny;Věkové skupiny (pětileté);value
Česko;Zemřelí;Celkem; 10. týden 2025;65-69;197
Česko;Zemřelí;Celkem; 10. týden 2025;70-74;295
Česko;Zemřelí;Celkem; 10. týden 2025;75-79;372
Česko;Zemřelí;Celkem; 10. týden 2025;80-84;441
Česko;Zemřelí;Celkem; 10. týden 2025;85-89;364
Česko;Zemřelí;Celkem; 10. týden 2025;90 a více;358
Česko;Zemřelí;Celkem; 09. týden 2025;0-4;6
Česko;Zemřelí;Celkem; 09. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 09. týden 2025;10-14;2
Česko;Zemřelí;Celkem; 09. týden 2025;15-19;2
Česko;Zemřelí;Celkem; 09. týden 2025;20-24;3
Česko;Zemřelí;Celkem; 09. týden 2025;25-29;3
Česko;Zemřelí;Celkem; 09. týden 2025;30-34;4
Česko;Zemřelí;Celkem; 09. týden 2025;35-39;14
Česko;Zemřelí;Celkem; 09. týden 2025;40-44;23
Česko;Zemřelí;Celkem; 09. týden 2025;45-49;32
Česko;Zemřelí;Celkem; 09. týden 2025;50-54;50
Česko;Zemřelí;Celkem; 09. týden 2025;55-59;95
Česko;Zemřelí;Celkem; 09. týden 2025;60-64;124
Česko;Zemřelí;Celkem; 09. týden 2025;65-69;191
Česko;Zemřelí;Celkem; 09. týden 2025;70-74;322
Česko;Zemřelí;Celkem; 09. týden 2025;75-79;421
Česko;Zemřelí;Celkem; 09. týden 2025;80-84;404
Česko;Zemřelí;Celkem; 09. týden 2025;85-89;361
Česko;Zemřelí;Celkem; 09. týden 2025;90 a více;377
Česko;Zemřelí;Celkem; 08. týden 2025;0-4;3
Česko;Zemřelí;Celkem; 08. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 08. týden 2025;10-14;2
Česko;Zemřelí;Celkem; 08. týden 2025;15-19;4
Česko;Zemřelí;Celkem; 08. týden 2025;20-24;3
Česko;Zemřelí;Celkem; 08. týden 2025;25-29;5
Česko;Zemřelí;Celkem; 08. týden 2025;30-34;15
Česko;Zemřelí;Celkem; 08. týden 2025;35-39;16
Česko;Zemřelí;Celkem; 08. týden 2025;40-44;20
Česko;Zemřelí;Celkem; 08. týden 2025;45-49;35
Česko;Zemřelí;Celkem; 08. týden 2025;50-54;53
Česko;Zemřelí;Celkem; 08. týden 2025;55-59;91
Česko;Zemřelí;Celkem; 08. týden 2025;60-64;123
Česko;Zemřelí;Celkem; 08. týden 2025;65-69;164
Česko;Zemřelí;Celkem; 08. týden 2025;70-74;299
Česko;Zemřelí;Celkem; 08. týden 2025;75-79;389
Česko;Zemřelí;Celkem; 08. týden 2025;80-84;399
Česko;Zemřelí;Celkem; 08. týden 2025;85-89;361
Česko;Zemřelí;Celkem; 08. týden 2025;90 a více;355
Česko;Zemřelí;Celkem; 07. týden 2025;0-4;7
Česko;Zemřelí;Celkem; 07. týden 2025;5-9;2
Česko;Zemřelí;Celkem; 07. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 07. týden 2025;15-19;5
Česko;Zemřelí;Celkem; 07. týden 2025;20-24;6
Česko;Zemřelí;Celkem; 07. týden 2025;25-29;2
Česko;Zemřelí;Celkem; 07. týden 2025;30-34;11
Česko;Zemřelí;Celkem; 07. týden 2025;35-39;14
Česko;Zemřelí;Celkem; 07. týden 2025;40-44;23
Česko;Zemřelí;Celkem; 07. týden 2025;45-49;44
Česko;Zemřelí;Celkem; 07. týden 2025;50-54;58
Česko;Zemřelí;Celkem; 07. týden 2025;55-59;65
Česko;Zemřelí;Celkem; 07. týden 2025;60-64;143
Česko;Zemřelí;Celkem; 07. týden 2025;65-69;177
Česko;Zemřelí;Celkem; 07. týden 2025;70-74;322
Česko;Zemřelí;Celkem; 07. týden 2025;75-79;452
Česko;Zemřelí;Celkem; 07. týden 2025;80-84;386
Česko;Zemřelí;Celkem; 07. týden 2025;85-89;384
Česko;Zemřelí;Celkem; 07. týden 2025;90 a více;370
Česko;Zemřelí;Celkem; 06. týden 2025;0-4;7
Česko;Zemřelí;Celkem; 06. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 06. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 06. týden 2025;15-19;6
Česko;Zemřelí;Celkem; 06. týden 2025;20-24;0
Česko;Zemřelí;Celkem; 06. týden 2025;25-29;4
Česko;Zemřelí;Celkem; 06. týden 2025;30-34;6
Česko;Zemřelí;Celkem; 06. týden 2025;35-39;14
Česko;Zemřelí;Celkem; 06. týden 2025;40-44;13
Česko;Zemřelí;Celkem; 06. týden 2025;45-49;35
Česko;Zemřelí;Celkem; 06. týden 2025;50-54;66
Česko;Zemřelí;Celkem; 06. týden 2025;55-59;77
Česko;Zemřelí;Celkem; 06. týden 2025;60-64;120
Česko;Zemřelí;Celkem; 06. týden 2025;65-69;200
Česko;Zemřelí;Celkem; 06. týden 2025;70-74;308
Česko;Zemřelí;Celkem; 06. týden 2025;75-79;453
Česko;Zemřelí;Celkem; 06. týden 2025;80-84;422
Česko;Zemřelí;Celkem; 06. týden 2025;85-89;361
Česko;Zemřelí;Celkem; 06. týden 2025;90 a více;324
Česko;Zemřelí;Celkem; 05. týden 2025;0-4;5
Česko;Zemřelí;Celkem; 05. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 05. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 05. týden 2025;15-19;2
Česko;Zemřelí;Celkem; 05. týden 2025;20-24;3
Česko;Zemřelí;Celkem; 05. týden 2025;25-29;7
Česko;Zemřelí;Celkem; 05. týden 2025;30-34;7
Česko;Zemřelí;Celkem; 05. týden 2025;35-39;11
Česko;Zemřelí;Celkem; 05. týden 2025;40-44;24
Česko;Zemřelí;Celkem; 05. týden 2025;45-49;44
Česko;Zemřelí;Celkem; 05. týden 2025;50-54;60
Česko;Zemřelí;Celkem; 05. týden 2025;55-59;77
Česko;Zemřelí;Celkem; 05. týden 2025;60-64;123
Česko;Zemřelí;Celkem; 05. týden 2025;65-69;197
Česko;Zemřelí;Celkem; 05. týden 2025;70-74;326
Česko;Zemřelí;Celkem; 05. týden 2025;75-79;440
Česko;Zemřelí;Celkem; 05. týden 2025;80-84;440
Česko;Zemřelí;Celkem; 05. týden 2025;85-89;351
Česko;Zemřelí;Celkem; 05. týden 2025;90 a více;421
Česko;Zemřelí;Celkem; 04. týden 2025;0-4;4
Česko;Zemřelí;Celkem; 04. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 04. týden 2025;10-14;2
Česko;Zemřelí;Celkem; 04. týden 2025;15-19;1
Česko;Zemřelí;Celkem; 04. týden 2025;20-24;4
Česko;Zemřelí;Celkem; 04. týden 2025;25-29;1
Česko;Zemřelí;Celkem; 04. týden 2025;30-34;4
Česko;Zemřelí;Celkem; 04. týden 2025;35-39;10
Česko;Zemřelí;Celkem; 04. týden 2025;40-44;27
Česko;Zemřelí;Celkem; 04. týden 2025;45-49;37
Česko;Zemřelí;Celkem; 04. týden 2025;50-54;54
Česko;Zemřelí;Celkem; 04. týden 2025;55-59;98
Česko;Zemřelí;Celkem; 04. týden 2025;60-64;116
Česko;Zemřelí;Celkem; 04. týden 2025;65-69;179
Česko;Zemřelí;Celkem; 04. týden 2025;70-74;292
Česko;Zemřelí;Celkem; 04. týden 2025;75-79;393
Česko;Zemřelí;Celkem; 04. týden 2025;80-84;457
Česko;Zemřelí;Celkem; 04. týden 2025;85-89;403
Česko;Zemřelí;Celkem; 04. týden 2025;90 a více;354
Česko;Zemřelí;Celkem; 03. týden 2025;0-4;6
Česko;Zemřelí;Celkem; 03. týden 2025;5-9;3
Česko;Zemřelí;Celkem; 03. týden 2025;10-14;3
Česko;Zemřelí;Celkem; 03. týden 2025;15-19;3
Česko;Zemřelí;Celkem; 03. týden 2025;20-24;8
Česko;Zemřelí;Celkem; 03. týden 2025;25-29;3
Česko;Zemřelí;Celkem; 03. týden 2025;30-34;6
Česko;Zemřelí;Celkem; 03. týden 2025;35-39;20
Česko;Zemřelí;Celkem; 03. týden 2025;40-44;19
Česko;Zemřelí;Celkem; 03. týden 2025;45-49;35
Česko;Zemřelí;Celkem; 03. týden 2025;50-54;45
Česko;Zemřelí;Celkem; 03. týden 2025;55-59;91
Česko;Zemřelí;Celkem; 03. týden 2025;60-64;109
Česko;Zemřelí;Celkem; 03. týden 2025;65-69;199
Česko;Zemřelí;Celkem; 03. týden 2025;70-74;282
Česko;Zemřelí;Celkem; 03. týden 2025;75-79;391
Česko;Zemřelí;Celkem; 03. týden 2025;80-84;409
Česko;Zemřelí;Celkem; 03. týden 2025;85-89;331
Česko;Zemřelí;Celkem; 03. týden 2025;90 a více;377
Česko;Zemřelí;Celkem; 02. týden 2025;0-4;4
Česko;Zemřelí;Celkem; 02. týden 2025;5-9;1
Česko;Zemřelí;Celkem; 02. týden 2025;10-14;2
Česko;Zemřelí;Celkem; 02. týden 2025;15-19;1
Česko;Zemřelí;Celkem; 02. týden 2025;20-24;1
Česko;Zemřelí;Celkem; 02. týden 2025;25-29;2
Česko;Zemřelí;Celkem; 02. týden 2025;30-34;8
Česko;Zemřelí;Celkem; 02. týden 2025;35-39;25
Česko;Zemřelí;Celkem; 02. týden 2025;40-44;27
Česko;Zemřelí;Celkem; 02. týden 2025;45-49;51
Česko;Zemřelí;Celkem; 02. týden 2025;50-54;68
Česko;Zemřelí;Celkem; 02. týden 2025;55-59;82
Česko;Zemřelí;Celkem; 02. týden 2025;60-64;113
Česko;Zemřelí;Celkem; 02. týden 2025;65-69;208
Česko;Zemřelí;Celkem; 02. týden 2025;70-74;336
Česko;Zemřelí;Celkem; 02. týden 2025;75-79;434
Česko;Zemřelí;Celkem; 02. týden 2025;80-84;430
Česko;Zemřelí;Celkem; 02. týden 2025;85-89;394
Česko;Zemřelí;Celkem; 02. týden 2025;90 a více;361
Česko;Zemřelí;Celkem; 01. týden 2025;0-4;5
Česko;Zemřelí;Celkem; 01. týden 2025;5-9;2
Česko;Zemřelí;Celkem; 01. týden 2025;10-14;0
Česko;Zemřelí;Celkem; 01. týden 2025;15-19;4
Česko;Zemřelí;Celkem; 01. týden 2025;20-24;3
Česko;Zemřelí;Celkem; 01. týden 2025;25-29;4
Česko;Zemřelí;Celkem; 01. týden 2025;30-34;13
Česko;Zemřelí;Celkem; 01. týden 2025;35-39;22
Česko;Zemřelí;Celkem; 01. týden 2025;40-44;19
Česko;Zemřelí;Celkem; 01. týden 2025;45-49;42
Česko;Zemřelí;Celkem; 01. týden 2025;50-54;50
Česko;Zemřelí;Celkem; 01. týden 2025;55-59;80
Česko;Zemřelí;Celkem; 01. týden 2025;60-64;110
Česko;Zemřelí;Celkem; 01. týden 2025;65-69;191
Česko;Zemřelí;Celkem; 01. týden 2025;70-74;316
Česko;Zemřelí;Celkem; 01. týden 2025;75-79;401
Česko;Zemřelí;Celkem; 01. týden 2025;80-84;431
Česko;Zemřelí;Celkem; 01. týden 2025;85-89;409
Česko;Zemřelí;Celkem; 01. týden 2025;90 a více;362
Česko;Zemřelí;Celkem; 52. týden 2024;0-4;7
Česko;Zemřelí;Celkem; 52. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 52. týden 2024;10-14;2
Česko;Zemřelí;Celkem; 52. týden 2024;15-19;4
Česko;Zemřelí;Celkem; 52. týden 2024;20-24;7
Česko;Zemřelí;Celkem; 52. týden 2024;25-29;5
Česko;Zemřelí;Celkem; 52. týden 2024;30-34;3
Česko;Zemřelí;Celkem; 52. týden 2024;35-39;7
Česko;Zemřelí;Celkem; 52. týden 2024;40-44;20
Česko;Zemřelí;Celkem; 52. týden 2024;45-49;40
Česko;Zemřelí;Celkem; 52. týden 2024;50-54;55
Česko;Zemřelí;Celkem; 52. týden 2024;55-59;70
Česko;Zemřelí;Celkem; 52. týden 2024;60-64;119
Česko;Zemřelí;Celkem; 52. týden 2024;65-69;188
Česko;Zemřelí;Celkem; 52. týden 2024;70-74;263
Česko;Zemřelí;Celkem; 52. týden 2024;75-79;380
Česko;Zemřelí;Celkem; 52. týden 2024;80-84;433
Česko;Zemřelí;Celkem; 52. týden 2024;85-89;334
Česko;Zemřelí;Celkem; 52. týden 2024;90 a více;386
Česko;Zemřelí;Celkem; 51. týden 2024;0-4;7
Česko;Zemřelí;Celkem; 51. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 51. týden 2024;10-14;1
Česko;Zemřelí;Celkem; 51. týden 2024;15-19;2
Česko;Zemřelí;Celkem; 51. týden 2024;20-24;4
Česko;Zemřelí;Celkem; 51. týden 2024;25-29;10
Česko;Zemřelí;Celkem; 51. týden 2024;30-34;8
Česko;Zemřelí;Celkem; 51. týden 2024;35-39;17
Česko;Zemřelí;Celkem; 51. týden 2024;40-44;20
Česko;Zemřelí;Celkem; 51. týden 2024;45-49;55
Česko;Zemřelí;Celkem; 51. týden 2024;50-54;54
Česko;Zemřelí;Celkem; 51. týden 2024;55-59;78
Česko;Zemřelí;Celkem; 51. týden 2024;60-64;121
Česko;Zemřelí;Celkem; 51. týden 2024;65-69;180
Česko;Zemřelí;Celkem; 51. týden 2024;70-74;299
Česko;Zemřelí;Celkem; 51. týden 2024;75-79;395
Česko;Zemřelí;Celkem; 51. týden 2024;80-84;394
Česko;Zemřelí;Celkem; 51. týden 2024;85-89;330
Česko;Zemřelí;Celkem; 51. týden 2024;90 a více;336
Česko;Zemřelí;Celkem; 50. týden 2024;0-4;8
Česko;Zemřelí;Celkem; 50. týden 2024;5-9;0
Česko;Zemřelí;Celkem; 50. týden 2024;10-14;3
Česko;Zemřelí;Celkem; 50. týden 2024;15-19;5
Česko;Zemřelí;Celkem; 50. týden 2024;20-24;4
Česko;Zemřelí;Celkem; 50. týden 2024;25-29;3
Česko;Zemřelí;Celkem; 50. týden 2024;30-34;10
Česko;Zemřelí;Celkem; 50. týden 2024;35-39;17
Česko;Zemřelí;Celkem; 50. týden 2024;40-44;26
Česko;Zemřelí;Celkem; 50. týden 2024;45-49;48
Česko;Zemřelí;Celkem; 50. týden 2024;50-54;53
Česko;Zemřelí;Celkem; 50. týden 2024;55-59;88
Česko;Zemřelí;Celkem; 50. týden 2024;60-64;112
Česko;Zemřelí;Celkem; 50. týden 2024;65-69;167
Česko;Zemřelí;Celkem; 50. týden 2024;70-74;316
Česko;Zemřelí;Celkem; 50. týden 2024;75-79;384
Česko;Zemřelí;Celkem; 50. týden 2024;80-84;384
Česko;Zemřelí;Celkem; 50. týden 2024;85-89;302
Česko;Zemřelí;Celkem; 50. týden 2024;90 a více;371
Česko;Zemřelí;Celkem; 49. týden 2024;0-4;6
Česko;Zemřelí;Celkem; 49. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 49. týden 2024;10-14;0
Česko;Zemřelí;Celkem; 49. týden 2024;15-19;2
Česko;Zemřelí;Celkem; 49. týden 2024;20-24;6
Česko;Zemřelí;Celkem; 49. týden 2024;25-29;5
Česko;Zemřelí;Celkem; 49. týden 2024;30-34;10
Česko;Zemřelí;Celkem; 49. týden 2024;35-39;8
Česko;Zemřelí;Celkem; 49. týden 2024;40-44;25
Česko;Zemřelí;Celkem; 49. týden 2024;45-49;43
Česko;Zemřelí;Celkem; 49. týden 2024;50-54;65
Česko;Zemřelí;Celkem; 49. týden 2024;55-59;79
Česko;Zemřelí;Celkem; 49. týden 2024;60-64;91
Česko;Zemřelí;Celkem; 49. týden 2024;65-69;188
Česko;Zemřelí;Celkem; 49. týden 2024;70-74;296
Česko;Zemřelí;Celkem; 49. týden 2024;75-79;358
Česko;Zemřelí;Celkem; 49. týden 2024;80-84;373
Česko;Zemřelí;Celkem; 49. týden 2024;85-89;308
Česko;Zemřelí;Celkem; 49. týden 2024;90 a více;351
Česko;Zemřelí;Celkem; 48. týden 2024;0-4;10
Česko;Zemřelí;Celkem; 48. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 48. týden 2024;10-14;2
Česko;Zemřelí;Celkem; 48. týden 2024;15-19;4
Česko;Zemřelí;Celkem; 48. týden 2024;20-24;1
Česko;Zemřelí;Celkem; 48. týden 2024;25-29;3
Česko;Zemřelí;Celkem; 48. týden 2024;30-34;6
Česko;Zemřelí;Celkem; 48. týden 2024;35-39;13
Česko;Zemřelí;Celkem; 48. týden 2024;40-44;24
Česko;Zemřelí;Celkem; 48. týden 2024;45-49;39
Česko;Zemřelí;Celkem; 48. týden 2024;50-54;61
Česko;Zemřelí;Celkem; 48. týden 2024;55-59;65
Česko;Zemřelí;Celkem; 48. týden 2024;60-64;99
Česko;Zemřelí;Celkem; 48. týden 2024;65-69;176
Česko;Zemřelí;Celkem; 48. týden 2024;70-74;262
Česko;Zemřelí;Celkem; 48. týden 2024;75-79;378
Česko;Zemřelí;Celkem; 48. týden 2024;80-84;403
Česko;Zemřelí;Celkem; 48. týden 2024;85-89;332
Česko;Zemřelí;Celkem; 48. týden 2024;90 a více;345
Česko;Zemřelí;Celkem; 47. týden 2024;0-4;7
Česko;Zemřelí;Celkem; 47. týden 2024;5-9;0
Česko;Zemřelí;Celkem; 47. týden 2024;10-14;1
Česko;Zemřelí;Celkem; 47. týden 2024;15-19;4
Česko;Zemřelí;Celkem; 47. týden 2024;20-24;3
Česko;Zemřelí;Celkem; 47. týden 2024;25-29;6
Česko;Zemřelí;Celkem; 47. týden 2024;30-34;7
Česko;Zemřelí;Celkem; 47. týden 2024;35-39;8
Česko;Zemřelí;Celkem; 47. týden 2024;40-44;24
Česko;Zemřelí;Celkem; 47. týden 2024;45-49;44
Česko;Zemřelí;Celkem; 47. týden 2024;50-54;54
Česko;Zemřelí;Celkem; 47. týden 2024;55-59;75
Česko;Zemřelí;Celkem; 47. týden 2024;60-64;115
Česko;Zemřelí;Celkem; 47. týden 2024;65-69;179
Česko;Zemřelí;Celkem; 47. týden 2024;70-74;260
Česko;Zemřelí;Celkem; 47. týden 2024;75-79;335
Česko;Zemřelí;Celkem; 47. týden 2024;80-84;400
Česko;Zemřelí;Celkem; 47. týden 2024;85-89;287
Česko;Zemřelí;Celkem; 47. týden 2024;90 a více;316
Česko;Zemřelí;Celkem; 46. týden 2024;0-4;5
Česko;Zemřelí;Celkem; 46. týden 2024;5-9;0
Česko;Zemřelí;Celkem; 46. týden 2024;10-14;0
Česko;Zemřelí;Celkem; 46. týden 2024;15-19;1
Česko;Zemřelí;Celkem; 46. týden 2024;20-24;3
Česko;Zemřelí;Celkem; 46. týden 2024;25-29;6
Česko;Zemřelí;Celkem; 46. týden 2024;30-34;14
Česko;Zemřelí;Celkem; 46. týden 2024;35-39;10
Česko;Zemřelí;Celkem; 46. týden 2024;40-44;25
Česko;Zemřelí;Celkem; 46. týden 2024;45-49;37
Česko;Zemřelí;Celkem; 46. týden 2024;50-54;65
Česko;Zemřelí;Celkem; 46. týden 2024;55-59;70
Česko;Zemřelí;Celkem; 46. týden 2024;60-64;129
Česko;Zemřelí;Celkem; 46. týden 2024;65-69;168
Česko;Zemřelí;Celkem; 46. týden 2024;70-74;251
Česko;Zemřelí;Celkem; 46. týden 2024;75-79;367
Česko;Zemřelí;Celkem; 46. týden 2024;80-84;364
Česko;Zemřelí;Celkem; 46. týden 2024;85-89;310
Česko;Zemřelí;Celkem; 46. týden 2024;90 a více;299
Česko;Zemřelí;Celkem; 45. týden 2024;0-4;4
Česko;Zemřelí;Celkem; 45. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 45. týden 2024;10-14;1
Česko;Zemřelí;Celkem; 45. týden 2024;15-19;3
Česko;Zemřelí;Celkem; 45. týden 2024;20-24;1
Česko;Zemřelí;Celkem; 45. týden 2024;25-29;2
Česko;Zemřelí;Celkem; 45. týden 2024;30-34;8
Česko;Zemřelí;Celkem; 45. týden 2024;35-39;10
Česko;Zemřelí;Celkem; 45. týden 2024;40-44;34
Česko;Zemřelí;Celkem; 45. týden 2024;45-49;40
Česko;Zemřelí;Celkem; 45. týden 2024;50-54;51
Česko;Zemřelí;Celkem; 45. týden 2024;55-59;75
Česko;Zemřelí;Celkem; 45. týden 2024;60-64;89
Česko;Zemřelí;Celkem; 45. týden 2024;65-69;162
Česko;Zemřelí;Celkem; 45. týden 2024;70-74;279
Česko;Zemřelí;Celkem; 45. týden 2024;75-79;326
Česko;Zemřelí;Celkem; 45. týden 2024;80-84;370
Česko;Zemřelí;Celkem; 45. týden 2024;85-89;317
Česko;Zemřelí;Celkem; 45. týden 2024;90 a více;335
Česko;Zemřelí;Celkem; 44. týden 2024;0-4;5
Česko;Zemřelí;Celkem; 44. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 44. týden 2024;10-14;0
Česko;Zemřelí;Celkem; 44. týden 2024;15-19;6
Česko;Zemřelí;Celkem; 44. týden 2024;20-24;5
Česko;Zemřelí;Celkem; 44. týden 2024;25-29;6
Česko;Zemřelí;Celkem; 44. týden 2024;30-34;14
Česko;Zemřelí;Celkem; 44. týden 2024;35-39;10
Česko;Zemřelí;Celkem; 44. týden 2024;40-44;23
Česko;Zemřelí;Celkem; 44. týden 2024;45-49;39
Česko;Zemřelí;Celkem; 44. týden 2024;50-54;53
Česko;Zemřelí;Celkem; 44. týden 2024;55-59;61
Česko;Zemřelí;Celkem; 44. týden 2024;60-64;110
Česko;Zemřelí;Celkem; 44. týden 2024;65-69;199
Česko;Zemřelí;Celkem; 44. týden 2024;70-74;271
Česko;Zemřelí;Celkem; 44. týden 2024;75-79;353
Česko;Zemřelí;Celkem; 44. týden 2024;80-84;388
Česko;Zemřelí;Celkem; 44. týden 2024;85-89;351
Česko;Zemřelí;Celkem; 44. týden 2024;90 a více;321
Česko;Zemřelí;Celkem; 43. týden 2024;0-4;5
Česko;Zemřelí;Celkem; 43. týden 2024;5-9;1
Česko;Zemřelí;Celkem; 43. týden 2024;10-14;3
Česko;Zemřelí;Celkem; 43. týden 2024;15-19;1
Česko;Zemřelí;Celkem; 43. týden 2024;20-24;2
Česko;Zemřelí;Celkem; 43. týden 2024;25-29;3
Česko;Zemřelí;Celkem; 43. týden 2024;30-34;8
Česko;Zemřelí;Celkem; 43. týden 2024;35-39;21
Česko;Zemřelí;Celkem; 43. týden 2024;40-44;12
Česko;Zemřelí;Celkem; 43. týden 2024;45-49;37
Česko;Zemřelí;Celkem; 43. týden 2024;50-54;46
