Stát,Roky (ČR),Pohlaví,Věk (roky),Ukazatel,value
Česko,2024,muži,16,Počet obyvatel (Px),64317.0
Česko,2024,muži,16,Míra úmrtnosti (mx),0.0003028571
Česko,2024,muži,16,Pravděpodobnost úmrtí (qx),0.0003028113
Česko,2024,muži,16,Tabulkový počet dožívajících (lx),99585.4343080784
Česko,2024,muži,16,Tabulkový počet zemřelých (dx),30.1555901189
Česko,2024,muži,16,Tabulkový počet žijících (Lx),99570.356513019
Česko,2024,muži,16,Pomocný ukazatel (Tx),6120357.63611461
Česko,2024,muži,16,Naděje dožití (ex),61.4583616433
Česko,2024,muži,17,Počet zemřelých (Dx),21.0
Česko,2024,muži,17,Počet obyvatel (Px),63852.0
Česko,2024,muži,17,Míra úmrtnosti (mx),0.0003754425
Česko,2024,muži,17,Pravděpodobnost úmrtí (qx),0.000375372
Česko,2024,muži,17,Tabulkový počet dožívajících (lx),99555.2787179595
Česko,2024,muži,17,Tabulkový počet zemřelých (dx),37.3702684758
Česko,2024,muži,17,Tabulkový počet žijících (Lx),99536.5935837216
Česko,2024,muži,17,Pomocný ukazatel (Tx),6020787.27960159
Česko,2024,muži,17,Naděje dožití (ex),60.4768261124
Česko,2024,muži,18,Počet zemřelých (Dx),31.0
Česko,2024,muži,18,Počet obyvatel (Px),62958.0
Česko,2024,muži,18,Míra úmrtnosti (mx),0.0004478996
Česko,2024,muži,18,Pravděpodobnost úmrtí (qx),0.0004477993
Česko,2024,muži,18,Tabulkový počet dožívajících (lx),99517.9084494836
Česko,2024,muži,18,Tabulkový počet zemřelých (dx),44.5640471033
Česko,2024,muži,18,Tabulkový počet žijících (Lx),99495.626425932
Česko,2024,muži,18,Pomocný ukazatel (Tx),5921250.68601787
Česko,2024,muži,18,Naděje dožití (ex),59.4993481904
Česko,2024,muži,19,Počet zemřelých (Dx),36.0
Česko,2024,muži,19,Počet obyvatel (Px),58691.0
Česko,2024,muži,19,Míra úmrtnosti (mx),0.0005140392
Česko,2024,muži,19,Pravděpodobnost úmrtí (qx),0.0005139071
Česko,2024,muži,19,Tabulkový počet dožívajících (lx),99473.3444023804
Česko,2024,muži,19,Tabulkový počet zemřelých (dx),51.1200595105
Česko,2024,muži,19,Tabulkový počet žijících (Lx),99447.7843726251
Česko,2024,muži,19,Pomocný ukazatel (Tx),5821755.05959194
Česko,2024,muži,19,Naděje dožití (ex),58.5257798918
Česko,2024,muži,20,Počet zemřelých (Dx),32.0
Česko,2024,muži,20,Počet obyvatel (Px),54778.0
Česko,2024,muži,20,Míra úmrtnosti (mx),0.0005687087
Česko,2024,muži,20,Pravděpodobnost úmrtí (qx),0.0005685471
Česko,2024,muži,20,Tabulkový počet dožívajících (lx),99422.2243428698
Česko,2024,muži,20,Tabulkový počet zemřelých (dx),56.5262150894
Česko,2024,muži,20,Tabulkový počet žijících (Lx),99393.9612353251
Česko,2024,muži,20,Pomocný ukazatel (Tx),5722307.27521931
Česko,2024,muži,20,Naděje dožití (ex),57.5556150855
Česko,2024,muži,21,Počet zemřelých (Dx),30.0
Česko,2024,muži,21,Počet obyvatel (Px),52630.0
Česko,2024,muži,21,Míra úmrtnosti (mx),0.0006094237
Česko,2024,muži,21,Pravděpodobnost úmrtí (qx),0.0006092381
Česko,2024,muži,21,Tabulkový počet dožívajících (lx),99365.6981277804
Česko,2024,muži,21,Tabulkový počet zemřelých (dx),60.5373644958
Česko,2024,muži,21,Tabulkový počet žijících (Lx),99335.4294455326
Česko,2024,muži,21,Pomocný ukazatel (Tx),5622913.31398399
Česko,2024,muži,21,Naděje dožití (ex),56.5880723422
Česko,2024,muži,22,Počet zemřelých (Dx),32.0
Česko,2024,muži,22,Počet obyvatel (Px),51998.0
Česko,2024,muži,22,Míra úmrtnosti (mx),0.000639327
Česko,2024,muži,22,Pravděpodobnost úmrtí (qx),0.0006391227
Česko,2024,muži,22,Tabulkový počet dožívajících (lx),99305.1607632847
Česko,2024,muži,22,Tabulkový počet zemřelých (dx),63.4681822004
Česko,2024,muži,22,Tabulkový počet žijících (Lx),99273.4266721845
Česko,2024,muži,22,Pomocný ukazatel (Tx),5523577.88453845
Česko,2024,muži,22,Naděje dožití (ex),55.6222641611
Česko,2024,muži,23,Počet zemřelých (Dx),38.0
Česko,2024,muži,23,Počet obyvatel (Px),51943.0
Česko,2024,muži,23,Míra úmrtnosti (mx),0.0006641417
Česko,2024,muži,23,Pravděpodobnost úmrtí (qx),0.0006639212
Česko,2024,muži,23,Tabulkový počet dožívajících (lx),99241.6925810843
Česko,2024,muži,23,Tabulkový počet zemřelých (dx),65.888665445
Česko,2024,muži,23,Tabulkový počet žijících (Lx),99208.7482483618
Česko,2024,muži,23,Pomocný ukazatel (Tx),5424304.45786627
Česko,2024,muži,23,Naděje dožití (ex),54.6575165819
Česko,2024,muži,24,Počet zemřelých (Dx),33.0
Česko,2024,muži,24,Počet obyvatel (Px),51782.0
Česko,2024,muži,24,Míra úmrtnosti (mx),0.0006887908
Česko,2024,muži,24,Pravděpodobnost úmrtí (qx),0.0006885537
Česko,2024,muži,24,Tabulkový počet dožívajících (lx),99175.8039156392
Česko,2024,muži,24,Tabulkový počet zemřelých (dx),68.2878634091
Česko,2024,muži,24,Tabulkový počet žijících (Lx),99141.6599839347
Česko,2024,muži,24,Pomocný ukazatel (Tx),5325095.70961791
Česko,2024,muži,24,Naděje dožití (ex),53.6934967943
Česko,2024,muži,25,Počet zemřelých (Dx),35.0
Česko,2024,muži,25,Počet obyvatel (Px),51869.0
Česko,2024,muži,25,Míra úmrtnosti (mx),0.0007156699
Česko,2024,muži,25,Pravděpodobnost úmrtí (qx),0.0007154139
Česko,2024,muži,25,Tabulkový počet dožívajících (lx),99107.5160522302
Česko,2024,muži,25,Tabulkový počet zemřelých (dx),70.902891897
Česko,2024,muži,25,Tabulkový počet žijících (Lx),99072.0646062817
Česko,2024,muži,25,Pomocný ukazatel (Tx),5225954.04963397
Česko,2024,muži,25,Naděje dožití (ex),52.7301486083
Česko,2024,muži,26,Počet zemřelých (Dx),33.0
Česko,2024,muži,26,Počet obyvatel (Px),52949.0
Česko,2024,muži,26,Míra úmrtnosti (mx),0.0007471674
Česko,2024,muži,26,Pravděpodobnost úmrtí (qx),0.0007468884
Česko,2024,muži,26,Tabulkový počet dožívajících (lx),99036.6131603331
Česko,2024,muži,26,Tabulkový počet zemřelých (dx),73.9692938202
Česko,2024,muži,26,Tabulkový počet žijících (Lx),98999.6285134231
Česko,2024,muži,26,Pomocný ukazatel (Tx),5126881.98502769
Česko,2024,muži,26,Naděje dožití (ex),51.7675415326
Česko,2024,muži,27,Počet zemřelých (Dx),45.0
Česko,2024,muži,27,Počet obyvatel (Px),53576.0
Česko,2024,muži,27,Míra úmrtnosti (mx),0.0007834696
Česko,2024,muži,27,Pravděpodobnost úmrtí (qx),0.0007831628
Česko,2024,muži,27,Tabulkový počet dožívajících (lx),98962.643866513
Česko,2024,muži,27,Tabulkový počet zemřelých (dx),77.5038601959
Česko,2024,muži,27,Tabulkový počet žijících (Lx),98923.891936415
Česko,2024,muži,27,Pomocný ukazatel (Tx),5027882.35651427
Česko,2024,muži,27,Naděje dožití (ex),50.8058612833
Česko,2024,muži,28,Počet zemřelých (Dx),48.0
Česko,2024,muži,28,Počet obyvatel (Px),55647.0
Česko,2024,muži,28,Míra úmrtnosti (mx),0.0008221161
Česko,2024,muži,28,Pravděpodobnost úmrtí (qx),0.0008217783
Česko,2024,muži,28,Tabulkový počet dožívajících (lx),98885.1400063171
Česko,2024,muži,28,Tabulkový počet zemřelých (dx),81.2616636654
Česko,2024,muži,28,Tabulkový počet žijících (Lx),98844.5091744844
Česko,2024,muži,28,Pomocný ukazatel (Tx),4928958.46457785
Česko,2024,muži,28,Naděje dožití (ex),49.845289841
Česko,2024,muži,29,Počet zemřelých (Dx),56.0
Česko,2024,muži,29,Počet obyvatel (Px),60051.0
Česko,2024,muži,29,Míra úmrtnosti (mx),0.0008602731
Česko,2024,muži,29,Pravděpodobnost úmrtí (qx),0.0008599032
Česko,2024,muži,29,Tabulkový počet dožívajících (lx),98803.8783426517
Česko,2024,muži,29,Tabulkový počet zemřelých (dx),84.9617687572
Česko,2024,muži,29,Tabulkový počet žijících (Lx),98761.3974582731
Česko,2024,muži,29,Pomocný ukazatel (Tx),4830113.95540337
Česko,2024,muži,29,Naděje dožití (ex),48.8858740813
Česko,2024,muži,30,Počet zemřelých (Dx),63.0
Česko,2024,muži,30,Počet obyvatel (Px),66346.0
Česko,2024,muži,30,Míra úmrtnosti (mx),0.0008977814
Česko,2024,muži,30,Pravděpodobnost úmrtí (qx),0.0008973786
Česko,2024,muži,30,Tabulkový počet dožívajících (lx),98718.9165738945
Česko,2024,muži,30,Tabulkový počet zemřelých (dx),88.5882451908
Česko,2024,muži,30,Tabulkový počet žijících (Lx),98674.6224512991
Česko,2024,muži,30,Pomocný ukazatel (Tx),4731352.5579451
Česko,2024,muži,30,Naděje dožití (ex),47.927517057
Česko,2024,muži,31,Počet zemřelých (Dx),62.0
Česko,2024,muži,31,Počet obyvatel (Px),70381.0
Česko,2024,muži,31,Míra úmrtnosti (mx),0.0009366319
Česko,2024,muži,31,Pravděpodobnost úmrtí (qx),0.0009361934
Česko,2024,muži,31,Tabulkový počet dožívajících (lx),98630.3283287037
Česko,2024,muži,31,Tabulkový počet zemřelých (dx),92.3370647098
Česko,2024,muži,31,Tabulkový počet žijících (Lx),98584.1597963488
Česko,2024,muži,31,Pomocný ukazatel (Tx),4632677.9354938
Česko,2024,muži,31,Naděje dožití (ex),46.970115724
Česko,2024,muži,32,Počet zemřelých (Dx),69.0
Česko,2024,muži,32,Počet obyvatel (Px),72678.0
Česko,2024,muži,32,Míra úmrtnosti (mx),0.0009792278
Česko,2024,muži,32,Pravděpodobnost úmrtí (qx),0.0009787486
Česko,2024,muži,32,Tabulkový počet dožívajících (lx),98537.9912639939
Česko,2024,muži,32,Tabulkový počet zemřelých (dx),96.4439241831
Česko,2024,muži,32,Tabulkový počet žijících (Lx),98489.7693019024
Česko,2024,muži,32,Pomocný ukazatel (Tx),4534093.77569745
Česko,2024,muži,32,Naděje dožití (ex),46.013661508
Česko,2024,muži,33,Počet zemřelých (Dx),85.0
Česko,2024,muži,33,Počet obyvatel (Px),74493.0
Česko,2024,muži,33,Míra úmrtnosti (mx),0.0010284696
Česko,2024,muži,33,Pravděpodobnost úmrtí (qx),0.001027941
Česko,2024,muži,33,Tabulkový počet dožívajících (lx),98441.5473398108
Česko,2024,muži,33,Tabulkový počet zemřelých (dx),101.1921054524
Česko,2024,muži,33,Tabulkový počet žijících (Lx),98390.9512870846
Česko,2024,muži,33,Pomocný ukazatel (Tx),4435604.00639555
Česko,2024,muži,33,Naděje dožití (ex),45.0582515844
Česko,2024,muži,34,Počet zemřelých (Dx),69.0
Česko,2024,muži,34,Počet obyvatel (Px),73889.0
Česko,2024,muži,34,Míra úmrtnosti (mx),0.0010878734
Česko,2024,muži,34,Pravděpodobnost úmrtí (qx),0.001087282
Česko,2024,muži,34,Tabulkový počet dožívajících (lx),98340.3552343584
Česko,2024,muži,34,Tabulkový počet zemřelých (dx),106.9236986056
Česko,2024,muži,34,Tabulkový počet žijících (Lx),98286.8933850556
Česko,2024,muži,34,Pomocný ukazatel (Tx),4337213.05510846
Česko,2024,muži,34,Naděje dožití (ex),44.1041019709
Česko,2024,muži,35,Počet zemřelých (Dx),99.0
Česko,2024,muži,35,Počet obyvatel (Px),74205.0
Česko,2024,muži,35,Míra úmrtnosti (mx),0.0011611379
Česko,2024,muži,35,Pravděpodobnost úmrtí (qx),0.0011604642
Česko,2024,muži,35,Tabulkový počet dožívajících (lx),98233.4315357528
Česko,2024,muži,35,Tabulkový počet zemřelých (dx),113.9963757363
Česko,2024,muži,35,Tabulkový počet žijících (Lx),98176.4333478847
Česko,2024,muži,35,Pomocný ukazatel (Tx),4238926.16172341
Česko,2024,muži,35,Naděje dožití (ex),43.1515635304
Česko,2024,muži,36,Počet zemřelých (Dx),74.0
Česko,2024,muži,36,Počet obyvatel (Px),75107.0
Česko,2024,muži,36,Míra úmrtnosti (mx),0.0012499917
Česko,2024,muži,36,Pravděpodobnost úmrtí (qx),0.001249211
Česko,2024,muži,36,Tabulkový počet dožívajících (lx),98119.4351600165
Česko,2024,muži,36,Tabulkový počet zemřelých (dx),122.5718729657
Česko,2024,muži,36,Tabulkový počet žijících (Lx),98058.1492235336
Česko,2024,muži,36,Pomocný ukazatel (Tx),4140749.72837552
Česko,2024,muži,36,Naděje dožití (ex),42.2011166455
Česko,2024,muži,37,Počet zemřelých (Dx),102.0
Česko,2024,muži,37,Počet obyvatel (Px),75421.0
Česko,2024,muži,37,Míra úmrtnosti (mx),0.00135573
Česko,2024,muži,37,Pravděpodobnost úmrtí (qx),0.0013548116
Česko,2024,muži,37,Tabulkový počet dožívajících (lx),97996.8632870508
Česko,2024,muži,37,Tabulkový počet zemřelých (dx),132.7672891762
Česko,2024,muži,37,Tabulkový počet žijících (Lx),97930.4796424627
Česko,2024,muži,37,Pomocný ukazatel (Tx),4042691.57915199
Česko,2024,muži,37,Naděje dožití (ex),41.2532752942
Česko,2024,muži,38,Počet zemřelých (Dx),107.0
Česko,2024,muži,38,Počet obyvatel (Px),76378.0
Česko,2024,muži,38,Míra úmrtnosti (mx),0.0014783152
Česko,2024,muži,38,Pravděpodobnost úmrtí (qx),0.0014772233
Česko,2024,muži,38,Tabulkový počet dožívajících (lx),97864.0959978746
Česko,2024,muži,38,Tabulkový počet zemřelých (dx),144.5671204797
Česko,2024,muži,38,Tabulkový počet žijících (Lx),97791.8124376348
Česko,2024,muži,38,Pomocný ukazatel (Tx),3944761.09950952
Česko,2024,muži,38,Naděje dožití (ex),40.3085632099
Česko,2024,muži,39,Počet zemřelých (Dx),125.0
Česko,2024,muži,39,Počet obyvatel (Px),76969.0
Česko,2024,muži,39,Míra úmrtnosti (mx),0.0016129012
Česko,2024,muži,39,Pravděpodobnost úmrtí (qx),0.0016116015
Česko,2024,muži,39,Tabulkový počet dožívajících (lx),97719.5288773949
Česko,2024,muži,39,Tabulkový počet zemřelých (dx),157.4849401001
Česko,2024,muži,39,Tabulkový počet žijících (Lx),97640.7864073449
Česko,2024,muži,39,Pomocný ukazatel (Tx),3846969.28707189
Česko,2024,muži,39,Naděje dožití (ex),39.3674563444
Česko,2024,muži,40,Počet zemřelých (Dx),157.0
Česko,2024,muži,40,Počet obyvatel (Px),77059.0
Česko,2024,muži,40,Míra úmrtnosti (mx),0.0017516046
Česko,2024,muži,40,Pravděpodobnost úmrtí (qx),0.0017500719
Česko,2024,muži,40,Tabulkový počet dožívajících (lx),97562.0439372948
Česko,2024,muži,40,Tabulkový počet zemřelých (dx),170.7405887593
Česko,2024,muži,40,Tabulkový počet žijících (Lx),97476.6736429152
Česko,2024,muži,40,Pomocný ukazatel (Tx),3749328.50066455
Česko,2024,muži,40,Naděje dožití (ex),38.4301963074
Česko,2024,muži,41,Počet zemřelých (Dx),145.0
Česko,2024,muži,41,Počet obyvatel (Px),77555.0
Česko,2024,muži,41,Míra úmrtnosti (mx),0.0018879796
Česko,2024,muži,41,Pravděpodobnost úmrtí (qx),0.0018861991
Česko,2024,muži,41,Tabulkový počet dožívajících (lx),97391.3033485355
Česko,2024,muži,41,Tabulkový počet zemřelých (dx),183.6993870876
Česko,2024,muži,41,Tabulkový počet žijících (Lx),97299.4536549917
Česko,2024,muži,41,Pomocný ukazatel (Tx),3651851.82702163
Česko,2024,muži,41,Naděje dožití (ex),37.4966932515
Česko,2024,muži,42,Počet zemřelých (Dx),158.0
Česko,2024,muži,42,Počet obyvatel (Px),78283.0
Česko,2024,muži,42,Míra úmrtnosti (mx),0.0020218973
Česko,2024,muži,42,Pravděpodobnost úmrtí (qx),0.0020198553
Česko,2024,muži,42,Tabulkový počet dožívajících (lx),97207.6039614479
Česko,2024,muži,42,Tabulkový počet zemřelých (dx),196.3452960678
Česko,2024,muži,42,Tabulkový počet žijících (Lx),97109.431313414
Česko,2024,muži,42,Pomocný ukazatel (Tx),3554552.37336664
Česko,2024,muži,42,Naděje dožití (ex),36.566608254
Česko,2024,muži,43,Počet zemřelých (Dx),182.0
Česko,2024,muži,43,Počet obyvatel (Px),80772.0
Česko,2024,muži,43,Míra úmrtnosti (mx),0.0021546608
Česko,2024,muži,43,Pravděpodobnost úmrtí (qx),0.002152342
Česko,2024,muži,43,Tabulkový počet dožívajících (lx),97011.2586653802
Česko,2024,muži,43,Tabulkový počet zemřelých (dx),208.8014047756
Česko,2024,muži,43,Tabulkový počet žijících (Lx),96906.8579629924
Česko,2024,muži,43,Pomocný ukazatel (Tx),3457442.94205322
Česko,2024,muži,43,Naděje dožití (ex),35.6396050275
Česko,2024,muži,44,Počet zemřelých (Dx),210.0
Česko,2024,muži,44,Počet obyvatel (Px),86879.0
Česko,2024,muži,44,Míra úmrtnosti (mx),0.0022914606
Česko,2024,muži,44,Pravděpodobnost úmrtí (qx),0.0022888382
Česko,2024,muži,44,Tabulkový počet dožívajících (lx),96802.4572606046
Česko,2024,muži,44,Tabulkový počet zemřelých (dx),221.5651646936
Česko,2024,muži,44,Tabulkový počet žijících (Lx),96691.6746782578
Česko,2024,muži,44,Pomocný ukazatel (Tx),3360536.08409023
Česko,2024,muži,44,Naděje dožití (ex),34.7154006126
Česko,2024,muži,45,Počet zemřelých (Dx),211.0
Česko,2024,muži,45,Počet obyvatel (Px),91936.0
Česko,2024,muži,45,Míra úmrtnosti (mx),0.0024428271
Česko,2024,muži,45,Pravděpodobnost úmrtí (qx),0.002439847
Česko,2024,muži,45,Tabulkový počet dožívajících (lx),96580.892095911
Česko,2024,muži,45,Tabulkový počet zemřelých (dx),235.642601311
Česko,2024,muži,45,Tabulkový počet žijících (Lx),96463.0707952554
Česko,2024,muži,45,Pomocný ukazatel (Tx),3263844.40941197
Česko,2024,muži,45,Naděje dožití (ex),33.7938937877
Česko,2024,muži,46,Počet zemřelých (Dx),239.0
