Ukazatel;Věk;Rok sčítání;Pohlaví;ČR, kraje, SO ORP, obce;Nejvyšší dosažené vzdělání;value
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Celkem;521624
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Bez vzdělání;3633
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Základní vč. neukončeného;66923
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Střední vč. vyučení (bez maturity);174363
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;160512
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Vyšší odborné, konzervatoř;7209
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Vysokoškolské;81795
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Olomoucký kraj;Nezjištěno;27189
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Celkem;427281
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Bez vzdělání;2656
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Základní vč. neukončeného;53808
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Střední vč. vyučení (bez maturity);149516
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;132997
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Vyšší odborné, konzervatoř;7375
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Vysokoškolské;58987
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Pardubický kraj;Nezjištěno;21942
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Celkem;490442
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Bez vzdělání;3037
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Základní vč. neukončeného;64163
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Střední vč. vyučení (bez maturity);162010
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;151830
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Vyšší odborné, konzervatoř;7896
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Vysokoškolské;70888
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Plzeňský kraj;Nezjištěno;30618
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Celkem;1162092
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Bez vzdělání;6682
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Základní vč. neukončeného;141349
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Střední vč. vyučení (bez maturity);354022
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;378109
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Vyšší odborné, konzervatoř;20836
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Vysokoškolské;196805
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Středočeský kraj;Nezjištěno;64289
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Celkem;662139
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Bez vzdělání;7794
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Základní vč. neukončeného;110309
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Střední vč. vyučení (bez maturity);223213
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;189331
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Vyšší odborné, konzervatoř;8024
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Vysokoškolské;68782
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Ústecký kraj;Nezjištěno;54686
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Celkem;477032
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Bez vzdělání;2524
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Základní vč. neukončeného;61957
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Střední vč. vyučení (bez maturity);164718
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Úplné střední (s maturitou), vč. nástavbového a pomaturitního;146065
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Vyšší odborné, konzervatoř;5855
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Vysokoškolské;74338
Počet obyvatel (obvyklý pobyt);15 a více let;2021;Celkem;Zlínský kraj;Nezjištěno;21575
