Kumulace čtvrtletí,Šetření,"ČR, regiony, kraje",Ukazatel,value
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.8759806636
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady (tis. Kč),17154789.65998169
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),399476.3605975166
Q1-Q4 2024,Pracovištní metoda,Severovýchod,Ostatní osobní náklady - meziroční index (%),102.3841772067
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů (tis. Kč),364667917.87376314
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),26037548.628667336
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.6890766433
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů (tis. Kč),340827830.6678996
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),25252759.414887723
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.0021401293
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady (tis. Kč),23840087.20586349
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),784789.2137796117
Q1-Q4 2024,Pracovištní metoda,Jihovýchod,Ostatní osobní náklady - meziroční index (%),103.4039430505
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů (tis. Kč),224319626.51398933
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),15685182.427036978
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.5180215308
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů (tis. Kč),210042906.8594965
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),14978384.185817983
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.6786818948
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady (tis. Kč),14276719.654492822
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),706798.2412189964
Q1-Q4 2024,Pracovištní metoda,Střední Morava,Ostatní osobní náklady - meziroční index (%),105.2085654713
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů (tis. Kč),220946872.5477715
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13583735.020440554
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.5506990213
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů (tis. Kč),206768937.93744925
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13395314.781728774
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.9271675025
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady (tis. Kč),14177934.610322263
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),188420.2387117805
Q1-Q4 2024,Pracovištní metoda,Moravskoslezsko,Ostatní osobní náklady - meziroční index (%),101.346867616
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů (tis. Kč),612534192.0253603
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8333130.616528262
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy včetně ostatních osobních nákladů - meziroční index (%),101.379198275
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů (tis. Kč),565647893.0839452
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),15009971.65265313
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Mzdy bez ostatních osobních nákladů - meziroční index (%),102.7259240725
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady (tis. Kč),46886298.9414151
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-6676841.036124867
Q1-Q4 2024,Pracovištní metoda,Hlavní město Praha,Ostatní osobní náklady - meziroční index (%),87.5346347527
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),252050853.22381744
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),20501448.06754088
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.8540275254
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),237041110.50215903
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),19872313.61438735
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.1506302467
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady (tis. Kč),15009742.72165841
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),629134.4531535337
Q1-Q4 2024,Pracovištní metoda,Středočeský kraj,Ostatní osobní náklady - meziroční index (%),104.3748806824
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),118353280.70127937
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8979463.119524248
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.2098836066
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),110829060.81832953
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8548628.854731701
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.3580296745
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady (tis. Kč),7524219.882949841
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),430834.2647925476
Q1-Q4 2024,Pracovištní metoda,Jihočeský kraj,Ostatní osobní náklady - meziroční index (%),106.0737465575
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),122617469.66201727
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8557157.955742968
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.5023098111
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),115616791.76707456
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8980957.456179209
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4220820461
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady (tis. Kč),7000677.89494271
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-423799.5004362409
Q1-Q4 2024,Pracovištní metoda,Plzeňský kraj,Ostatní osobní náklady - meziroční index (%),94.2918608561
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),44158904.823919475
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3951196.6561404085
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),109.8269631277
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),40892681.5912794
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),3622427.5102178487
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.7193528714
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady (tis. Kč),3266223.2326400685
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),328769.1459225594
Q1-Q4 2024,Pracovištní metoda,Karlovarský kraj,Ostatní osobní náklady - meziroční index (%),111.1923160743
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),132273209.42847577
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),10282490.438321482
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.4289120709
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),124041850.4964834
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),9629238.844059793
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4162390011
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady (tis. Kč),8231358.931992363
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),653251.5942616897
Q1-Q4 2024,Pracovištní metoda,Ústecký kraj,Ostatní osobní náklady - meziroční index (%),108.6202473144
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),77318199.35725172
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6341791.030459661
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.9350689616
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),72456349.06816104
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6102476.92721464
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),109.1968663325
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady (tis. Kč),4861850.289090683
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),239314.1032450205
Q1-Q4 2024,Pracovištní metoda,Liberecký kraj,Ostatní osobní náklady - meziroční index (%),105.1771169251
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),106837619.12867409
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6592073.6463911
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.5759267553
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),100353336.81582513
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6101791.522787142
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.4739432163
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady (tis. Kč),6484282.312848944
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),490282.1236039591
Q1-Q4 2024,Pracovištní metoda,Královéhradecký kraj,Ostatní osobní náklady - meziroční index (%),108.1795480168
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),96614851.5983977
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6712097.917810348
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.4659536477
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),90806194.54035564
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),7042217.784061811
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.4072151977
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady (tis. Kč),5808657.058042064
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-330119.866251463
Q1-Q4 2024,Pracovištní metoda,Pardubický kraj,Ostatní osobní náklady - meziroční index (%),94.6223837367
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů (tis. Kč),91760349.41341728
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6857538.415926819
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy včetně ostatních osobních nákladů - meziroční index (%),108.0769274131
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů (tis. Kč),86460388.76744986
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6272428.073713055
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.8221568668
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady (tis. Kč),5299960.645967425
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),585110.3422137641
Q1-Q4 2024,Pracovištní metoda,Kraj Vysočina,Ostatní osobní náklady - meziroční index (%),112.4099452691
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),272907568.46034586
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),19180010.21274052
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.5592932613
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),254367441.90044978
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),18980331.34117467
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.0634539827
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady (tis. Kč),18540126.559896063
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),199678.8715658477
Q1-Q4 2024,Pracovištní metoda,Jihomoravský kraj,Ostatní osobní náklady - meziroční index (%),101.0887349914
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),117599125.59592119
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8688308.510248194
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.9774523254
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),110058324.55447894
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8362374.379472215
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),108.2229177908
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady (tis. Kč),7540801.041442244
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),325934.1307759792
Q1-Q4 2024,Pracovištní metoda,Olomoucký kraj,Ostatní osobní náklady - meziroční index (%),104.5175349014
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),106720500.91806814
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6996873.916788785
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),107.0162649787
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),99984582.30501756
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),6616009.806345767
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),107.0859065629
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady (tis. Kč),6735918.613050576
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),380864.1104430171
Q1-Q4 2024,Pracovištní metoda,Zlínský kraj,Ostatní osobní náklady - meziroční index (%),105.9930895996
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů (tis. Kč),220946872.5477715
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13583735.020440554
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.5506990213
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů (tis. Kč),206768937.93744925
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),13395314.781728774
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.9271675025
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Ostatní osobní náklady (tis. Kč),14177934.610322263
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),188420.2387117805
Q1-Q4 2024,Pracovištní metoda,Moravskoslezský kraj,Ostatní osobní náklady - meziroční index (%),101.346867616
