Ukazatel,Území,Odvětví,Čtvrtletí,value
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2001,536319
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2001,590885
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2001,607393
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2001,631682
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2002,569767
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2002,627300
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2002,633256
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2002,643863
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2003,598369
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2003,653758
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2003,662910
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2003,675854
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2004,638485
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2004,691521
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2004,708690
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2004,757817
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2005,682940
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2005,744582
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2005,750058
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2005,796865
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2006,731400
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2006,796548
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2006,817617
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2006,863012
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2007,809817
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2007,868671
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2007,885447
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2007,928491
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2008,853840
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2008,925686
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2008,945360
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2008,937782
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2009,848377
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2009,894137
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2009,895921
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2009,930809
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2010,842952
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2010,926167
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2010,930831
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2010,953660
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2011,863110
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2011,935184
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2011,938543
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2011,965098
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2012,879432
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2012,936030
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2012,932752
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2012,958772
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2013,872577
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2013,939805
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2013,948665
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2013,978168
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2014,914188
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2014,996287
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2014,1015819
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2014,1036507
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2015,971766
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2015,1053583
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2015,1071607
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2015,1094653
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2016,1016320
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2016,1104686
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2016,1104533
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2016,1135337
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2017,1069949
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2017,1172405
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2017,1190108
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2017,1228759
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2018,1144109
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2018,1240083
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2018,1254034
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2018,1302901
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2019,1229742
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2019,1335389
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2019,1364437
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2019,1400692
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2020,1272605
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2020,1252409
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2020,1367067
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2020,1423285
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2021,1304171
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2021,1444630
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2021,1476648
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2021,1523554
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2022,1458444
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2022,1602083
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2022,1648632
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2022,1708964
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2023,1656274
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2023,1778361
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2023,1774397
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2023,1827322
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2024,1709581
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2024,1852475
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,3. čtvrtletí 2024,1880102
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,4. čtvrtletí 2024,1912399
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,1. čtvrtletí 2025,1807731
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,Celkem,2. čtvrtletí 2025,1964952
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 1995,12234
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 1995,13106
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 1995,24118
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 1995,14930
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 1996,16281
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 1996,13372
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 1996,26800
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 1996,14759
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 1997,14478
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 1997,12540
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 1997,27194
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 1997,14512
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 1998,15067
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 1998,16620
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 1998,31767
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 1998,12142
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 1999,14303
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 1999,14290
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 1999,30373
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 1999,13510
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2000,14879
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2000,15998
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2000,32317
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2000,14322
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2001,16573
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2001,17555
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2001,32703
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2001,15781
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2002,16409
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2002,15966
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2002,27149
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2002,12043
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2003,14268
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2003,15401
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2003,27633
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2003,11574
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2004,15398
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2004,16984
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2004,29737
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2004,12236
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2005,15576
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2005,19092
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2005,28453
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2005,11898
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2006,15390
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2006,18119
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2006,28541
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2006,14307
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2007,15268
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2007,17898
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2007,32342
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2007,15046
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2008,18468
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2008,19824
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2008,33536
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2008,5708
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2009,15029
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2009,18118
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2009,26182
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2009,10067
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2010,11751
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2010,13760
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2010,25577
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2010,10317
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2011,15677
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2011,17488
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2011,35031
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2011,12234
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2012,17404
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2012,20418
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2012,39284
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2012,14801
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2013,19989
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2013,21397
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2013,40562
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2013,15923
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2014,21321
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2014,23352
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2014,44403
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2014,15676
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2015,21848
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2015,23916
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2015,44322
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2015,14995
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2016,20353
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2016,22914
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2016,44963
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2016,15803
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2017,20371
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2017,23219
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2017,47867
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2017,17592
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2018,20974
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2018,22088
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2018,46991
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2018,17741
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2019,21874
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2019,23346
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2019,48697
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2019,17472
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",1. čtvrtletí 2020,21606
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",2. čtvrtletí 2020,23852
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",3. čtvrtletí 2020,49527
"Hrubá přidaná hodnota (mil. Kč, běžné ceny)",Česko,"Zemědělství, lesnictví, rybářství",4. čtvrtletí 2020,18317
