Ukazatel,Rok sčítání,Pohlaví,Území,Rodinný stav,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Celkem,279103
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Svobodní/svobodné,120805
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Ženatí/vdané,96847
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Rozvedení/rozvedené,40439
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Ovdovělí/ovdovělé,19852
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Registrované partnerství trvající,126
Počet obyvatel (obvyklý pobyt),2021,Celkem,Karlovarský kraj,Nezjištěno,991
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Celkem,789098
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Svobodní/svobodné,348677
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Ženatí/vdané,273757
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Rozvedení/rozvedené,107753
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Ovdovělí/ovdovělé,56193
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Registrované partnerství trvající,388
Počet obyvatel (obvyklý pobyt),2021,Celkem,Ústecký kraj,Nezjištěno,2189
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Celkem,435220
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Svobodní/svobodné,187026
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Ženatí/vdané,160340
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Rozvedení/rozvedené,56997
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Ovdovělí/ovdovělé,29042
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Registrované partnerství trvající,188
Počet obyvatel (obvyklý pobyt),2021,Celkem,Liberecký kraj,Nezjištěno,1549
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Celkem,538303
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Svobodní/svobodné,221061
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Ženatí/vdané,210863
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Rozvedení/rozvedené,65509
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Ovdovělí/ovdovělé,38781
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Registrované partnerství trvající,158
Počet obyvatel (obvyklý pobyt),2021,Celkem,Královéhradecký kraj,Nezjištěno,1893
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Celkem,510037
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Svobodní/svobodné,211715
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Ženatí/vdané,203365
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Rozvedení/rozvedené,56611
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Ovdovělí/ovdovělé,36328
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Registrované partnerství trvající,154
Počet obyvatel (obvyklý pobyt),2021,Celkem,Pardubický kraj,Nezjištěno,1811
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Celkem,497661
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Svobodní/svobodné,201102
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Ženatí/vdané,210339
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Rozvedení/rozvedené,48514
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Ovdovělí/ovdovělé,36402
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Registrované partnerství trvající,106
Počet obyvatel (obvyklý pobyt),2021,Celkem,Kraj Vysočina,Nezjištěno,1176
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Celkem,1197651
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Svobodní/svobodné,514296
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Ženatí/vdané,466437
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Rozvedení/rozvedené,128686
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Ovdovělí/ovdovělé,80747
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Registrované partnerství trvající,574
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Nezjištěno,6778
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Svobodní/svobodné,259618
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Ženatí/vdané,240240
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Rozvedení/rozvedené,72374
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Ovdovělí/ovdovělé,45503
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Registrované partnerství trvající,233
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Nezjištěno,1763
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Svobodní/svobodné,227837
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Ženatí/vdané,231580
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Rozvedení/rozvedené,60010
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Ovdovělí/ovdovělé,43246
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Registrované partnerství trvající,110
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Nezjištěno,1503
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Svobodní/svobodné,486359
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Ženatí/vdané,442371
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Rozvedení/rozvedené,142166
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Ovdovělí/ovdovělé,88200
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Registrované partnerství trvající,423
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Nezjištěno,3179
