Kategorie,Čtvrtletí,Oblasti destinačního managementu nečleněné,Rezidence,Ukazatel,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Malta,Počet přenocování,3581.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Malta,Průměrný počet přenocování ,2.6506291636
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Německo,Počet hostů,291534.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Německo,Počet přenocování,700642.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Německo,Průměrný počet přenocování ,2.4032942984
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nizozemské království,Počet hostů,40599.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nizozemské království,Počet přenocování,106276.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nizozemské království,Průměrný počet přenocování ,2.6176999433
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Norsko,Počet hostů,12207.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Norsko,Počet přenocování,32265.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Norsko,Průměrný počet přenocování ,2.6431555665
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Polsko,Počet hostů,117194.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Polsko,Počet přenocování,235337.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Polsko,Průměrný počet přenocování ,2.0080976842
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Portugalsko,Počet hostů,12028.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Portugalsko,Počet přenocování,31775.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Portugalsko,Průměrný počet přenocování ,2.6417525773
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rakousko,Počet hostů,49577.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rakousko,Počet přenocování,101077.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rakousko,Průměrný počet přenocování ,2.0387881477
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rumunsko,Počet hostů,20567.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rumunsko,Počet přenocování,48377.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rumunsko,Průměrný počet přenocování ,2.3521660913
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rusko,Počet hostů,5391.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rusko,Počet přenocování,11710.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Rusko,Průměrný počet přenocování ,2.1721387498
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Řecko,Počet hostů,10276.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Řecko,Počet přenocování,29387.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Řecko,Průměrný počet přenocování ,2.8597703387
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovensko,Počet hostů,107976.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovensko,Počet přenocování,212186.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovensko,Průměrný počet přenocování ,1.9651218789
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovinsko,Počet hostů,7240.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovinsko,Počet přenocování,15783.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Slovinsko,Průměrný počet přenocování ,2.1799723757
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Velká Británie a Severní Irsko,Počet hostů,118850.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Velká Británie a Severní Irsko,Počet přenocování,314968.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Velká Británie a Severní Irsko,Průměrný počet přenocování ,2.6501304165
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Srbsko a Černá Hora,Počet hostů,8213.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Srbsko a Černá Hora,Počet přenocování,20594.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Srbsko a Černá Hora,Průměrný počet přenocování ,2.5074881286
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Španělsko,Počet hostů,51056.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Španělsko,Počet přenocování,143643.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Španělsko,Průměrný počet přenocování ,2.8134401442
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švédsko,Počet hostů,31701.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švédsko,Počet přenocování,81192.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švédsko,Průměrný počet přenocování ,2.5611810353
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švýcarsko,Počet hostů,22569.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švýcarsko,Počet přenocování,57214.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Švýcarsko,Průměrný počet přenocování ,2.5350702291
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Turecko,Počet hostů,32234.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Turecko,Počet přenocování,80168.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Turecko,Průměrný počet přenocování ,2.4870633493
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ukrajina,Počet hostů,48568.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ukrajina,Počet přenocování,92307.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ukrajina,Průměrný počet přenocování ,1.9005723933
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní evropské země,Počet hostů,20746.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní evropské země,Počet přenocování,46596.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní evropské země,Průměrný počet přenocování ,2.2460233298
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kanada,Počet hostů,24498.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kanada,Počet přenocování,65030.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kanada,Průměrný počet přenocování ,2.6545024084
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené státy,Počet hostů,149840.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené státy,Počet přenocování,384239.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené státy,Průměrný počet přenocování ,2.5643286172
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Brazílie,Počet hostů,14683.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Brazílie,Počet přenocování,37757.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Brazílie,Průměrný počet přenocování ,2.5714772186
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Mexiko,Počet hostů,12028.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Mexiko,Počet přenocování,28431.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Mexiko,Průměrný počet přenocování ,2.3637346192
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Argentina,Počet hostů,6470.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Argentina,Počet přenocování,16513.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Argentina,Průměrný počet přenocování ,2.5522411128
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní americké země,Počet hostů,15229.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní americké země,Počet přenocování,36223.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní americké země,Průměrný počet přenocování ,2.3785540745
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Čína,Počet hostů,38239.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Čína,Počet přenocování,70723.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Čína,Průměrný počet přenocování ,1.8494992024
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Indie,Počet hostů,24862.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Indie,Počet přenocování,60024.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Indie,Průměrný počet přenocování ,2.4142868635
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Izrael,Počet hostů,42578.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Izrael,Počet přenocování,140900.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Izrael,Průměrný počet přenocování ,3.3092207243
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Japonsko,Počet hostů,14797.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Japonsko,Počet přenocování,29617.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Japonsko,Průměrný počet přenocování ,2.0015543691
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Korejská republika,Počet hostů,48675.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Korejská republika,Počet přenocování,86915.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Korejská republika,Průměrný počet přenocování ,1.7856189009
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Tchaj-wan,Počet hostů,20505.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Tchaj-wan,Počet přenocování,45028.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Tchaj-wan,Průměrný počet přenocování ,2.1959522068
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Saúdská Arábie,Počet hostů,7730.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Saúdská Arábie,Počet přenocování,20639.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Saúdská Arábie,Průměrný počet přenocování ,2.6699870634
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené arabské emiráty,Počet hostů,6087.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené arabské emiráty,Počet přenocování,17523.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Spojené arabské emiráty,Průměrný počet přenocování ,2.8787580089
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Thajsko,Počet hostů,4394.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Thajsko,Počet přenocování,8340.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Thajsko,Průměrný počet přenocování ,1.8980427856
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kazachstán,Počet hostů,2528.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kazachstán,Počet přenocování,6797.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Kazachstán,Průměrný počet přenocování ,2.6886867089
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní asijské země,Počet hostů,42100.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní asijské země,Počet přenocování,99622.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní asijské země,Průměrný počet přenocování ,2.3663182898
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Jižní Afrika,Počet hostů,2412.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Jižní Afrika,Počet přenocování,5705.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Jižní Afrika,Průměrný počet přenocování ,2.3652570481
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní africké země,Počet hostů,8625.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní africké země,Počet přenocování,20861.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Ostatní africké země,Průměrný počet přenocování ,2.4186666667
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Austrálie,Počet hostů,17515.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Austrálie,Počet přenocování,44181.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Austrálie,Průměrný počet přenocování ,2.5224664573
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nový Zéland,Počet hostů,2922.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nový Zéland,Počet přenocování,7340.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Nový Zéland,Průměrný počet přenocování ,2.5119780972
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Oceánie,Počet hostů,1024.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Oceánie,Počet přenocování,2164.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Praha,Oceánie,Průměrný počet přenocování ,2.11328125
