Ukazatel;Realizace stavby;Roky;Území;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Zlínský kraj;9831.795
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2014;Moravskoslezský kraj;23491.405
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Česko;219537.363
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Hlavní město Praha;47269.318
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Středočeský kraj;20142.481
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Jihočeský kraj;19362.531
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Plzeňský kraj;10032.341
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Karlovarský kraj;5023.424
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Ústecký kraj;16779.555
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Liberecký kraj;6706.019
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Královéhradecký kraj;7703.798
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Pardubický kraj;7498.854
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Kraj Vysočina;8865.85
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Jihomoravský kraj;25715.6
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Olomoucký kraj;11920.228
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Zlínský kraj;9285.465
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2013;Moravskoslezský kraj;23231.899
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Česko;238212.217
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Hlavní město Praha;50440.806
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Středočeský kraj;23109.294
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Jihočeský kraj;21064.258
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Plzeňský kraj;11096.648
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Karlovarský kraj;5656.493
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Ústecký kraj;15844.725
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Liberecký kraj;7578.828
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Královéhradecký kraj;10294.041
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Pardubický kraj;8213.919
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Kraj Vysočina;9826.562
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Jihomoravský kraj;26775.482
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Olomoucký kraj;12760.48
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Zlínský kraj;9399.007
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2012;Moravskoslezský kraj;26151.674
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2011;Česko;254902.0
