Území;Kumulace čtvrtletí;Velikostní skupiny podniků;Ukazatel;value
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);7.4785703251
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.3826453384
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);46312.3558598971
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);2488.8055227583
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);105.6791508301
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);575.644029318
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);9.6380079756
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.702810149
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);44117.843550969
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);2239.0371220375
Česko;Q1-Q4 2024;100 až 249 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);105.3464683284
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);383.2053358492
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-5.584327629
Česko;Q1-Q4 2024;250 až 499 zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.5636635555
