Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2012,324169.27
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2011,765162.67
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2010,1154333.86
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2009,-1501598.08
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2008,705337.22
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Jihočeský kraj,2007,636926.45
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2024,3200227.79138
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2023,6164704.50319
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2022,1044782.24245
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2021,2322096.72015
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2020,586132.18749
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2019,1889678.58459
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2018,371221.56493
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2017,1718094.10436
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2016,2908603.0764
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Plzeňský kraj,2015,1165984.56564
