Ukazatel;Území;NACE;Roky;value
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2012;360
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2013;331
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2014;309
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2015;297
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2016;272
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2017;250
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2018;245
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2019;233
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2020;224
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2021;216
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2022;193
Počet aktivních podniků;Česko;Výroba spotřební elektroniky (26.4);2023;181
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2008;123
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2009;123
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2010;162
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2011;152
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2012;146
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2013;137
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2014;131
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2015;124
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2016;117
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2017;105
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2018;101
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2019;101
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2020;99
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2021;91
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2022;64
Počet aktivních podniků;Česko;Výroba optických a fotografických přístrojů (26.7);2023;64
Počet aktivních podniků;Česko;Výroba magnetických a optických medií (26.8);2008;147
