Území,Roky,Druh cesty ,Kategorie ubytovacího zařízení,Ukazatel,Cíl cesty,value
Česko,2023,Služební cesty,Kemp,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Kemp,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Kemp,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Kemp,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Kemp,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Individuální ubytovací zařízení placené,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,"Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení",Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Vlastní rekreační zařízení,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,U příbuzných a známých,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,U příbuzných a známých,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,U příbuzných a známých,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,U příbuzných a známých,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,U příbuzných a známých,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,U příbuzných a známých,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Jiné zařízení,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,Jiné zařízení,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Jiné zařízení,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Jiné zařízení,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Jiné zařízení,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Jiné zařízení,Náklady (mil. Kč),Zahraniční,
