Ukazatel;Území;Druh dopravy;Roky;value
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2005;780.588
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2006;818.033
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2007;898.266
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2008;862.746
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2009;640.722
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2010;679.471
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2011;695.012
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2012;669.355
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2013;693.463
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2014;656.47
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2015;584.878
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2016;620.394
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2017;622.679
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2018;553.955
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2019;569.493
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2020;509.019
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2021;516.761
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2022;534.798
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Vnitrozemská vodní doprava;2023;467.283
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2001;29.112
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2002;31.776
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2003;41.563
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2004;46.259
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2005;44.808
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2006;47.458
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2007;40.76
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2008;37.086
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2009;28.718
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2010;22.379
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2011;21.966
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2012;16.574
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2013;24.324
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2014;35.037
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2015;31.082
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2016;30.942
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2017;31.989
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2018;29.628
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2019;29.335
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2020;5.626
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2021;1.615
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2022;0.229
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Letecká doprava;2023;0.103
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2001;1661.0
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2002;1717.095
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2003;1819.691
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2004;1901.775
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2005;2258.991
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2006;2291.175
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2007;2078.741
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2008;2314.58
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2009;2155.932
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2010;2190.697
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2011;1953.722
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2012;1907.205
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2013;1933.035
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2014;2062.539
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2015;2022.722
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2016;1587.589
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2017;2164.657
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2018;2106.852
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2019;2050.295
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2020;1674.11
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2021;1892.078
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2022;2087.229
Přepravní výkon v nákladní dopravě (mil. tkm);Česko;Potrubní přeprava ropy;2023;2121.766
