Ukazatel;Území;Odvětví CZ-NACE;Roky;value
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2020;164406465.277586
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2021;179019457.460649
Přidaná hodnota (tis. Kč);Česko;H Doprava a skladování;2022;202043621.978279
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2005;
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2006;
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2007;
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2008;40058234.2873031
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2009;37457683.3010858
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2010;37564208.9727991
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2011;39274164.9037429
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2012;38798515.2570966
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2013;39277747.9563
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2014;41955634.1507696
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2015;46270031.1701425
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2016;46304677.6483163
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2017;58384766.9933648
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2018;61171042.0771265
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2019;66314826.3027301
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2020;28292577.5936856
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2021;33148043.4023759
Přidaná hodnota (tis. Kč);Česko;I Ubytování, stravování a pohostinství;2022;65931632.8637066
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2005;
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2006;
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2007;
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2008;154735107.018093
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2009;151206570.490027
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2010;149786498.670168
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2011;147775500.682159
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2012;146641532.393241
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2013;142034445.590622
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2014;147449064.607467
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2015;159558822.724242
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2016;167021382.884442
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2017;182066462.207712
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2018;202975769.717187
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2019;228992699.339218
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2020;243499100.265597
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2021;263365667.718576
Přidaná hodnota (tis. Kč);Česko;J Informační a komunikační činnosti;2022;287723347.119047
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2005;
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2006;
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2007;
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2008;57296823.5264563
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2009;64434426.7021956
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2010;66962823.9531475
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2011;72646924.8901287
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2012;76127161.7955478
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2013;78312109.1657265
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2014;85200460.544717
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2015;88383722.2600209
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2016;95057631.1818533
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2017;97686778.6382676
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2018;103131805.666127
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2019;113332609.210216
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2020;112890163.261854
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2021;120043328.205425
Přidaná hodnota (tis. Kč);Česko;L Činnosti v oblasti nemovitostí;2022;131177138.233983
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2005;
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2006;
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2007;
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2008;142896109.851589
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2009;140491345.195651
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2010;140902038.145126
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2011;143006283.934995
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2012;143835828.323902
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2013;146145953.934795
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2014;153055374.215396
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2015;164857026.017768
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2016;165667626.355845
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2017;179631229.441533
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2018;194341463.372066
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2019;202817688.494972
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2020;202575157.982886
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2021;220109402.392398
Přidaná hodnota (tis. Kč);Česko;M Profesní, vědecké a technické činnosti;2022;235925506.398252
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2005;
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2006;
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2007;
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2008;65781080.133153
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2009;58657726.663237
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2010;65663366.3885115
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2011;65841961.4336161
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2012;68444613.3586328
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2013;73982933.8493022
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2014;78676398.3129109
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2015;86869025.2783777
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2016;94112917.7328027
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2017;104854634.270202
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2018;114666314.52047
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2019;121634079.444556
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2020;109477015.131239
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2021;123403223.553505
Přidaná hodnota (tis. Kč);Česko;N Administrativní a podpůrné činnosti;2022;136165684.244219
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2005;
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2006;
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2007;
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2008;6817455.29662481
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2009;6582800.14752315
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2010;7206783.75127628
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2011;7399290.3514064
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2012;6846287.03219965
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2013;6415458.45486274
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2014;6908574.79823805
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2015;7061667.35498907
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2016;6966592.88047969
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2017;7616714.40942702
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2018;8254103.5674728
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2019;8954933.74518128
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2020;8078611.60511998
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2021;8934420.26655431
Přidaná hodnota (tis. Kč);Česko;P Vzdělávání;2022;10199794.0982814
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2005;
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2006;
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2007;
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2008;61517471.1712907
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2009;67511910.8397658
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2010;69792993.550668
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2011;72730795.494262
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2012;74292452.1351594
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2013;74161874.6972875
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2014;81176116.7782844
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2015;83528742.5076222
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2016;89074242.7264179
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2017;96141367.1639274
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2018;103768959.501981
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2019;115202826.903167
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2020;125548331.674536
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2021;151858939.741995
Přidaná hodnota (tis. Kč);Česko;Q Zdravotní a sociální péče;2022;158589232.659152
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2005;
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2006;
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2007;
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2008;25363175.8316541
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2009;24664378.8545354
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2010;24675910.2379327
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2011;23981006.1772581
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2012;26280181.8647632
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2013;26105415.4961745
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2014;27469690.42993
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2015;29639370.6417813
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2016;33117513.2163273
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2017;32722709.5986973
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2018;28555105.8003846
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2019;34405539.6424715
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2020;26582499.2690685
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2021;32250573.3758665
Přidaná hodnota (tis. Kč);Česko;R Kulturní, zábavní a rekreační činnosti;2022;48007889.4895055
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2005;
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2006;
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2007;
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2008;12422405.8355234
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2009;12882753.2413614
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2010;13711986.8068062
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2011;14401808.6940208
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2012;14941847.1067535
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2013;14887259.4443928
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2014;16027897.2987964
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2015;16911962.0391219
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2016;17169577.8003309
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2017;17499564.0168036
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2018;19406827.2904975
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2019;20725426.6849606
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2020;17536001.1356824
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2021;17049877.0510652
Přidaná hodnota (tis. Kč);Česko;S Ostatní činnosti;2022;22869431.7918519
