Území,Ukazatel,Kategorie ubytovacího zařízení,Roky,value
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2019,321
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2018,319
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2017,310
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2016,325
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2015,321
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2014,332
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2013,343
Česko,Počet hromadných ubytovacích zařízení,Chatová osada,2012,348
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2024,692
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2023,695
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2022,733
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2021,754
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2020,751
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2019,651
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2018,658
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2017,663
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2016,688
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2015,674
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2014,661
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2013,770
Česko,Počet hromadných ubytovacích zařízení,Turistická ubytovna,2012,769
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2024,1441
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2023,1468
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2022,1504
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2021,1558
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2020,1562
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2019,1608
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2018,1606
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2017,1552
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2016,1623
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2015,1660
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2014,1674
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2013,2050
Česko,Počet hromadných ubytovacích zařízení,Ostatní HUZ,2012,2076
