Ukazatel;Území;Rodinný stav nevěsty;Věk nevěsty (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;27;2022;3143.0
Sňatky;Česko;Celkem;27;2021;3064.0
Sňatky;Česko;Celkem;27;2020;3115.0
Sňatky;Česko;Celkem;27;2019;3789.0
Sňatky;Česko;Celkem;27;2018;4049.0
Sňatky;Česko;Celkem;27;2017;3928.0
Sňatky;Česko;Celkem;27;2016;3768.0
Sňatky;Česko;Celkem;27;2015;3600.0
Sňatky;Česko;Celkem;27;2014;3493.0
Sňatky;Česko;Celkem;27;2013;3329.0
Sňatky;Česko;Celkem;27;2012;3581.0
Sňatky;Česko;Celkem;27;2011;3565.0
Sňatky;Česko;Celkem;27;2010;3736.0
Sňatky;Česko;Celkem;27;2009;3751.0
Sňatky;Česko;Celkem;27;2008;3983.0
Sňatky;Česko;Celkem;27;2007;4697.0
Sňatky;Česko;Celkem;27;2006;4727.0
Sňatky;Česko;Celkem;27;2005;4457.0
Sňatky;Česko;Celkem;27;2004;4473.0
Sňatky;Česko;Celkem;27;2003;4044.0
Sňatky;Česko;Celkem;27;2002;4026.0
Sňatky;Česko;Celkem;27;2001;3528.0
Sňatky;Česko;Celkem;28;2024;
Sňatky;Česko;Celkem;28;2023;2755.0
Sňatky;Česko;Celkem;28;2022;3458.0
Sňatky;Česko;Celkem;28;2021;3071.0
Sňatky;Česko;Celkem;28;2020;3051.0
Sňatky;Česko;Celkem;28;2019;4112.0
Sňatky;Česko;Celkem;28;2018;3761.0
Sňatky;Česko;Celkem;28;2017;3807.0
Sňatky;Česko;Celkem;28;2016;3772.0
Sňatky;Česko;Celkem;28;2015;3707.0
Sňatky;Česko;Celkem;28;2014;3504.0
Sňatky;Česko;Celkem;28;2013;3251.0
Sňatky;Česko;Celkem;28;2012;3599.0
Sňatky;Česko;Celkem;28;2011;3302.0
Sňatky;Česko;Celkem;28;2010;3613.0
Sňatky;Česko;Celkem;28;2009;3580.0
Sňatky;Česko;Celkem;28;2008;3956.0
Sňatky;Česko;Celkem;28;2007;4579.0
Sňatky;Česko;Celkem;28;2006;4312.0
Sňatky;Česko;Celkem;28;2005;4056.0
Sňatky;Česko;Celkem;28;2004;3807.0
Sňatky;Česko;Celkem;28;2003;3228.0
Sňatky;Česko;Celkem;28;2002;3117.0
Sňatky;Česko;Celkem;28;2001;2634.0
Sňatky;Česko;Celkem;29;2024;
Sňatky;Česko;Celkem;29;2023;2897.0
