Ukazatel;ČR, Reg. soudržnosti, Kraje;Roky;value
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2020;488204
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2021;525283
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2022;550749
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Plzeňský kraj;2023;601946
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2015;287591
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2016;297792
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2017;319026
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2018;328521
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2019;346046
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2020;341055
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2021;356599
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2022;388235
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Karlovarský kraj;2023;424625
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2015;329602
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2016;329344
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2017;349155
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2018;361442
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2019;395843
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2020;387357
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2021;418742
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2022;477281
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Ústecký kraj;2023;515592
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2015;340866
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2016;353201
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2017;378199
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2018;397126
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2019;424124
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2020;421907
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2021;439568
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2022;466640
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Liberecký kraj;2023;509983
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2015;377974
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2016;399849
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2017;437959
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2018;458543
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2019;495651
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2020;500592
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2021;527908
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2022;555697
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Královéhradecký kraj;2023;614568
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2015;351961
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2016;368283
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2017;399653
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2018;419885
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2019;444052
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2020;458012
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2021;475799
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2022;531422
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Pardubický kraj;2023;571892
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2015;360139
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2016;375469
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2017;403554
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2018;415266
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2019;450404
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2020;466561
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2021;503486
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2022;542453
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Kraj Vysočina;2023;606287
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2015;421902
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2016;431326
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2017;458242
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2018;493655
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2019;530333
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihomoravský kraj;2020;540722
