Stát,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2023,L - Činnosti v oblasti nemovitostí,Náklady práce celkem,358.5180606848
Česko,2023,L - Činnosti v oblasti nemovitostí,Přímé náklady celkem,261.7267085936
Česko,2023,L - Činnosti v oblasti nemovitostí,Přímé náklady - mzdy za vykonanou práci,237.1273480687
Česko,2023,L - Činnosti v oblasti nemovitostí,Přímé náklady - náhrady mzdy,24.5993605249
Česko,2023,L - Činnosti v oblasti nemovitostí,Nepřímé náklady - sociální požitky,2.6066480006
Česko,2023,L - Činnosti v oblasti nemovitostí,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,89.0608667538
Česko,2023,L - Činnosti v oblasti nemovitostí,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.8120893043
Česko,2023,L - Činnosti v oblasti nemovitostí,Nepřímé náklady - personální náklady/výdaje,1.643843224
Česko,2023,L - Činnosti v oblasti nemovitostí,Nepřímé náklady - daně a dotace,-0.3320951915
Česko,2023,"M - Profesní, vědecké a technické činnosti",Náklady práce celkem,498.1562567992
Česko,2023,"M - Profesní, vědecké a technické činnosti",Přímé náklady celkem,362.505178968
Česko,2023,"M - Profesní, vědecké a technické činnosti",Přímé náklady - mzdy za vykonanou práci,326.1324493309
Česko,2023,"M - Profesní, vědecké a technické činnosti",Přímé náklady - náhrady mzdy,36.3727296371
Česko,2023,"M - Profesní, vědecké a technické činnosti",Nepřímé náklady - sociální požitky,4.1165167033
Česko,2023,"M - Profesní, vědecké a technické činnosti",Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,122.8990676044
Česko,2023,"M - Profesní, vědecké a technické činnosti",Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.1133261195
Česko,2023,"M - Profesní, vědecké a technické činnosti",Nepřímé náklady - personální náklady/výdaje,2.7035521714
Česko,2023,"M - Profesní, vědecké a technické činnosti",Nepřímé náklady - daně a dotace,-0.1813847673
Česko,2023,N - Administrativní a podpůrné činnosti,Náklady práce celkem,294.712253633
Česko,2023,N - Administrativní a podpůrné činnosti,Přímé náklady celkem,216.6895641944
