Území,Ukazatel,Očištění,Typ indexu,Typ tržeb,Vybraná průmyslová činnost,Roky,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2024,102.2681642435
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2023,102.6590418317
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2022,114.29232545
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2021,111.6744046907
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2020,93.2406476709
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2019,100.8320757477
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2018,103.6995975266
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2017,107.3041788563
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2016,101.5092426759
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2015,102.3519384485
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2014,110.8649931711
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2013,101.5057987674
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2012,101.8239813467
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2011,108.6288397808
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2010,111.2430191013
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2009,83.5191932024
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2008,97.7131744379
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2007,114.2450123713
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2006,109.2540748601
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2005,105.103315892
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2004,118.2471310614
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2003,103.7734834506
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2002,100.3255734706
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2001,111.9667521566
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,C Zpracovatelský průmysl,2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2024,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2023,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2022,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2021,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2020,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2019,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2018,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2017,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2016,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2015,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,"D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2024,75.784747261
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2023,119.2563576105
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2022,129.3147891442
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2021,111.1885772162
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2020,78.9014655152
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2019,86.7531673804
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2018,98.0241496666
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2017,107.9106291487
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2016,90.7579462045
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2015,94.2635873963
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2014,87.2984002655
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2013,88.4200064806
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2012,86.9848000681
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2011,106.1308324786
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2010,105.959317961
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2009,78.1156858037
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2008,119.7281910686
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2007,104.7811559435
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2006,121.413065459
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2005,105.9027440277
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2004,117.8662909956
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2003,88.4366543982
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2002,96.4606156437
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2001,104.682598546
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,05 Těžba a úprava černého a hnědého uhlí,2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2024,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2023,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2022,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2021,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2020,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2019,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2018,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2017,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2016,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2015,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,06 Těžba ropy a zemního plynu,2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2024,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2023,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2022,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2021,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2020,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2019,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2018,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2017,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2016,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2015,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2014,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2013,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2012,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2011,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2010,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2009,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2008,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2007,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2006,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2005,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2004,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2003,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2002,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2001,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,07 Těžba a úprava rud,2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2024,105.8155250952
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2023,101.442916201
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2022,115.745041226
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2021,115.7857439671
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2020,96.6432024061
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2019,105.4748500459
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2018,109.9507413783
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2017,106.2365190603
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2016,95.1387762489
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2015,98.0174328061
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2014,109.6168344683
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2013,97.1817948678
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2012,87.5600878417
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2011,98.4169468728
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2010,118.8017063878
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2009,87.9083221382
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2008,105.5347738724
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2007,95.68620782
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2006,110.525561787
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2005,105.2002445147
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,08 Ostatní těžba a dobývání,2004,103.9027590827
