Kategorie,Druh zařízení,Roky,"ČR, kraje",Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Průměrný počet přenocování ,Celkem,10.9036313461
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Průměrný počet přenocování ,Rezidenti,10.3450633517
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Ústecký kraj,Průměrný počet přenocování ,Nerezidenti,17.0073145246
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet hostů,Celkem,34265.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet hostů,Rezidenti,33034.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet hostů,Nerezidenti,1231.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet přenocování,Celkem,397140.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet přenocování,Rezidenti,384293.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Počet přenocování,Nerezidenti,12847.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Průměrný počet přenocování ,Celkem,11.5902524442
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Průměrný počet přenocování ,Rezidenti,11.6332566447
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Královéhradecký kraj,Průměrný počet přenocování ,Nerezidenti,10.4362307067
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Pardubický kraj,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Kraj Vysočina,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet hostů,Celkem,18582.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet hostů,Rezidenti,18190.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet hostů,Nerezidenti,392.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet přenocování,Celkem,143779.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet přenocování,Rezidenti,142716.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Počet přenocování,Nerezidenti,1063.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Průměrný počet přenocování ,Celkem,7.737541707
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Průměrný počet přenocování ,Rezidenti,7.8458493678
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Jihomoravský kraj,Průměrný počet přenocování ,Nerezidenti,2.7117346939
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet hostů,Celkem,46072.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet hostů,Rezidenti,45544.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet hostů,Nerezidenti,528.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet přenocování,Celkem,624751.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet přenocování,Rezidenti,622167.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Počet přenocování,Nerezidenti,2584.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Průměrný počet přenocování ,Celkem,13.5603186317
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Průměrný počet přenocování ,Rezidenti,13.6607895661
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Olomoucký kraj,Průměrný počet přenocování ,Nerezidenti,4.8939393939
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet hostů,Celkem,52363.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet hostů,Rezidenti,48524.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet hostů,Nerezidenti,3839.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet přenocování,Celkem,465524.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet přenocování,Rezidenti,451560.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Počet přenocování,Nerezidenti,13964.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Průměrný počet přenocování ,Celkem,8.8903233199
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Průměrný počet přenocování ,Rezidenti,9.3059104773
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Zlínský kraj,Průměrný počet přenocování ,Nerezidenti,3.6374055744
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet hostů,Celkem,26762.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet hostů,Rezidenti,25760.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet hostů,Nerezidenti,1002.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet přenocování,Celkem,478649.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet přenocování,Rezidenti,457557.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Počet přenocování,Nerezidenti,21092.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Průměrný počet přenocování ,Celkem,17.885397205
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Průměrný počet přenocování ,Rezidenti,17.7623059006
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,2023,Moravskoslezský kraj,Průměrný počet přenocování ,Nerezidenti,21.0499001996
