Ukazatel;Území;Druh nemovitosti;Tříleté období;value
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2019-2021;36112
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2020-2022;42675
Průměrná jednotková kupní cena nemovitosti;Plzeňský kraj;Byty [Kč/m2];2021-2023;47262
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2019-2021;29064
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2020-2022;33052
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Rodinné domy [Kč/m2];2021-2023;35862
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2019-2021;25478
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2020-2022;30222
Průměrná jednotková kupní cena nemovitosti;Karlovarský kraj;Byty [Kč/m2];2021-2023;33094
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2019-2021;28891
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2020-2022;32690
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Rodinné domy [Kč/m2];2021-2023;35857
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2019-2021;25469
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2020-2022;30299
Průměrná jednotková kupní cena nemovitosti;Ústecký kraj;Byty [Kč/m2];2021-2023;33451
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2019-2021;34746
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2020-2022;39801
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Rodinné domy [Kč/m2];2021-2023;43938
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2019-2021;33253
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2020-2022;39505
Průměrná jednotková kupní cena nemovitosti;Liberecký kraj;Byty [Kč/m2];2021-2023;44210
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2019-2021;33636
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2020-2022;37913
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Rodinné domy [Kč/m2];2021-2023;42407
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2019-2021;33969
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2020-2022;40137
Průměrná jednotková kupní cena nemovitosti;Královéhradecký kraj;Byty [Kč/m2];2021-2023;44915
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2019-2021;32015
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2020-2022;35595
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Rodinné domy [Kč/m2];2021-2023;39420
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2019-2021;35831
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2020-2022;42244
Průměrná jednotková kupní cena nemovitosti;Pardubický kraj;Byty [Kč/m2];2021-2023;47195
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2019-2021;31856
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2020-2022;35459
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Rodinné domy [Kč/m2];2021-2023;39036
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2019-2021;33910
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2020-2022;39903
Průměrná jednotková kupní cena nemovitosti;Kraj Vysočina;Byty [Kč/m2];2021-2023;44518
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2019-2021;37365
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2020-2022;41629
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Rodinné domy [Kč/m2];2021-2023;46276
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2019-2021;48273
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2020-2022;55888
Průměrná jednotková kupní cena nemovitosti;Jihomoravský kraj;Byty [Kč/m2];2021-2023;62580
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2019-2021;28777
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2020-2022;32572
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Rodinné domy [Kč/m2];2021-2023;36044
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2019-2021;33677
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2020-2022;39858
Průměrná jednotková kupní cena nemovitosti;Olomoucký kraj;Byty [Kč/m2];2021-2023;44264
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2019-2021;28428
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2020-2022;32356
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Rodinné domy [Kč/m2];2021-2023;35544
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2019-2021;33185
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2020-2022;38849
Průměrná jednotková kupní cena nemovitosti;Zlínský kraj;Byty [Kč/m2];2021-2023;43627
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2019-2021;31296
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2020-2022;34922
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Rodinné domy [Kč/m2];2021-2023;38753
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2019-2021;29224
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2020-2022;34852
Průměrná jednotková kupní cena nemovitosti;Moravskoslezský kraj;Byty [Kč/m2];2021-2023;38484
Průměrná jednotková kupní cena nemovitosti;Benešov;Rodinné domy [Kč/m2];2019-2021;36560
Průměrná jednotková kupní cena nemovitosti;Benešov;Rodinné domy [Kč/m2];2020-2022;40685
Průměrná jednotková kupní cena nemovitosti;Benešov;Rodinné domy [Kč/m2];2021-2023;44623
Průměrná jednotková kupní cena nemovitosti;Benešov;Byty [Kč/m2];2019-2021;36467
Průměrná jednotková kupní cena nemovitosti;Benešov;Byty [Kč/m2];2020-2022;43011
Průměrná jednotková kupní cena nemovitosti;Benešov;Byty [Kč/m2];2021-2023;47791
Průměrná jednotková kupní cena nemovitosti;Beroun;Rodinné domy [Kč/m2];2019-2021;40166
Průměrná jednotková kupní cena nemovitosti;Beroun;Rodinné domy [Kč/m2];2020-2022;43143
Průměrná jednotková kupní cena nemovitosti;Beroun;Rodinné domy [Kč/m2];2021-2023;45022
Průměrná jednotková kupní cena nemovitosti;Beroun;Byty [Kč/m2];2019-2021;38618
Průměrná jednotková kupní cena nemovitosti;Beroun;Byty [Kč/m2];2020-2022;44371
Průměrná jednotková kupní cena nemovitosti;Beroun;Byty [Kč/m2];2021-2023;50239
Průměrná jednotková kupní cena nemovitosti;Kladno;Rodinné domy [Kč/m2];2019-2021;40004
Průměrná jednotková kupní cena nemovitosti;Kladno;Rodinné domy [Kč/m2];2020-2022;45687
Průměrná jednotková kupní cena nemovitosti;Kladno;Rodinné domy [Kč/m2];2021-2023;49761
Průměrná jednotková kupní cena nemovitosti;Kladno;Byty [Kč/m2];2019-2021;46388
Průměrná jednotková kupní cena nemovitosti;Kladno;Byty [Kč/m2];2020-2022;54817
Průměrná jednotková kupní cena nemovitosti;Kladno;Byty [Kč/m2];2021-2023;60556
Průměrná jednotková kupní cena nemovitosti;Kolín;Rodinné domy [Kč/m2];2019-2021;34387
Průměrná jednotková kupní cena nemovitosti;Kolín;Rodinné domy [Kč/m2];2020-2022;39273
Průměrná jednotková kupní cena nemovitosti;Kolín;Rodinné domy [Kč/m2];2021-2023;43293
Průměrná jednotková kupní cena nemovitosti;Kolín;Byty [Kč/m2];2019-2021;34628
Průměrná jednotková kupní cena nemovitosti;Kolín;Byty [Kč/m2];2020-2022;42902
Průměrná jednotková kupní cena nemovitosti;Kolín;Byty [Kč/m2];2021-2023;49364
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Rodinné domy [Kč/m2];2019-2021;33425
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Rodinné domy [Kč/m2];2020-2022;36384
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Rodinné domy [Kč/m2];2021-2023;43135
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Byty [Kč/m2];2019-2021;31793
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Byty [Kč/m2];2020-2022;38861
Průměrná jednotková kupní cena nemovitosti;Kutná Hora;Byty [Kč/m2];2021-2023;44123
Průměrná jednotková kupní cena nemovitosti;Mělník;Rodinné domy [Kč/m2];2019-2021;37712
Průměrná jednotková kupní cena nemovitosti;Mělník;Rodinné domy [Kč/m2];2020-2022;41318
Průměrná jednotková kupní cena nemovitosti;Mělník;Rodinné domy [Kč/m2];2021-2023;45723
Průměrná jednotková kupní cena nemovitosti;Mělník;Byty [Kč/m2];2019-2021;37967
Průměrná jednotková kupní cena nemovitosti;Mělník;Byty [Kč/m2];2020-2022;46384
Průměrná jednotková kupní cena nemovitosti;Mělník;Byty [Kč/m2];2021-2023;51812
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Rodinné domy [Kč/m2];2019-2021;37245
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Rodinné domy [Kč/m2];2020-2022;40794
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Rodinné domy [Kč/m2];2021-2023;44801
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Byty [Kč/m2];2019-2021;37562
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Byty [Kč/m2];2020-2022;45614
Průměrná jednotková kupní cena nemovitosti;Mladá Boleslav;Byty [Kč/m2];2021-2023;51964
Průměrná jednotková kupní cena nemovitosti;Nymburk;Rodinné domy [Kč/m2];2019-2021;32809
Průměrná jednotková kupní cena nemovitosti;Nymburk;Rodinné domy [Kč/m2];2020-2022;37713
Průměrná jednotková kupní cena nemovitosti;Nymburk;Rodinné domy [Kč/m2];2021-2023;42486
Průměrná jednotková kupní cena nemovitosti;Nymburk;Byty [Kč/m2];2019-2021;36783
Průměrná jednotková kupní cena nemovitosti;Nymburk;Byty [Kč/m2];2020-2022;43106
Průměrná jednotková kupní cena nemovitosti;Nymburk;Byty [Kč/m2];2021-2023;47413
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Rodinné domy [Kč/m2];2019-2021;66825
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Rodinné domy [Kč/m2];2020-2022;78744
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Rodinné domy [Kč/m2];2021-2023;87665
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Byty [Kč/m2];2019-2021;40851
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Byty [Kč/m2];2020-2022;48614
Průměrná jednotková kupní cena nemovitosti;Praha-východ;Byty [Kč/m2];2021-2023;53641
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Rodinné domy [Kč/m2];2019-2021;65009
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Rodinné domy [Kč/m2];2020-2022;75499
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Rodinné domy [Kč/m2];2021-2023;85231
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Byty [Kč/m2];2019-2021;40484
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Byty [Kč/m2];2020-2022;46503
Průměrná jednotková kupní cena nemovitosti;Praha-západ;Byty [Kč/m2];2021-2023;49774
Průměrná jednotková kupní cena nemovitosti;Příbram;Rodinné domy [Kč/m2];2019-2021;34790
Průměrná jednotková kupní cena nemovitosti;Příbram;Rodinné domy [Kč/m2];2020-2022;38983
Průměrná jednotková kupní cena nemovitosti;Příbram;Rodinné domy [Kč/m2];2021-2023;42466
Průměrná jednotková kupní cena nemovitosti;Příbram;Byty [Kč/m2];2019-2021;34241
Průměrná jednotková kupní cena nemovitosti;Příbram;Byty [Kč/m2];2020-2022;41085
Průměrná jednotková kupní cena nemovitosti;Příbram;Byty [Kč/m2];2021-2023;46812
Průměrná jednotková kupní cena nemovitosti;Rakovník;Rodinné domy [Kč/m2];2019-2021;31580
Průměrná jednotková kupní cena nemovitosti;Rakovník;Rodinné domy [Kč/m2];2020-2022;35839
Průměrná jednotková kupní cena nemovitosti;Rakovník;Rodinné domy [Kč/m2];2021-2023;40315
Průměrná jednotková kupní cena nemovitosti;Rakovník;Byty [Kč/m2];2019-2021;32342
Průměrná jednotková kupní cena nemovitosti;Rakovník;Byty [Kč/m2];2020-2022;36347
Průměrná jednotková kupní cena nemovitosti;Rakovník;Byty [Kč/m2];2021-2023;42512
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Rodinné domy [Kč/m2];2019-2021;39909
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Rodinné domy [Kč/m2];2020-2022;45061
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Rodinné domy [Kč/m2];2021-2023;51072
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Byty [Kč/m2];2019-2021;42683
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Byty [Kč/m2];2020-2022;49473
Průměrná jednotková kupní cena nemovitosti;České Budějovice;Byty [Kč/m2];2021-2023;53925
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Rodinné domy [Kč/m2];2019-2021;32964
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Rodinné domy [Kč/m2];2020-2022;36262
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Rodinné domy [Kč/m2];2021-2023;42653
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Byty [Kč/m2];2019-2021;28973
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Byty [Kč/m2];2020-2022;34586
Průměrná jednotková kupní cena nemovitosti;Český Krumlov;Byty [Kč/m2];2021-2023;39985
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Rodinné domy [Kč/m2];2019-2021;30353
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Rodinné domy [Kč/m2];2020-2022;36067
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Rodinné domy [Kč/m2];2021-2023;39643
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Byty [Kč/m2];2019-2021;27598
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Byty [Kč/m2];2020-2022;34825
Průměrná jednotková kupní cena nemovitosti;Jindřichův Hradec;Byty [Kč/m2];2021-2023;39510
Průměrná jednotková kupní cena nemovitosti;Písek;Rodinné domy [Kč/m2];2019-2021;28880
Průměrná jednotková kupní cena nemovitosti;Písek;Rodinné domy [Kč/m2];2020-2022;32153
Průměrná jednotková kupní cena nemovitosti;Písek;Rodinné domy [Kč/m2];2021-2023;36648
Průměrná jednotková kupní cena nemovitosti;Písek;Byty [Kč/m2];2019-2021;29770
Průměrná jednotková kupní cena nemovitosti;Písek;Byty [Kč/m2];2020-2022;37693
Průměrná jednotková kupní cena nemovitosti;Písek;Byty [Kč/m2];2021-2023;42332
Průměrná jednotková kupní cena nemovitosti;Prachatice;Rodinné domy [Kč/m2];2019-2021;29999
Průměrná jednotková kupní cena nemovitosti;Prachatice;Rodinné domy [Kč/m2];2020-2022;34448
Průměrná jednotková kupní cena nemovitosti;Prachatice;Rodinné domy [Kč/m2];2021-2023;36280
Průměrná jednotková kupní cena nemovitosti;Prachatice;Byty [Kč/m2];2019-2021;25790
Průměrná jednotková kupní cena nemovitosti;Prachatice;Byty [Kč/m2];2020-2022;29742
Průměrná jednotková kupní cena nemovitosti;Prachatice;Byty [Kč/m2];2021-2023;34565
Průměrná jednotková kupní cena nemovitosti;Strakonice;Rodinné domy [Kč/m2];2019-2021;31575
Průměrná jednotková kupní cena nemovitosti;Strakonice;Rodinné domy [Kč/m2];2020-2022;34169
Průměrná jednotková kupní cena nemovitosti;Strakonice;Rodinné domy [Kč/m2];2021-2023;36817
Průměrná jednotková kupní cena nemovitosti;Strakonice;Byty [Kč/m2];2019-2021;28957
Průměrná jednotková kupní cena nemovitosti;Strakonice;Byty [Kč/m2];2020-2022;35258
Průměrná jednotková kupní cena nemovitosti;Strakonice;Byty [Kč/m2];2021-2023;39420
Průměrná jednotková kupní cena nemovitosti;Tábor;Rodinné domy [Kč/m2];2019-2021;31469
Průměrná jednotková kupní cena nemovitosti;Tábor;Rodinné domy [Kč/m2];2020-2022;36431
Průměrná jednotková kupní cena nemovitosti;Tábor;Rodinné domy [Kč/m2];2021-2023;41606
Průměrná jednotková kupní cena nemovitosti;Tábor;Byty [Kč/m2];2019-2021;30509
Průměrná jednotková kupní cena nemovitosti;Tábor;Byty [Kč/m2];2020-2022;36988
Průměrná jednotková kupní cena nemovitosti;Tábor;Byty [Kč/m2];2021-2023;41383
Průměrná jednotková kupní cena nemovitosti;Domažlice;Rodinné domy [Kč/m2];2019-2021;29233
Průměrná jednotková kupní cena nemovitosti;Domažlice;Rodinné domy [Kč/m2];2020-2022;32080
Průměrná jednotková kupní cena nemovitosti;Domažlice;Rodinné domy [Kč/m2];2021-2023;36713
Průměrná jednotková kupní cena nemovitosti;Domažlice;Byty [Kč/m2];2019-2021;27552
Průměrná jednotková kupní cena nemovitosti;Domažlice;Byty [Kč/m2];2020-2022;32726
Průměrná jednotková kupní cena nemovitosti;Domažlice;Byty [Kč/m2];2021-2023;35358
Průměrná jednotková kupní cena nemovitosti;Klatovy;Rodinné domy [Kč/m2];2019-2021;30542
Průměrná jednotková kupní cena nemovitosti;Klatovy;Rodinné domy [Kč/m2];2020-2022;34206
Průměrná jednotková kupní cena nemovitosti;Klatovy;Rodinné domy [Kč/m2];2021-2023;39190
Průměrná jednotková kupní cena nemovitosti;Klatovy;Byty [Kč/m2];2019-2021;27633
Průměrná jednotková kupní cena nemovitosti;Klatovy;Byty [Kč/m2];2020-2022;34897
Průměrná jednotková kupní cena nemovitosti;Klatovy;Byty [Kč/m2];2021-2023;41067
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Rodinné domy [Kč/m2];2019-2021;48805
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Rodinné domy [Kč/m2];2020-2022;55657
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Rodinné domy [Kč/m2];2021-2023;63066
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Byty [Kč/m2];2019-2021;44638
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Byty [Kč/m2];2020-2022;52727
Průměrná jednotková kupní cena nemovitosti;Plzeň-město;Byty [Kč/m2];2021-2023;57391
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Rodinné domy [Kč/m2];2019-2021;29135
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Rodinné domy [Kč/m2];2020-2022;33518
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Rodinné domy [Kč/m2];2021-2023;37505
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Byty [Kč/m2];2019-2021;28162
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Byty [Kč/m2];2020-2022;33184
Průměrná jednotková kupní cena nemovitosti;Plzeň-jih;Byty [Kč/m2];2021-2023;38258
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Rodinné domy [Kč/m2];2019-2021;33541
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Rodinné domy [Kč/m2];2020-2022;37501
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Rodinné domy [Kč/m2];2021-2023;41504
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Byty [Kč/m2];2019-2021;31608
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Byty [Kč/m2];2020-2022;37545
Průměrná jednotková kupní cena nemovitosti;Plzeň-sever;Byty [Kč/m2];2021-2023;41012
Průměrná jednotková kupní cena nemovitosti;Rokycany;Rodinné domy [Kč/m2];2019-2021;30103
Průměrná jednotková kupní cena nemovitosti;Rokycany;Rodinné domy [Kč/m2];2020-2022;33478
Průměrná jednotková kupní cena nemovitosti;Rokycany;Rodinné domy [Kč/m2];2021-2023;38137
Průměrná jednotková kupní cena nemovitosti;Rokycany;Byty [Kč/m2];2019-2021;32534
Průměrná jednotková kupní cena nemovitosti;Rokycany;Byty [Kč/m2];2020-2022;37755
Průměrná jednotková kupní cena nemovitosti;Rokycany;Byty [Kč/m2];2021-2023;42559
Průměrná jednotková kupní cena nemovitosti;Tachov;Rodinné domy [Kč/m2];2019-2021;30403
Průměrná jednotková kupní cena nemovitosti;Tachov;Rodinné domy [Kč/m2];2020-2022;33814
Průměrná jednotková kupní cena nemovitosti;Tachov;Rodinné domy [Kč/m2];2021-2023;36910
Průměrná jednotková kupní cena nemovitosti;Tachov;Byty [Kč/m2];2019-2021;26122
Průměrná jednotková kupní cena nemovitosti;Tachov;Byty [Kč/m2];2020-2022;30548
Průměrná jednotková kupní cena nemovitosti;Tachov;Byty [Kč/m2];2021-2023;34579
Průměrná jednotková kupní cena nemovitosti;Cheb;Rodinné domy [Kč/m2];2019-2021;27810
Průměrná jednotková kupní cena nemovitosti;Cheb;Rodinné domy [Kč/m2];2020-2022;30952
Průměrná jednotková kupní cena nemovitosti;Cheb;Rodinné domy [Kč/m2];2021-2023;32977
Průměrná jednotková kupní cena nemovitosti;Cheb;Byty [Kč/m2];2019-2021;25597
Průměrná jednotková kupní cena nemovitosti;Cheb;Byty [Kč/m2];2020-2022;29606
Průměrná jednotková kupní cena nemovitosti;Cheb;Byty [Kč/m2];2021-2023;32485
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Rodinné domy [Kč/m2];2019-2021;32440
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Rodinné domy [Kč/m2];2020-2022;37486
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Rodinné domy [Kč/m2];2021-2023;40679
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Byty [Kč/m2];2019-2021;27662
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Byty [Kč/m2];2020-2022;33272
Průměrná jednotková kupní cena nemovitosti;Karlovy Vary;Byty [Kč/m2];2021-2023;36630
Průměrná jednotková kupní cena nemovitosti;Sokolov;Rodinné domy [Kč/m2];2019-2021;26929
Průměrná jednotková kupní cena nemovitosti;Sokolov;Rodinné domy [Kč/m2];2020-2022;30796
Průměrná jednotková kupní cena nemovitosti;Sokolov;Rodinné domy [Kč/m2];2021-2023;33943
Průměrná jednotková kupní cena nemovitosti;Sokolov;Byty [Kč/m2];2019-2021;19101
Průměrná jednotková kupní cena nemovitosti;Sokolov;Byty [Kč/m2];2020-2022;23509
Průměrná jednotková kupní cena nemovitosti;Sokolov;Byty [Kč/m2];2021-2023;25794
Průměrná jednotková kupní cena nemovitosti;Děčín;Rodinné domy [Kč/m2];2019-2021;27202
Průměrná jednotková kupní cena nemovitosti;Děčín;Rodinné domy [Kč/m2];2020-2022;30663
Průměrná jednotková kupní cena nemovitosti;Děčín;Rodinné domy [Kč/m2];2021-2023;33487
Průměrná jednotková kupní cena nemovitosti;Děčín;Byty [Kč/m2];2019-2021;22828
Průměrná jednotková kupní cena nemovitosti;Děčín;Byty [Kč/m2];2020-2022;27885
Průměrná jednotková kupní cena nemovitosti;Děčín;Byty [Kč/m2];2021-2023;31650
Průměrná jednotková kupní cena nemovitosti;Chomutov;Rodinné domy [Kč/m2];2019-2021;29526
Průměrná jednotková kupní cena nemovitosti;Chomutov;Rodinné domy [Kč/m2];2020-2022;33306
Průměrná jednotková kupní cena nemovitosti;Chomutov;Rodinné domy [Kč/m2];2021-2023;37480
Průměrná jednotková kupní cena nemovitosti;Chomutov;Byty [Kč/m2];2019-2021;21380
Průměrná jednotková kupní cena nemovitosti;Chomutov;Byty [Kč/m2];2020-2022;25022
Průměrná jednotková kupní cena nemovitosti;Chomutov;Byty [Kč/m2];2021-2023;27474
